"ticker","statusExercicio","dataEvento","diasUteisAteEvento","pctPuPar","taxaEvento","tipoTaxa","remuneracao","dataReferencia","origemAba","spreadBE","spreadBEUnid"
"RADL14","Em exercício","2026-12-17","","1.000976","105.4463","implícita","106,99% do DI","2026-07-31","No Período de Exercício","0.7444","%"
"UNDAC3","Em exercício","2026-10-13","","1.00616","109.3505","implícita","112% do DI","2026-07-31","No Período de Exercício","1.3354","%"
"ABSP12","Em exercício","","","","","implícita","DI + 1,95%","2026-07-31","No Período de Exercício","",""
"ADPA21","Em exercício","2027-06-21","","1.001746","2.4434","implícita","DI + 2,85%","2026-07-31","No Período de Exercício","2.4434","%"
"AEGE16","Em exercício","2026-09-11","","1.04844","2.5135","implícita","DI + 3,9%","2026-07-31","No Período de Exercício","2.5135","%"
"AEGE17","Em exercício","2026-12-15","","1.042222","2.3575","implícita","DI + 3,4%","2026-07-31","No Período de Exercício","2.3575","%"
"AEGP17","Em exercício","2026-10-13","","1.001452","1.8442","implícita","DI + 2,15%","2026-07-31","No Período de Exercício","1.8442","%"
"AEGP19","Em exercício","2026-10-05","","1.005964","1.4586","implícita","DI + 1,9%","2026-07-31","No Período de Exercício","1.4586","%"
"AEGPB7","Em exercício","2026-09-15","","1.008964","2.2796","implícita","DI + 2,95%","2026-07-31","No Período de Exercício","2.2796","%"
"AGAU13","Em exercício","2026-09-15","","1.004841","3.4627","implícita","DI + 4,5%","2026-07-31","No Período de Exercício","3.4627","%"
"ALGAA2","Em exercício","2027-01-15","","1.00594","1.1133","implícita","DI + 1,55%","2026-07-31","No Período de Exercício","1.1133","%"
"ALPA22","Em exercício","2026-12-14","","1.011919","0.9399","implícita","DI + 1,5%","2026-07-31","No Período de Exercício","0.9399","%"
"ANIM15","Em exercício","2026-11-16","","1.009902","1.1721","implícita","DI + 1,92%","2026-07-31","No Período de Exercício","1.1721","%"
"APFL18","Em exercício","2027-01-15","","0.999999","1.38","implícita","DI + 1,38%","2026-07-31","No Período de Exercício","1.38","%"
"APPSB2","Em exercício","2026-09-15","","1.007984","1.4481","implícita","DI + 2,15%","2026-07-31","No Período de Exercício","1.4481","%"
"APRB28","Em exercício","2026-12-15","","1.001706","0.5082","implícita","DI + 0,86%","2026-07-31","No Período de Exercício","0.5082","%"
"ARML13","Em exercício","2026-11-04","","1.016347","1.4763","implícita","DI + 2,25%","2026-07-31","No Período de Exercício","1.4763","%"
"ARTRA1","Em exercício","2026-09-11","","1.001451","1.3459","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","1.3459","%"
"ARTRA4","Em exercício","2026-08-24","","1.007984","2.1047","implícita","DI + 2,7%","2026-07-31","No Período de Exercício","2.1047","%"
"ARTRA5","Em exercício","2026-10-13","","1.009918","1.6469","implícita","DI + 2,4%","2026-07-31","No Período de Exercício","1.6469","%"
"ASAI18","Em exercício","2026-12-22","","1.003472","1.4817","implícita","DI + 1,85%","2026-07-31","No Período de Exercício","1.4817","%"
"ASAI19","Em exercício","2026-09-25","","1.008625","0.7606","implícita","DI + 1,25%","2026-07-31","No Período de Exercício","0.7606","%"
"ASAI22","Em exercício","2026-11-23","","1.00592","1.3072","implícita","DI + 1,95%","2026-07-31","No Período de Exercício","1.3072","%"
"ASAIA0","Em exercício","2026-12-21","","1.008652","0.7589","implícita","DI + 1,25%","2026-07-31","No Período de Exercício","0.7589","%"
"AZZA13","Em exercício","2027-01-28","","1.002999","0.6873","implícita","DI + 1%","2026-07-31","No Período de Exercício","0.6873","%"
"BCBF16","Em exercício","2026-10-07","","1.004464","0.9793","implícita","DI + 1,45%","2026-07-31","No Período de Exercício","0.9793","%"
"BKBR19","Em exercício","2026-10-26","","1.00192","1.4969","implícita","DI + 1,9%","2026-07-31","No Período de Exercício","1.4969","%"
"BRKPA0","Em exercício","2026-10-15","","1.003653","1.6377","implícita","DI + 2,4%","2026-07-31","No Período de Exercício","1.6377","%"
"BRKPA2","Em exercício","2026-08-21","","1.022397","2.1776","implícita","DI + 3,25%","2026-07-31","No Período de Exercício","2.1776","%"
"BRKPA3","Em exercício","2026-08-24","","1.027024","1.8236","implícita","DI + 2,93%","2026-07-31","No Período de Exercício","1.8236","%"
"BRKPA5","Em exercício","2026-09-15","","0.999999","1.9","implícita","DI + 1,9%","2026-07-31","No Período de Exercício","1.9","%"
"CBAN22","Em exercício","2027-01-15","","1.024837","1.2003","implícita","DI + 2%","2026-07-31","No Período de Exercício","1.2003","%"
"CCROA7","Em exercício","2027-01-12","","1.006211","0.2905","implícita","DI + 0,75%","2026-07-31","No Período de Exercício","0.2905","%"
"CDAR11","Em exercício","2026-09-28","","1.003952","1.5786","implícita","DI + 2%","2026-07-31","No Período de Exercício","1.5786","%"
"CDES12","Em exercício","2026-08-03","","1.026809","0.6163","implícita","DI + 1,4%","2026-07-31","No Período de Exercício","0.6163","%"
"CEAB13","Em exercício","2027-01-15","","1.002457","1.2935","implícita","DI + 1,8%","2026-07-31","No Período de Exercício","1.2935","%"
"CEAP15","Em exercício","2026-11-16","","1.004928","0.9189","implícita","DI + 1,2%","2026-07-31","No Período de Exercício","0.9189","%"
"CEAP16","Em exercício","2026-09-09","","1.005944","0.922","implícita","DI + 1,2%","2026-07-31","No Período de Exercício","0.922","%"
"CEBD14","Em exercício","2026-08-25","","1.005976","1.1608","implícita","DI + 1,6%","2026-07-31","No Período de Exercício","1.1608","%"
"CEBD25","Em exercício","2026-12-21","","1.007416","1.3706","implícita","DI + 1,72%","2026-07-31","No Período de Exercício","1.3706","%"
"CEEBA3","Em exercício","","","","","implícita","DI + 1,34%","2026-07-31","No Período de Exercício","",""
"CEEBA6","Em exercício","2026-08-17","","1.005952","1.611","implícita","DI + 1,95%","2026-07-31","No Período de Exercício","1.611","%"
"CEEBA7","Em exercício","2026-11-16","","1.005952","0.8459","implícita","DI + 1,18%","2026-07-31","No Período de Exercício","0.8459","%"
"CEEBA8","Em exercício","2026-12-10","","1.004936","0.7204","implícita","DI + 0,95%","2026-07-31","No Período de Exercício","0.7204","%"
"CEEBB3","Em exercício","2026-10-15","","1.003968","1.198","implícita","DI + 1,49%","2026-07-31","No Período de Exercício","1.198","%"
"CEMTE2","Em exercício","2026-12-10","","1.007421","0.4977","implícita","DI + 1,05%","2026-07-31","No Período de Exercício","0.4977","%"
"CEPEA1","Em exercício","","","","","implícita","DI + 1,39%","2026-07-31","No Período de Exercício","",""
"CEPEA3","Em exercício","2026-11-16","","1.005952","0.8459","implícita","DI + 1,18%","2026-07-31","No Período de Exercício","0.8459","%"
"CEPEB1","Em exercício","2026-10-15","","1.003972","1.2475","implícita","DI + 1,54%","2026-07-31","No Período de Exercício","1.2475","%"
"CEPEB2","Em exercício","2026-10-15","","1.007404","1.257","implícita","DI + 1,68%","2026-07-31","No Período de Exercício","1.257","%"
"CESE22","Em exercício","2026-09-15","","1.010585","1.7149","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","1.7149","%"
"CESPA4","Em exercício","2026-08-14","","1.011979","0.3211","implícita","DI + 0,62%","2026-07-31","No Período de Exercício","0.3211","%"
"CGASA5","Em exercício","2026-09-15","","0.999999","0.75","implícita","DI + 0,75%","2026-07-31","No Período de Exercício","0.75","%"
"CGOS15","Em exercício","2026-09-21","","1.006912","0.723","implícita","DI + 1,05%","2026-07-31","No Período de Exercício","0.723","%"
"CHSF12","Em exercício","2026-10-15","","1.004943","0.6205","implícita","DI + 0,85%","2026-07-31","No Período de Exercício","0.6205","%"
"CIEL18","Em exercício","2026-11-09","","1.006181","0.2546","implícita","DI + 0,54%","2026-07-31","No Período de Exercício","0.2546","%"
"CLCD16","Em exercício","2026-11-16","","1.007936","0.9557","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","0.9557","%"
"CMED13","Em exercício","2026-11-03","","1.002999","0.5801","implícita","DI + 0,75%","2026-07-31","No Período de Exercício","0.5801","%"
"CMGD18","Em exercício","2026-12-15","","1.001463","1.0468","implícita","DI + 1,35%","2026-07-31","No Período de Exercício","1.0468","%"
"CMTR19","Em exercício","2026-12-15","","1.002976","1.0162","implícita","DI + 1,33%","2026-07-31","No Período de Exercício","1.0162","%"
"COLNA3","Em exercício","2027-01-15","","1.012482","0.3747","implícita","DI + 0,8%","2026-07-31","No Período de Exercício","0.3747","%"
"CPFPA6","Em exercício","2026-09-08","","1.004315","0.1008","implícita","DI + 0,57%","2026-07-31","No Período de Exercício","0.1008","%"
"CPGT17","Em exercício","","","","","implícita","DI + 1,38%","2026-07-31","No Período de Exercício","",""
"CPLD27","Em exercício","2026-11-16","","1.001451","1.0592","implícita","DI + 1,36%","2026-07-31","No Período de Exercício","1.0592","%"
"CPLD38","Em exercício","2026-12-15","","1.004464","1.9219","implícita","DI + 2,25%","2026-07-31","No Período de Exercício","1.9219","%"
"CPREA0","Em exercício","2026-12-14","","1.00594","0.7857","implícita","DI + 1,12%","2026-07-31","No Período de Exercício","0.7857","%"
"CPTE12","Em exercício","2027-01-15","","1.017825","0.892","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","0.892","%"
"CSANA2","Em exercício","","","","","implícita","DI + 0,6%","2026-07-31","No Período de Exercício","",""
"CSMGA7","Em exercício","2026-09-16","","1.003999","1.0331","implícita","DI + 1,3%","2026-07-31","No Período de Exercício","1.0331","%"
"CSMGB6","Em exercício","","","","","implícita","DI + 1,3%","2026-07-31","No Período de Exercício","",""
"CSNAA1","Em exercício","2026-11-10","","1.008984","0.9911","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","0.9911","%"
"CSNAA2","Em exercício","2026-12-21","","1.004446","2.0233","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","2.0233","%"
