"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,6967","DI_SPREAD","CDI + 0,70%","DI + 1.6000%","2026-07-17","2030-10-02","546,00","2,17","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4957","DI_SPREAD","CDI + 1,50%","DI + 1.9500%","2026-07-17","2026-10-15","62,00","0,25","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,6000","DI_SPREAD","CDI + 1,60%","DI + 1.1000%","2026-07-17","2032-06-10","655,00","2,60","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,0389","IPCA_SPREAD","B35 + 90 bps","IPCA + 7.4150%","2026-07-17","2044-07-15","1718,00","6,82","","","","2035-05-15","B35","8,0700","90","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,3489","DI_SPREAD","CDI + 2,35%","DI + 2.8500%","2026-07-17","2027-11-27","324,00","1,29","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,3859","IPCA_SPREAD","B37 + 43 bps","IPCA + 7.0718%","2026-07-17","2044-06-15","1885,00","7,48","","","","2037-05-15","B37","7,9261","43","ok","","ANBIMA Data API (web-bff)"
"AEGE16","5,0598","DI_SPREAD","CDI + 5,06%","DI + 3.9000%","2026-07-17","2034-03-11","831,00","3,30","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,0956","DI_SPREAD","CDI + 5,10%","DI + 3.4000%","2026-07-17","2035-06-15","1014,00","4,02","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,7183","DI_SPREAD","CDI + 1,72%","DI + 2.1500%","2026-07-17","2027-04-12","172,00","0,68","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,7012","DI_SPREAD","CDI + 2,70%","DI + 1.9000%","2026-07-17","2028-10-04","266,00","1,06","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA4","2,8694","DI_SPREAD","CDI + 2,87%","DI + 3.4700%","2026-07-17","2028-10-25","284,00","1,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA8","17,0713","PREFIXADO","17,07%","Pré-Fixado 16.3433%","2026-07-17","2031-01-15","844,00","3,35","","2,0807","spread = (1 + Y)/(1 + L) - 1; Y = pre 17,07%; L = TaxaLTN_252 venc ref 2032-01-01 = 14,69%","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA9","3,0550","DI_SPREAD","CDI + 3,06%","DI + 2.7500%","2026-07-17","2029-06-25","517,00","2,05","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB3","3,2856","DI_SPREAD","CDI + 3,29%","DI + 1.8000%","2026-07-17","2032-08-22","851,00","3,38","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB5","3,2423","DI_SPREAD","CDI + 3,24%","DI + 1.8000%","2026-07-17","2030-12-15","818,00","3,25","","","","","","","","ok","","ANBIMA Data API (web-bff)"
