CD_ATIVO,GESTOR,VL_ALOCADO
"SVEA16","Occam",25198605.78
"EDPA11","BTG WM",102150.59
"CMGD27","Plural",6302239.63
"VAMOA0","Sulamérica",30684957.18
"ARTRA7","(fundo nao cadastrado)",1106363.53
"CRCF12","San WM",513008.74
"TPER1B","Plural",0
"CASN23","Monte Azul",3055392.03
"ELPLA7","BRAM",101608.27
"VLIM27","Safra Asset",1021329.3
"VBBR15","Sparta",14321271.94
"BHIAC0","Devant",647788.25
"AEGE16","Vinland",17028279.49
"ENEVA0","Galt",380425.4
"ENMTA3","Vinland",54859.5
"RUMOA6","Vinland",3277177.83
"QUAT13","Vinci",18292480.94
"ALUP18","Safra Asset",834890.37
"RUMOB7","ASA",543024.7
"LCAMC2","Jive",534621.37
"EQMAA0","Safra Asset",22428695.46
"BKBR19","(fundo nao cadastrado)",3447246.52
"CEPEB3","XPG",3721578.78
"CPLDC0","Brainvest",653322.27
"GLUZ11","Paramis",5019978.83
"TBSP22","SPX",16800126.15
"RDORB9","Kinea",420263181.6
"RDORE4","Occam",42711989.12
"MSRO26","Augme",973571.73
"EGIEB1","Galt",20315.18
"UNIPB0","IAM",119176904.15
"PETR27","Galapagos",33198.9
"BRST15","(fundo nao cadastrado)",2096487.12
"AGIZ11","Vinland",10942297.19
"VIVA11","BB Asset",59960700.01
"PSAN13","(fundo nao cadastrado)",144922378.12
"FLCLB1","Sparta",13582817.88
"DASAC5","Butiá",1934901.99
"EQPA18","Daycoval",2544592.08
"PSAN23","JGP",46334261.49
"FBRI13","ITAU Tsy",330774998.65
"SIMH16","Vinland",24372883.35
"CART13","Brainvest",1020933.22
"CPGT28","(fundo nao cadastrado)",20115333.4
"MULTB5","Oriz",6739171.66
"CBAN32","Nikos",130660.68
"AEGPA0","(fundo nao cadastrado)",4669601.59
"RDLA17","BRAM",62705367.37
"ENSEC4","Safra Asset",751957.9
"FISI15","BB Asset",140779175.73
"TAEEC4","ARX",146297.61
"IOCHA3","BB Asset",176848792.47
"CSNAB4","San WM",359882.83
"ELTN15","UBS",3788461.75
"CSNP12","RB Asset",17809284.67
"POTE11","Vinland",14224255.25
"MVLV19","Butiá",543287.24
"RDORD9","Trígono",84290.52
"ACRC21","Jera",496229.44
"ANET12","Ace",49547.78
"CSMGB9","Franklin Templeton",10206032.47
"SBSPF9","Andbank",113604.28
"TCII11","Sparta",7181786.72
"AESOA1","ASA",1563509.35
"RCHE12","BRAM",111765121.19
"ELET24","Butiá",2599122.18
"ORIG12","Galt",311350.17
"LXIN12","Iridium",1740718.07
"BTEL13","Bocaina",543325.91
"LMTP26","San WM",109346.36
"CPLD26","Portofino",267919.83
"ECHP11","G5",1350417.79
"VIXL35","Somma",1855866.09
"VBBR26","ZSYS",29751.08
"TRPLA5","(fundo nao cadastrado)",5345869.26
"CMGDB2","BRAM",49114128.24
"FURN21","Newave",241077.25
"CSMGA9","Nu Asset",12301.86
"CSMGB6","MAG",829602.71
"GASC16","Riza",107650.29
"PFOR26","Monte Bravo",7638879.47
"CSMGB6","Augme",752884.72
"MOVI34","Principal",931538.97
"DASAB4","Kinea",24021130.62
"EQTC11","XPG",454989.73
"SMFTA1","BRAM",7758777.09
"PGMN26","AZ Quest",43528939.29
"LORTB2","Brainvest",94029.04
"CTEE2B","G5",1640731.63
"CSANB0","JGP",34184862.13
"CBAN32","JGP",3571881.3
"LMTPA1","(fundo nao cadastrado)",304526.38
"VERO24","Butiá",359775.62
"EGIEA2","San WM",5181173.86
"IRJS15","IAM",242439599.22
"PETR17","Atena",140176.96
"RDORD4","Guardian",440986.86
"ORIG21","Iridium",1456651.92
"GYRA14","Brainvest",44649.3
"RBRAJ7","Legacy",6218.11
"CCPV11","SWM",225156.24
"CSMGB6","Plural",451969.09
"JTEE11","San WM",12550541.83
"CMGD28","BB Asset",7217328.33
"EGIEA4","XPG",1790811.81
"SUZBC1","Turim",5103565.01
"ELPLA7","BB Asset",20049796.5
"MGPRA0","TAG",665003.96
"ELET24","Absolute",137153261.18
"ASER12","(fundo nao cadastrado)",18546045.53
"GYRA14","Oriz",26548.23
"VAMOA0","SAM",28720476.49
"UNIPC0","SAM",46038111.69
"CSNAA4","San WM",516425.79
"SAPRA1","IAM",9451014.37
"CODN12","BRAM",19227958.47
"PRAS11","Safra Asset",1518516.98
"CESPA4","Galt",704220.79
"CPLD38","VLGI",2848375.29
"EEELA1","Vinland",1488417.4
"TRPLB7","(fundo nao cadastrado)",22195847.67
"PRPO12","Nikos",750879.68
"RSAN15","Absolute",13280193.84
"CEED16","Inter",1019381.6
"PLAC13","(fundo nao cadastrado)",586240.54
"APRB18","AZ Quest",7119080.41
"COCE18","JGP",32861630.3
"TIET29","Turim",2466756.69
"CSMGB0","BB Asset",215724708.87
"EKTRB6","IAM",77254276.13
"CSNAA2","BDR",401492.54
"MOVIA3","WHG",1078974.95
"ESULA6","Absolute",1265410.12
"ARML25","Trígono",3083891.65
"BRKPA0","PNBY",1242201.93
"VALEC1","San WM",35541135.14
"CSMGB6","Rafter",1516967.42
"HBSA24","BB Asset",155053331.27
"BRKMA8","Legacy",7099521.16
"POTE12","Vêneto",912180.26
"VTII21","BTG Asset",37404.92
"ENEV19","UBS",1431560.76
"CEPEC2","BTG WM",19909283.81
"SAVI13","XPG",698154.01
"ITPO14","BTG WM",78637136.3
"HAPV28","Porto Asset",1542583.85
"ARML15","(fundo nao cadastrado)",17952021.86
"RIS414","BRAM",2111905.19
"OMGE13","Investcoop",24582666.95
"SRNP31","(fundo nao cadastrado)",1769.7
"COCEB2","Absolute",145755104.65
"STBP35","XPG",10908026.54
"DESK18","Riza",8286565.28
"VLIM15","ASA",581267.48
"NTSD35","Galapagos",327479.36
"SBSPE3","ASA",1689275.83
"CDGS26","BB Asset",50905673.78
"IGTAA3","BB Asset",131448578.95
"DASAC5","Ibuina",11565861.18
"HVSP11","JGP",6916728
"CASN23","BTG Asset",17161525.97
"CPFPA6","IAM",49208166.71
"CSNP12","Journey",9505883.37
"VULN11","IAM",204401522.36
"EKTRB3","UBS",43688339.11
"ELPLA5","XPG",808353.14
"EUFA19","BB Asset",203912490.11
"ENGIB9","Valora",5290623.06
"ELDC15","BB Asset",146461853.13
"TAEEA4","Rafter",3778856.14
"TLPP27","BBM Asset",19571577.11
"ENEV18","Plural",8917976.75
"RDORB3","Polo",27349773.46
"EKTRC0","San WM",16756201.09
"CBAN52","ARX",29874729.78
"AURP12","San WM",84630228
"RIS422","Legacy",8060681.66
"AMERF2","AF Invest",264959.32
"BRKMA8","SVN",444705.94
"ECOV16","Portofino",1568580.67
"RECV11","BRAM",89599.61
"PRLK11","ASA",245111.67
"ASEC11","Investcoop",605707.55
"CGOSA0","Tori 21",151634.28
"ISAEB8","G5",333556.52
"EQPA18","Ace",126664.14
"MOTVB9","BRAM",123034.77
"ENERB7","UBS",23298220.92
"HYPEA5","SAM",47060420.4
"RISP14","BRAM",2117251.4
"CMGDA4","Persevera",3123915.52
"DASAB4","XPG",22501737.82
"IRJS15","Riza",3462027.89
"SAPR10","Galapagos",2523118.13
"IRJS14","Navi",1278562.59
"CLCD16","Safra Asset",85267522.76
"ATMF11","JGP",32115651.88
"PEJA22","SWM",1063383.18
"ENMI21","BTG WM",3974412.76
"SBSPD2","Occam",30481173.68
"VAMO13","Iridium",14348794.27
"LORTB9","Sulamérica",9595935.29
"RISP24","BTG Asset",3662740.62
"EKTT11","BRAM",71860297.13
"SEQL13","(fundo nao cadastrado)",1069156.83
"CGOS34","Kinea",4386644.69
"MVLVA1","Drys",719309.24
"ENERB4","Riza",858577.93
"ISAEC0","San Tsy",116734107.95
"PASS12","Absolute",17478085.15
"JALL11","JGP",1558091.26
"ERDVA6","Reach",1446427.82
"CGOS28","Legacy",1081987.55
"MOTVB9","UBS",40437081.73
"AEGE16","Valora",69908689.16
"PFOR25","SPX",16592540.85
"CEPE20","Regia",5626102.8
"FLRY17","(fundo nao cadastrado)",134715416.68
"AESLA9","Tori 21",306523.82
"CEEDA0","Wise",6265869.24
"HARG11","Occam",3767849.16
"HYPEA6","Wise",535499.53
"RDORC9","Monte Bravo",1649713.82
"ENMTB2","SAM",79669534.92
"CGBP14","Sulamérica",68987549.77
"EQPA18","BTG WM",77603295.35
"AZZA12","SVN",39498024.65
"UQFN15","Occam",40626308.59
"CBAN52","Inter",8297644.56
"ELTN37","Occam",16048764.4
"LOGGB1","BTG WM",4998535.66
"OPCT17","IAM",150497674.6
"SMFTA2","IAM",140210049.55
"EQPA18","Portofino",2849943.14
"RENTA5","BB Asset",155992454.05
"COGNA5","Vinci",15082259.06
"CSRNA1","(fundo nao cadastrado)",61792802.02
"BCBF16","Occam",15158340.62
"IVIAA0","BTG WM",156815777.25
"EDPS11","IAM",296517362.34
"ELTN19","Safra Asset",284542682.02
"GASC25","BDR",1131826.54
"ENEV28","Andbank",327170.44
"RDORD9","Icatu",4450747.39
"COGNA4","Integral",253985.68
"RRRP13","BB Asset",69758890.42
"ECER12","Brainvest",123743.2
"RALM21","Valora",5598584.29
"USNA12","ITAU Tsy",53057048.97
"CPGTB0","Sulamérica",6670697.5
"ERDVA4","Maud",1360456.15
"SUZBA0","TAG",198837.41
"APRB28","AZ Quest",17947770.38
"SCPT13","(fundo nao cadastrado)",14632113.86
"RIS424","BTG WM",94224307.82
"OMGE12","Sparta",20912361.69
"UBAT12","ITAU Tsy",143195073.7
"PLSB1A","IAM",110418145.1
"HAPV18","Daycoval",1829025.07
"CEPEA3","Vinland",59826.89
"EQPAA0","Investcoop",2120587.2
"OPCT16","Vinci",15232770.47
"RECV14","Safra Asset",333869.88
"LCAMC2","JGP",32661088.98
"TAEEC2","IAM",979169.94
"AMERE2","(fundo nao cadastrado)",5497.68
"ARML25","BB Asset",164693742.36
"EQPA18","Plural",730580.66
"RENTA5","Vinci",11422634.39
"CGOS15","Brainvest",79622.98
"VERO13","Absolute",7716443.13
"CEAB14","SAM",22586631.13
"LCAMD1","(fundo nao cadastrado)",73811577.12
"ONCOA1","Vinci",348755.86
"CSMGB6","Mirabaud",500334.79
"ALGAB1","Inter",16213783.17
"RUMOB5","Citrino",152076.54
"CART13","Icatu",63060432.71
"CMED15","IAM",3689624.76
"RDOE18","Safra Asset",77163799.3
"VAMO34","IAM",769767
"MATD23","BB Asset",58786678.64
"ENEVA0","Rafter",272200.93
"HGLB23","Kinea",160539003.29
"PRAS11","Tenax",683846.48
"ESSDA4","Rafter",4289310.82
"ENEV38","BTG WM",3630972.65
"RDORI6","SPX",70870313.87
"USIB11","BB Asset",41158047.79
"ENEV29","Andbank",112789.78
"PRLG17","ARX",96229872.09
"EUFA17","SAM",127267874.67
"TEPA12","Daycoval",1043645.15
"CEMTE2","Sparta",21446481.49
"PRLG17","BRAM",64003895.37
"ESULA6","UBS",1601942.14
"TFLE19","ASA",1041340.11
"CEPEC1","Principal",61621.96
"CMGDB4","BBM Asset",2585258.72
"TAEE26","Rafter",655311.36
"CEROA3","(fundo nao cadastrado)",17190293.97
"FZCH11","IAM",168141778.07
"LORTB2","MAG",7313369.86
"CSMGB8","BB Asset",145616364.62
"BTEL23","XPG",27484654.88
"OMGE21","Tenax",181657.05
"VBBR24","Reach",2581560.92
"CLCD16","Daycoval",8230797.72
"APRB18","Nikos",124918.51
"ERPM11","SAM",4097190.1
"RENTC8","SAM",171508358.07
"ENGIA1","BRAM",1405134.37
"CRTR12","Icatu",62276494.63
"GASC28","BBM Asset",2239293.05
"CEEBB2","BNP",9709496.92
"GASC28","Galt",440021.09
"ENGIB9","Trígono",529175.14
"CGOS18","BB Asset",62604134.73
"BBML13","JGP",6163055.95
"ENMTB5","BRAM",11377080.96
"ANHBA6","ASA",1164152.88
"ENEV38","JGP",2750202.44
"COMR14","Vinland",27089412.07
"SAJO12","(fundo nao cadastrado)",3798380.26
"PALFB3","Porto Asset",118776.99
"RUMOA4","Nikos",2636853.84
"VALE48","Galapagos",565914.25
"MGPRA0","Vinland",165827421.5
"BCPSA6","IAM",213585165.21
"CHSF24","IAM",290527850.22
"SBSPF8","BTG Asset",2188524.33
"ISAEB8","(fundo nao cadastrado)",44227956.24
"PAXA12","Sparta",32131294.87
"SMFTA1","BB Asset",84231531.54
"CPLDA1","ARX",45861705.33
"TLPP27","Daycoval",33051502.14
"CGOSA0","UBS",38170008.71
"LORTB9","Butiá",852430.8
"CEPEA7","UBS",3608604.19
"QUAT13","San WM",139486.42
"MGPRA0","UBS",36475679.19
"CEEDA0","Regia",69303646.72
"ESCEA6","Paramis",2037696.81
"CTEE18","ASA",492154.62
"TAEB15","(fundo nao cadastrado)",4276091.79
"RENTD1","Galt",893240.91
"PSAN13","Polo",2155973.43
"QUAL18","BTG Asset",63163641.32
"ERDVB3","Paramis",112641.54
"DXCO13","BB Asset",439464371.74
"BRKPA0","Drys",129603.06
"RISP24","Andbank",1139756.03
"SMTO14","Sonata",587783.86
"RSAN16","(fundo nao cadastrado)",38903760.06
"VERO14","Somma",6301824.7
"UBRO11","JGP",4238854.53
"CPGTA1","Ace",748162.79
"CMTR29","ASA",625477.52
"RALM11","Vinland",73000090.98
"SAELB7","Ibuina",10715006.41
"CAEC22","Somma",2138554.46
"TFLEA9","Turim",4695625.87
"CGOS19","Vinci",13541738.69
"CTNS25","Nu Asset",103236.15
"CGOS34","G5",1423972.28
"APFD19","BR Partners",3098020.44
"APFD19","Mirabaud",746939.48
"TQUI13","SAM",22990148.45
"ASAIA2","BTG Asset",19980417.05
"CLCD18","Mirabaud",2012562.84
"CGOS34","Safra Asset",3277100.95
"PEJA11","Riza",213469.09
"VAMO23","Principal",3592287.05
"VBBR16","Brave",899427.68
"TPER41","ASA",0.03
"VAMO13","AF Invest",2396177.97
"MEZ511","Iridium",9945774.95
"GASC23","Sulamérica",1189429.77
"SBSPB6","MAG",747847.57
"CRCG12","BNP",9660065.67
"IGTAB1","IAM",24665646.44
"ELTN17","Porto Asset",10714.62
"MULPB1","Riza",5067117.32
"HGLB23","Suno",1933030.7
"CPIS14","Vinland",5820427.92
"HYPEA8","(fundo nao cadastrado)",308101154.48
"CTNS25","BTG WM",760850.4
"PFOR16","Drys",4237948.21
"CERO19","Paramis",934773.99
"VSCF17","BTG Asset",30214782.74
"CMIN11","Daycoval Asset",722661.77
"FLLH13","Ibuina",54441746.69
"NTSD17","Kinea",39185985.51
"CESPA3","Portofino",584787.07
"CGOS34","4UM",455536.18
"CBRDA8","AF Invest",4645831.37
"CSMGB4","Ibuina",2521929.6
"VALEB1","Vinland",86405.65
"CMGD18","BB Asset",140451816.15
"RADL15","BB Asset",139217272.39
"CPXB13","BRAM",74162479.29
"CART13","Portofino",83099.22
"ENMTC3","Rafter",2133515.6
"BCPSA7","Vinland",68959335.59
"EQMAA2","BTG Asset",32061505.6
"CEED13","Inter",4348291.69
"RSAN25","WHG",1001823.85
"VAMO13","Integral",464492.99
"KLBNA2","SAM",80404352.71
"TRRG12","UBS",86980957
"CBAN22","XPG",24455165.63
"ENGIC3","San WM",2818060.31
"RMGL11","IAM",14074000.22
"CTEP13","Regia",15204808.28
"TIET29","Galt",1260119.71
"EDPA11","(fundo nao cadastrado)",293232.72
"ENERC7","Augme",8584864.79
"CEAP17","Inter",3406011.34
"CCROA7","Inter",8571988.61
"RIS412","XPG",43098680.67
"AXIA28","XPG",9886211.99
"ENEVD0","Galt",578542.04
"CSMGD1","BRAM",14992304.25
"CPGTA1","Valora",15695722.7
"MEZP11","ITAU Tsy",218674266.66
"IVIAA0","BDR",6253598.76
"TIET19","AF Invest",3387435.81
"CASN34","(fundo nao cadastrado)",4550087.75
"FENS12","BB Asset",261235837.33
"RISP22","BTG WM",65841678.43
"EDTE12","BR Partners",52770.8
"ENMTE6","Vinci",11967506.1
"CAEC22","Sparta",20927733.91
"VBBR14","M8",4712406.33
"CASN24","BRAM",489407.88
"ENEV15","Lakewood",1865382.27
"JSLGA5","Polo",8675100.95
"CGOS15","Kinea",23567326.52
"CMIN11","Legacy",61595.42
"ANHBB6","BRAM",252191610.94
"ENGIC3","Kinea",35145581.44
"CSMGB8","BRAM",12477324.47
"GASP17","BB Asset",77999736.8
"JHSFA1","Solis",2765759.56
"HYPEA5","XPG",10590520.14
"WDPR11","BTG WM",4433197.62
"MSGT12","ARX",13311182.76
"CEEBB8","Nu Asset",3390180.99
"ISPE12","Investcoop",4197784.94
"CGOS13","G5",290093.74
"RAIZ23","Porto Asset",325157.51
"VRDN12","Paramis",1443488.84
"TCBC17","IAM",335079.82
"CTEE29","Portofino",12587.46
"EGIEA1","Kinea",4326090.9
"RIPR13","(fundo nao cadastrado)",172514508.39
