"Mes","Total","Fundos","Total12431","Fundos12431"
"2020-01","6377848000","582926000","300000000","300000000"
"2020-02","4798000000","1972104000","1800000000","809104000"
"2020-03","5646100000","386250000","1060000000","341250000"
"2020-04","15604650000","43500000","3898350000","0"
"2020-05","6346571000","458000000","1110000000","60000000"
"2020-06","9977724000","969728000","1699518000","156500000"
"2020-07","5907775000","929452000","2512290000","700967000"
"2020-08","10213560102","3309215812","1626498000","82080000"
"2020-09","9681122000","2298887000","2972968000","640908000"
"2020-10","10246655140","2085076000","4155000000","445209000"
"2020-11","8629806000","3443115000","1802400000","474444000"
"2020-12","27712920633","12027607681","5233000000","352201000"
"2021-01","4003211000","402177000","463830000","253830000"
"2021-02","12670902000","2758969000","4857500000","997929000"
"2021-03","14307675356","4504504036","1772000000","312920000"
"2021-04","24640037975","9383150598","4175990000","1569362000"
"2021-05","22967850000","9572008000","3094500000","533035000"
"2021-06","20322101000","7795526000","5526381000","811439000"
"2021-07","20430104089","7869740000","3603434000","493160000"
"2021-08","18180592732","7907532000","4622000000","1327233000"
"2021-09","24549500001","10214415000","2348807000","825014000"
"2021-10","24001421000","12870544000","7305000000","2900541000"
"2021-11","37279600000","14727623000","3925657000","637116000"
"2021-12","27154181000","7983687713","5278000000","2109516000"
"2022-01","7043170000","2494326000","547000000","191699000"
"2022-02","24269269000","8141488000","3323000000","1211814000"
"2022-03","24491586000","9744952000","1909586000","669069000"
"2022-04","17480397000","8207507000","2542085000","728683000"
"2022-05","31740091434","13734484434","9466440000","2366325000"
"2022-06","28865300000","10918924730","2408550000","1158588000"
"2022-07","25033933000","13223186000","3603150000","154260000"
"2022-08","23088454055","11456092000","5337645297","1728180000"
"2022-09","21753610000","10954258000","2685091000","460706000"
"2022-10","22829832625","13222671000","2100000000","554320000"
"2022-11","8579500000","4691761000","2475000000","1135267000"
"2022-12","35777080721","13240030000","4686675000","763075000"
"2023-01","18689112280","7274876280","2890780000","0"
"2023-02","6637920140","1135235000","996200140","0"
"2023-03","11695333316","2579884000","505520000","126720000"
"2023-04","6387200000","839005000","1555000000","309500000"
"2023-05","9430909500","1686862000","1522881000","57121000"
"2023-06","25355045000","7580580000","5270000000","596834000"
"2023-07","12537560848","3065799348","1400000000","91240000"
"2023-08","19480170500","6823110000","8261648000","1975885000"
"2023-09","31856952000","7462012000","12340000000","2196661000"
"2023-10","29230834000","8735206000","16677050000","1747969000"
"2023-11","25425002857","9027360624","7410000000","1040855000"
"2023-12","39890598800","8383160000","8995000000","1088830000"
"2024-01","8282798336","4949007318","2642798338","606338320"
"2024-02","22476876114","15062757800","5825000000","994914000"
"2024-03","41292636212","17938193265","11414727803","3161260265"
"2024-04","39111213115","20215122022","13754503115","3455440022"
"2024-05","49492508000","22441383000","11212003000","2323673000"
"2024-06","46065580000","14641879000","19596936000","2075831000"
"2024-07","50710842022","16973672000","19147191839","3012692000"
"2024-08","27086686958","15383540033","4570899000","2877943000"
"2024-09","31688294676","23257368934","7938683411","4287782027"
"2024-10","65742856266","32734508908","15751212000","7858973055"
"2024-11","24169209600","5283586000","8482000000","2349360000"
"2024-12","68240788603","21039049035","14775000000","2833875000"
"2025-01","28614940273","7696557079","13145900000","1022200000"
"2025-02","30609226000","9005693000","11762662000","2369844000"
"2025-03","44394385939","18989443531","19500616000","7231188000"
"2025-04","23307191000","7327437000","9181000000","2892813000"
"2025-05","28628495000","15656175000","8904060000","3415161000"
"2025-06","37595731000","17606929000","12050500000","1658269000"
"2025-07","46355010008","29686570613","14247379008","6988428613"
"2025-08","34304001495","14860074000","8521795578","2849141000"
"2025-09","44644267605","24984167658","16273300000","7430495000"
"2025-10","59355654156","29636482328","19696196103","9696905000"
"2025-11","62325887146","12133622141","19235842000","798107000"
"2025-12","53260283486","12919913367","24450135000","2717938000"
"2026-01","27051868604","13552091374","9520336000","7394289000"
"2026-02","26894651000","13008591000","12585759000","5268611000"
"2026-03","45477144504","11573880694","21527717757","5564250757"
"2026-04","20288955606","1941105000","8718734000","1186986000"
"2026-05","26601872687","4109510000","6508011000","220000000"
"2026-06","23510158861","4070693940","6195424000","561038000"
