CNPJ Emissor,Emissor,Grupo,Setor,Descrição,Fonte
"08.773.135/0001-00","2W ECOBANK S.A.","2W Ecobank","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"94.813.102/0001-70","TRES TENTOS AGROINDUSTRIAL S.A","3 Tentos","Agro","Atua na produção agrícola, gestão de terras, originação ou comercialização de produtos do agronegócio.",""
"53.462.483/0001-02","360 ENERGY SOLAR BRASIL S.A.","360 Energy","Energia","Desenvolve ou opera projetos de geração de energia solar fotovoltaica.",""
"54.174.189/0001-68","ACELEN INDUSTRIAL S.A.","Acelen Industrial","O&G","Atua no refino de petróleo e na produção e comercialização de combustíveis e derivados.",""
"60.659.463/0029-92","ACHE LABORATORIOS FARMACEUTICOS S.A.","Ache","Saúde","Desenvolve, fabrica ou distribui medicamentos e produtos para saúde.",""
"65.329.869/0001-20","ACQUAVIAS SP PARTICIPACOES S/A","Acqua Vias","Travessia Hídrica","Opera concessões de travessias aquaviárias para o transporte de passageiros e veículos.",""
"60.855.574/0001-73","ACUCAREIRA QUATA S/A","Acucareira Quata","A&A","Produz açúcar e etanol a partir da cana-de-açúcar, normalmente com cogeração de bioenergia.",""
"83.054.478/0001-21","ADAMI S.A. - MADEIRAS","Adami","P&P","Atua na produção florestal, madeira, celulose, papel ou embalagens.",""
"07.903.169/0001-09","ADECOAGRO VALE DO IVINHEMA S.A.","Adecoagro","A&A","Produz açúcar e etanol a partir da cana-de-açúcar, normalmente com cogeração de bioenergia.",""
"02.455.233/0001-04","AEC CENTRO DE CONTATOS S/A","AeC","Serviços","Presta serviços de atendimento ao cliente, contact center e terceirização de processos.",""
"58.716.461/0001-45","AEDIFICA OESTE SP SPE S.A.","Aedifica","Real Estate","Desenvolve, incorpora, administra ou investe em imóveis e empreendimentos imobiliários.",""
"26.025.075/0001-10","AGUAS DE BOMBINHAS SANEAMENTO SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"23.397.533/0001-54","AGUAS DE CAMBORIU SANEAMENTO SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"61.067.901/0001-95","AGUAS DO PARA A SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"61.067.904/0001-29","AGUAS DO PARA D SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"08.827.501/0001-58","AEGEA SANEAMENTO E PARTICIPACOES S/A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"53.667.104/0001-10","AGUAS DE GOVERNADOR VALADARES SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"58.425.324/0001-51","AGUAS DO PIAUI SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"61.067.902/0001-30","AGUAS DO PARA B SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"40.074.069/0001-84","AMBIENTAL MS PANTANAL SPE S.A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"36.641.320/0001-78","AMBIENTAL METROSUL CONCESSIONARIA DE SANEAMENTO SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"23.486.042/0001-80","AGUAS DE PENHA SANEAMENTO SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"57.341.135/0001-38","AGUAS DE PALHOCA S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"10.319.900/0001-50","REGENERA RIO S.A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"48.569.926/0001-29","AMBIENTAL CEARA 2 SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"44.109.598/0001-27","CONCESSIONARIA DE SANEAMENTO DO AMAPA SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"48.569.940/0001-22","AMBIENTAL CEARA 1 SPE S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"04.089.570/0001-50","AGUAS GUARIROBA  S/A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
