Gestor_Apelido,PL
"4UM",495659294.01
"Absolute",29359324345.54
"Ace",22627583.7
"AF Invest",1487482841.62
"Altera",316577595.12
"Amazonia",328301883.3
"AMW",1024905292.88
"Andbank",109984966.2
"Angá",7069229.47
"Aramus",40103321.02
"ARX",26829403961.63
"ASA",380388819.84
"Asset 1",2610850732.87
"Atena",897743289.54
"Augme",2117523405.23
"AZ Quest",20227491415.57
"Banrisul",228449300.86
"BB Asset",230036509002.23
"BBM Asset",1321831249.3
"BDR",174624947.24
"Berkana",34853187.22
"Black Swan",22963123.61
"BNP",7087905484.74
"Bocaina",1138455782.62
"BR Partners",728813588.8
"Brainvest",282309531.16
"BRAM",128778613856.8
"Brave",595382011.05
"BRM",89715060.31
"BRZ",570251384.87
"BTG Asset",31059625902.15
"BTG WM",19962687621.18
"Butiá",569341324.38
"BV Asset",125298141.9
"Capitânia",5935394936.2
"Capri",156835378.78
"Cartor",887209959.86
"CEF Asset",68579012414.67
"Chromo",85285715.47
"Citrino",72362102.09
"DAO",150084060.17
"Daycoval",4189879908.75
"Daycoval Asset",107843583.78
"Devant",21913236.08
"Douro",28329219.38
"Drys",525411195.35
"Dynamo",190467275.79
"Ekho",23522175.98
"EQI",466279695.66
"Être-Davos",33146280.06
"Exes",42738554.39
"EXT",6691974.44
"FAR",6762916.08
"Franklin Templeton",5477095961.76
"Funcef",897454285.37
"G5",2821662758.62
"Galapagos",428186581.67
"Galt",292262953.96
"Gauss",8419744.98
"GHT4",30124439.4
"Global",117041689.12
"Guardian",226208264.24
"GV Atacama",15010075.06
"Heritage",60629770.55
"IAM",299770727132.05
"Ibuina",3555528393.18
"Icatu",25914216775.69
"Integral",176549156.73
"Inter",3830852574.42
"Investcoop",2210930877.29
"Iridium",2170930779.74
"ITAU Tsy",27918545169.46
"Jera",33995317.14
"JGP",18268359995.8
"Jive",1364309971.82
"Journey",122441449.46
"Kadima",9331746.62
"Kinea",71714764738.25
"Lakewood",136769162.31
"Legacy",4910297012.18
"Lifetime",39811281.68
"M8",2108017760.43
"MAG",2441745562.03
"Maud",74979896.38
"Mirabaud",463998018.55
"MMZR",10409091.17
"Monte Azul",23596000.87
"Monte Bravo",709336705.46
"Navi",9826198.26
"Nest",10576879.31
"Newave",49643522.76
"Nikos",187825556.7
"Novus",321823712.02
"Nu Asset",868144999.58
"Occam",8534889101.8
"Onze",197922074.89
"Opportunity",31999443.84
"Oriz",528377099.76
"Paramis",779234303.86
"Patagônia",7105899.38
"Pátria",34064368.09
"Perfin",644941898.9
"Persevera",27433646.76
"Plural",3684606776.91
"PNBY",156306842.38
"Polígono",240350398
"Polo",1811453788.87
"Porto Asset",8438769595.7
"Portofino",467965806.5
"Prada",48292109.04
"Previ",672132867.78
"Principal",482852016.05
"Proteus",279461040.94
"Prumo",38842515.02
"Quantitas",1464958482.55
"Rafter",897491517.05
"RB Asset",1048157372.08
"RBR",119195926.22
"Reach",106309140.29
"Regia",16963167763.26
"Rio Bravo",406097301.16
"Riza",8122317564.52
"Root",4990878405.16
"Rubik",80853571.59
"Safra Asset",59761540676.26
"SAM",55999807100.67
"San Tsy",20557183892
"San WM",7306335422.44
"Scalare",1868897018.17
"Seven Pounds",44942576.1
"SFI",60788443.42
"Solis",669023053.31
"Somma",1047546263.52
"Sonata",190625024.26
"Sparta",20254091704.28
"Springs",16630603.2
"SPX",6685331979.18
"Starboard",37112971.54
"STK",27595191.83
"Stonex",153515482.38
"Strix",365368823.94
"Sulamérica",28092384221.39
"Suno",68614967.9
"SVN",2099943495.01
"SWM",533908568.3
"TAG",160498264.61
"Tagus",148047795.7
"Tenax",336078977.09
"Tivio",7344790951.68
"Tori 21",14953753.44
"Trígono",51370619.82
"Troon",99708741.65
"Turim",498006688.98
"Tyton",1010770283.88
"UBS",15908408469.67
"Valia",95183933.34
"Valora",3579710301.32
"Vêneto",25506908.36
"Verde",317106082.09
"Vinci",7558152064.65
"Vinland",8121660488.79
"VLGI",255694824.22
"Vox",104790665.19
"Warren",24865825.63
"WHG",70667807.15
"Wise",399101030.52
"WIT",51105199.53
"XPG",21218164096.75
"XVI",12006842.63
"YVY",188572302.31
"ZSYS",30351396.74
