"data","tipo","vencimento","taxa"
"2025-07-31","LTN","2026-01-01","14.8900"
"2025-07-31","LTN","2027-01-01","14.2500"
"2025-07-31","LTN","2028-01-01","13.5700"
"2025-07-31","LTN","2029-01-01","13.5200"
"2025-07-31","LTN","2031-01-01","13.7600"
"2025-07-31","LTN","2032-01-01","13.8900"
"2025-07-31","NTN-B","2026-08-15","10.1500"
"2025-07-31","NTN-B","2029-05-15","7.9000"
"2025-07-31","NTN-B","2030-08-15","7.8700"
"2025-07-31","NTN-B","2032-08-15","7.7700"
"2025-07-31","NTN-B","2035-05-15","7.3700"
"2025-07-31","NTN-B","2035-05-15","7.4900"
"2025-07-31","NTN-B","2040-08-15","7.1900"
"2025-07-31","NTN-B","2040-08-15","7.3300"
"2025-07-31","NTN-B","2045-05-15","7.2200"
"2025-07-31","NTN-B","2045-05-15","7.3300"
"2025-07-31","NTN-B","2050-08-15","6.9900"
"2025-07-31","NTN-B","2050-08-15","7.2100"
"2025-07-31","NTN-B","2055-05-15","7.1600"
"2025-07-31","NTN-B","2060-08-15","7.1900"
"2025-08-01","LTN","2026-01-01","14.9000"
"2025-08-01","LTN","2027-01-01","14.3600"
"2025-08-01","LTN","2028-01-01","13.7300"
"2025-08-01","LTN","2029-01-01","13.6900"
"2025-08-01","LTN","2031-01-01","13.9100"
"2025-08-01","LTN","2032-01-01","14.0200"
"2025-08-01","NTN-B","2026-08-15","10.1700"
"2025-08-01","NTN-B","2029-05-15","8.0000"
"2025-08-01","NTN-B","2030-08-15","7.9700"
"2025-08-01","NTN-B","2032-08-15","7.8700"
"2025-08-01","NTN-B","2035-05-15","7.4400"
"2025-08-01","NTN-B","2035-05-15","7.5600"
"2025-08-01","NTN-B","2040-08-15","7.2200"
"2025-08-01","NTN-B","2040-08-15","7.3800"
"2025-08-01","NTN-B","2045-05-15","7.2100"
"2025-08-01","NTN-B","2045-05-15","7.3500"
"2025-08-01","NTN-B","2050-08-15","6.9900"
"2025-08-01","NTN-B","2050-08-15","7.2300"
"2025-08-01","NTN-B","2055-05-15","7.1800"
"2025-08-01","NTN-B","2060-08-15","7.2200"
"2025-08-04","LTN","2026-01-01","14.8900"
"2025-08-04","LTN","2027-01-01","14.2100"
"2025-08-04","LTN","2028-01-01","13.5500"
"2025-08-04","LTN","2029-01-01","13.5300"
"2025-08-04","LTN","2031-01-01","13.7800"
"2025-08-04","LTN","2032-01-01","13.9000"
"2025-08-04","NTN-B","2026-08-15","10.1400"
"2025-08-04","NTN-B","2029-05-15","7.9000"
"2025-08-04","NTN-B","2030-08-15","7.8800"
"2025-08-04","NTN-B","2032-08-15","7.7900"
"2025-08-04","NTN-B","2035-05-15","7.3700"
"2025-08-04","NTN-B","2035-05-15","7.4900"
"2025-08-04","NTN-B","2040-08-15","7.1600"
"2025-08-04","NTN-B","2040-08-15","7.3100"
"2025-08-04","NTN-B","2045-05-15","7.1500"
"2025-08-04","NTN-B","2045-05-15","7.2900"
"2025-08-04","NTN-B","2050-08-15","6.9600"
"2025-08-04","NTN-B","2050-08-15","7.1800"
"2025-08-04","NTN-B","2055-05-15","7.1400"
"2025-08-04","NTN-B","2060-08-15","7.1800"
"2025-08-05","LTN","2026-01-01","14.8900"
