Ativo,Data,Taxa Minima,Taxa Media,Taxa Maxima,PU Medio,Faixa de Volume
"AEAB11","2026-07-24","8,51","8,61","9,19","1097,520734","Entre 1MM e 5MM"
"AEGE17","2026-07-24","3,82","5,42","7,10","942,789696","Entre 1MM e 5MM"
"AEGPA0","2026-07-24","17,46","18,76","21,15","991,924839","Entre 1MM e 5MM"
"AEGPA4","2026-07-24","3,09","3,37","3,90","1039,731997","Até 1MM"
"AESLB7","2026-07-24","7,25","7,60","7,85","1012,600705","Até 1MM"
"AESOA1","2026-07-24","8,34","8,47","8,60","1032,116047","Entre 1MM e 5MM"
"AGRU12","2026-07-24","20,40","20,41","20,43","788,670986","Até 1MM"
"AGVF12","2026-07-24","9,47","9,69","9,92","792,212729","Até 1MM"
"ALGTA4","2026-07-24","8,49","9,32","9,59","1007,253853","Até 1MM"
"ALIG12","2026-07-24","7,50","7,79","8,10","641,918838","Até 1MM"
"ALIG13","2026-07-24","8,13","8,37","8,77","851,339298","Até 1MM"
"ANHBB6","2026-07-24","7,54","7,71","7,98","1004,917831","Até 1MM"
"ANIM17","2026-07-24","2,11","2,13","2,16","1019,014597","Entre 1MM e 5MM"
"ANIM18","2026-07-24","2,19","2,32","2,39","1022,653746","Entre 1MM e 5MM"
"ARTR19","2026-07-24","9,22","9,43","9,51","1395,450194","Até 1MM"
"ARTRA1","2026-07-24","1,57","1,74","1,79","352,438184","Até 1MM"
"ARTRB8","2026-07-24","15,17","15,43","15,77","974,169015","Até 1MM"
"ASAI19","2026-07-24","1,74","1,77","2,06","1039,705904","Até 1MM"
"ASAIA1","2026-07-24","1,73","1,81","1,84","1037,355648","Entre 1MM e 5MM"
"ASCP23","2026-07-24","8,60","8,64","8,91","1165,290583","Até 1MM"
"AURE12","2026-07-24","8,31","8,34","8,36","1019,995966","Até 1MM"
"AURP12","2026-07-24","7,55","8,34","8,63","1026,755813","Entre 1MM e 5MM"
"AXIA18","2026-07-24","7,10","7,67","8,07","1012,886853","Superior a 5MM"
"AXIA28","2026-07-24","7,28","7,56","7,78","999,674454","Superior a 5MM"
"AXIA38","2026-07-24","7,05","7,37","7,77","997,321419","Entre 1MM e 5MM"
"BLMN12","2026-07-24","7,10","7,80","7,81","989,379278","Até 1MM"
"BRKMA6","2026-07-24","66,10","66,21","66,33","370,653046","Até 1MM"
"BRKMA8","2026-07-24","62,52","62,63","62,75","349,240979","Até 1MM"
"BRKPA0","2026-07-24","2,40","2,47","2,67","407,588295","Até 1MM"
"BRST15","2026-07-24","8,68","8,69","8,70","1018,462472","Entre 1MM e 5MM"
"BTEL13","2026-07-24","14,80","15,55","17,98","1022,320990","Até 1MM"
"BTGH18","2026-07-24","1,06","1,07","1,12","1027,515523","Entre 1MM e 5MM"
"BTGL11","2026-07-24","13,70","13,75","14,30","981,056500","Até 1MM"
"BTGL21","2026-07-24","7,42","7,76","8,00","1000,693321","Até 1MM"
"CBAN12","2026-07-24","7,45","8,32","8,83","1394,941940","Até 1MM"
"CBAN72","2026-07-24","8,23","8,24","8,52","1416,599582","Entre 1MM e 5MM"
"CCROA5","2026-07-24","8,10","8,34","8,81","902,077941","Até 1MM"
"CCROB4","2026-07-24","7,76","7,99","8,17","802,273912","Até 1MM"
"CCROB6","2026-07-24","7,52","8,25","8,80","1135,613210","Até 1MM"
"CEAP19","2026-07-24","7,80","7,84","7,90","1004,862008","Até 1MM"
"CEEBB6","2026-07-24","7,44","7,85","8,56","1124,506066","Até 1MM"
"CEEBB7","2026-07-24","7,49","8,08","9,08","1043,185105","Até 1MM"
"CEEBD1","2026-07-24","13,80","14,48","15,12","914,058722","Superior a 5MM"
"CEEBD2","2026-07-24","7,56","7,96","8,69","942,860440","Entre 1MM e 5MM"
"CEED15","2026-07-24","7,64","8,62","9,34","990,930176","Entre 1MM e 5MM"
"CEED21","2026-07-24","8,34","8,50","8,68","1254,372401","Até 1MM"
"CEPEA7","2026-07-24","7,30","7,54","7,83","1040,830687","Entre 1MM e 5MM"
"CEPEB3","2026-07-24","7,90","8,21","8,59","1036,693170","Entre 1MM e 5MM"
"CERT11","2026-07-24","7,91","8,36","9,27","1185,606999","Até 1MM"
"CESE32","2026-07-24","7,61","8,23","8,41","1149,247269","Entre 1MM e 5MM"
"CESPA2","2026-07-24","7,98","8,35","8,39","1310,680817","Entre 1MM e 5MM"
"CESPA3","2026-07-24","8,32","8,39","8,52","1011,677573","Até 1MM"
"CESPA4","2026-07-24","0,74","0,78","0,79","1056,158242","Entre 1MM e 5MM"
"CGASA2","2026-07-24","7,58","7,60","7,98","1059,090561","Até 1MM"
"CGASA4","2026-07-24","7,20","7,22","7,60","1033,958770","Até 1MM"
"CGEE23","2026-07-24","14,15","14,86","16,42","775,752846","Entre 1MM e 5MM"
"CGMG18","2026-07-24","7,31","8,26","8,36","1070,826528","Até 1MM"
"CGOS13","2026-07-24","8,39","8,68","9,05","1121,546171","Até 1MM"
"CGOS16","2026-07-24","7,91","8,37","8,86","1001,154757","Até 1MM"
"CGOS24","2026-07-24","7,56","8,17","8,32","1094,805363","Até 1MM"
"CGOS28","2026-07-24","7,76","8,19","8,97","1020,996758","Até 1MM"
"CGOS34","2026-07-24","7,65","7,97","8,17","1081,108341","Até 1MM"
"CGOSA2","2026-07-24","7,34","7,78","8,29","950,215981","Entre 1MM e 5MM"
"CGOSB0","2026-07-24","7,77","8,21","8,34","1019,197925","Entre 1MM e 5MM"
"CHSF13","2026-07-24","7,25","7,87","8,32","1066,506344","Até 1MM"
"CLAG15","2026-07-24","8,31","9,22","9,24","981,548257","Até 1MM"
"CLCD27","2026-07-24","7,92","8,08","8,11","1041,869079","Entre 1MM e 5MM"
"CLTM14","2026-07-24","9,31","9,49","9,55","992,026187","Até 1MM"
"CMGDB0","2026-07-24","7,70","7,96","8,60","1047,284143","Até 1MM"
"CMGDB1","2026-07-24","7,35","7,97","8,59","1023,526921","Até 1MM"
"CMGDB2","2026-07-24","7,16","7,92","8,47","1059,612569","Até 1MM"
"CMGDB4","2026-07-24","7,83","7,92","7,96","953,957667","Até 1MM"
"CMGTA1","2026-07-24","7,27","7,54","7,82","1005,092324","Até 1MM"
"CMIN11","2026-07-24","12,41","16,48","16,50","835,650775","Até 1MM"
"CMIN12","2026-07-24","16,50","16,71","16,75","781,123932","Até 1MM"
"CMIN22","2026-07-24","16,35","16,50","16,60","674,102483","Até 1MM"
"COLNA3","2026-07-24","0,74","0,79","0,82","998,932916","Até 1MM"
"CONX12","2026-07-24","12,59","12,63","14,56","1160,821664","Entre 1MM e 5MM"
"CPFPA9","2026-07-24","7,48","7,94","8,27","1089,518562","Até 1MM"
"CPGT17","2026-07-24","0,44","0,58","0,60","521,624779","Até 1MM"
"CPGT28","2026-07-24","7,69","7,83","7,99","1118,376610","Até 1MM"
"CPGTC0","2026-07-24","7,60","7,72","7,86","1084,000528","Até 1MM"
