DataBook,Grupo,EmissorRaw,MatchVia,Instrumento,Regime,Rating,Coordenador,Serie,Prazo,IndexadorFinal,SpreadFinalPct,IpcaEquivFinalPct,TaxaFinalRaw,NtnbFinal,IndexadorTeto,SpreadTetoPct,NtnbTeto,TaxaTetoRaw,CompressaoBps,DemandaMM,EmissaoMM,OverX,BidsAloc,AlocCortePct,Amort
14/04/2025,Saneago,Deb. SANEAGO,grupo,DEB,,AAA,,unica,5y,CDI,0.65,,"CDI + 0,65%",,,,,,,,,,39/9,"97,12%","Taxa Final : CDI + 0,65%"
14/04/2025,Auren,AUREN,grupo,DEB,,,,unica,,NTN-B,0.2,,"B35 + 0,20%",B35,NTN-B,-0.15,B35,"B35 - 0,15%",-35,739,2000,,11/11,,
15/04/2025,Casan,CASAN,grupo,DEB,CVM160,A,"Safra (Líder), Itaú BBA, UBS BB, XP, Bradesco BBI",1a,5y,CDI,2.3,,"CDI + 2,30%",,CDI,4.5,,"CDI + 4,50%",220,1280,125,,45/13,,"Mensal, Car. 2y"
15/04/2025,Casan,CASAN,grupo,DEB,CVM160,A,"Safra (Líder), Itaú BBA, UBS BB, XP, Bradesco BBI",2a,7y,NTN-B,1.85,,"B28+1,85%",B28,NTN-B,2.1,B28,"B28 + 2,10% ou IPCA+9,90%",25,552.8,330,,33/24,,"Semestral, Car. 3y"
15/04/2025,Casan,CASAN,grupo,DEB,CVM160,A,"Safra (Líder), Itaú BBA, UBS BB, XP, Bradesco BBI",3a,12y,NTN-B,2.71,,"B30+2,71%",B30,NTN-B,2.81,B30,"B30 + 2,81% ou IPCA+10,30%",10,171.6,170,,16/15,,"Semestral, Car. 3y"
15/04/2025,Raia Drogasil,,alias,DEB,CVM160,AAA,Santander(líder) e IBBA,unica,7y,CDI,0.6,,"CDI + 0,60%",,CDI,0.6,,"CDI + 0,60%",0,,,,,,6/7
23/04/2025,Neoenergia,,alias,DEB,,AAA,IBBA,unica,,,0,,JAN30 + 0% (Fixing Hoje),,,0,,JAN30 + 0%,0,790,700,1.13,9/9,57%,
23/04/2025,Neoenergia,,alias,DEB,,AAA,IBBA,unica,,,0.25,,"JAN30 -0,25% (Fixing Hoje)",,,0.25,,"JAN30 - 0,25%",0,90,700,0.13,7/7,100%,
07/05/2025,TIM,,grupo,DEB,CVM160,AAA,"BBI(líder), UBS BB, Santander e BV",unica,7y,CDI,0.7,,"CDI + 0,70%",,CDI,0.67,,"CDI + 0,67% Des(0,70%)",-3,,,,9/9,,Bullet
09/05/2025,Alloha,Giga Mais Fibra,alias~,DEB,12.431,A,"IBBA (Líder), SAN, UBS-BB, BBI, ABC",1a,7y,NTN-B,1.95,,"NTN-B30 + 1,95%",B30,,,,,,125,477,,18/18,,
09/05/2025,Alloha,Giga Mais Fibra,alias~,DEB,12.431,A,"IBBA (Líder), SAN, UBS-BB, BBI, ABC",2a,10y,NTN-B,2.2,,"NTN-B32 + 2,20%",B32,,,,,,23,23,,5/5,,
09/05/2025,Alloha,Giga Mais Fibra,alias~,DEB,12.431,A,"IBBA (Líder), SAN, UBS-BB, BBI, ABC",3a,6y,CDI,2,,"CDI + 2,00% (15bps de fechamento)",,CDI,2.15,,"CDI + 2,15%",15,290,250,,10/10,,
12/05/2025,V.tal,,alias,DEB,12.431,AA,"BTG(Líder), BBI, Safra, Citi, Santander",1a,7y,,15.05,,"15,05% (DI Jan/32 + 1,26%)",,Fixa,32,,"Pré DI Jan/32 + 0,75% ou 15,05%",,1400,1650,,34/34,,6/7
12/05/2025,V.tal,,alias,DEB,12.431,AA,"BTG(Líder), BBI, Safra, Citi, Santander",2a,7y,NTN-B,0.88,8.27,"IPCA + 8,27% (B33 + 0,88%)",B33,NTN-B,0.85,B33,"B33 + 0,85% ou IPCA + 8,27%",-3,559.8,559.8,,27/27,,6/7
12/05/2025,V.tal,,alias,DEB,12.431,AA,"BTG(Líder), BBI, Safra, Citi, Santander",3a,10y,NTN-B,1.13,8.45,"IPCA + 8,45% (B35 + 1,13%)",B35,NTN-B,0.95,B35,"B35 + 0,95% ou IPCA + 8,45%",-18,163,195,,15/15,,8/9/10
14/05/2025,Hapvida,,grupo,DEB,CVM160,AAA,"BBI(Líder), IBBA e Santander",unica,7y Bullet,CDI,1.05,,"CDI + 1,05%",,CDI,1.05,,"CDI + 1,05%",0,,,,9/9<Mensagemeditada>,,
14/05/2025,Comgás,,alias,DEB,CVM160,AAA,"Santander(Líder), IBBA, BBI e BV",unica,3y,CDI,0.48,,"CDI + 0,48%",,CDI,0.45,,"CDI + 0,45% Des(0,50%)",-3,,,,,,Semestral
14/05/2025,VLI,,grupo,DEB,12.431,AAA,IBBA(Líder) e BTG,1a,10y,NTN-B,0.03,7.4247,"B33 + 0,03% (IPCA + 7,4247%)",B33,NTN-B,-0.35,B33,"B33 - 0,35% Des(+0,03%)",-38,813,750,,13/13,,8/9/10
14/05/2025,VLI,,grupo,DEB,12.431,AAA,IBBA(Líder) e BTG,2a,12y,NTN-B,0.08,7.3658,"B35 + 0,08% (IPCA + 7,3658%)",B35,NTN-B,-0.3,B35,"B35 - 0,30% Des(+0,08%)",-38,382,750,,9/9,,11/12
21/05/2025,CPFL,RGE Sul CPFL,alias,DEB,12.431,AAA,"IBBA (L), XP, BBI, Safra e BTG",unica,10y (amortização semestral pós carência),NTN-B,0,,B35 + 0% aa através de deságio,B35,,,,,,240,1090,,14/14,,Taxa Fixa: B35 + 0% aa através de deságio
21/05/2025,Copasa,Copasa,grupo,DEB,,,"Btg (lider), Itau e Xp",1a,,CDI,0.6,,CDI + 0.60%,,CDI,0.65,,CDI + 0.65%,5,412,412,,,,
21/05/2025,Copasa,Copasa,grupo,DEB,,,"Btg (lider), Itau e Xp",2a,,NTN-B,80,8.21,IPCA + 8.21% (B30 + 80 bps),B30,NTN-B,110,B30,IPCA + 8.51% (B30 + 110 bps),3000,1800,488,,,,
27/05/2025,TAG,,grupo,DEB,CVM160,AAA,"Santander(Líder), IBBA, UBS BB e BBI",unica,5y,CDI,0.67,,"CDI + 0,67%",,CDI,0.67,,"CDI + 0,67%",0,,,,12/12,,Anual após 1y
28/05/2025,Porto Itapoá,,grupo,DEB,12.431,AA,BTG(Líder),unica,15y,NTN-B,0.3,,"B35 + 0,30%",B35,NTN-B,-0.08,B35,"B35 - 0,08% Des(0,30%) ou IPCA + 7,40%",-38,,,,10/10,,Semestral após 3y
30/05/2025,Localiza,Localiza,grupo,DEB,CVM160,AAA,"XP(Líder), IBBA, UBS BB e BBI",1a,5y,CDI,1.2,,"CDI + 1,20%",,CDI,1.25,,"CDI + 1,25%",5,1480.9,1.14,,22/18,,Bullet
