Categoria,CNPJ,Nome,Gestor,Segmento,MesBase,PctPL,CaixaPotencialTotal,CotasNaoIdentificadas,NivelConfianca,Justificativa
"fundo caixa confirmado","40219186000199","ARROW 2 PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO","Ekho","CDI",202605,0.9256,21548846,1524006,medio,"cotas confidenciais nao identificadas: R$ 1.524.006 (nao viram caixa)"
"fundo caixa confirmado","58729502000138","XP STRATEGY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA","XPG","CDI",202605,1.9073,713054739.91,0,alto,"caixa indireto via fundo-caixa externo somado ao consolidado"
"fundo caixa confirmado","61245368000104","SAPERE FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE RENDA FIXA INVESTIMENTO EM INFRA - RESP LIMITADA","BV Asset","12431",202603,1.5197,61175701.22,0,medio,"fallback: mes-base 202603 (mes mais recente invalido/indisponivel)"
"fundo caixa confirmado","57791787000174","SAFRA INFRA RENDA FIXA ATIVO MASTER FIF INV EM INFRAESTRUTURA CI EM INFRA RF LP RESP LIMITADA","Safra Asset","12431",202605,1.1086,1470382341,0,medio,""
"fundo caixa confirmado","61818679000115","UBS EVOLUTION VIVRE FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","UBS","12431",202605,0.9886,24247461.76,0,alto,""
"fundo caixa confirmado","54501503000170","BTG INFRA MASTER IV FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","BTG Asset","12431",202605,1.0314,372137958,0,alto,""
"fundo caixa confirmado","57110842000113","SPARTA INFRA CDI MASTER V FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","Sparta","12431",202605,1.0301,982973914.57,0,alto,""
"fundo caixa confirmado","60776254000128","LEGACY CAPITAL CREDIT HORIZON FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Legacy","12431",202605,0.9085,427877905,78611080,medio,"cotas confidenciais nao identificadas: R$ 78.611.080 (nao viram caixa)"
"fundo caixa confirmado","17898543000170","BNY MELLON ARX LIQUIDEZ FIF RENDA FIXA REFERENCIADO DI - RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,1.0002,2324576423.58,0,alto,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"fundo caixa confirmado","18416618000100","BNY MELLON ARX LIQUIDEZ FIF RENDA FIXA REFERENCIADO DI II - RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,1.0002,715957209.98,0,alto,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
