CNPJ,Nome,Gestor,Segmento,MesBase,PL_Carteira,Disponibilidades,TitulosPublicos,Compromissadas,ParcelaAberta,ParcelaConfid,CotasNaoIdentificadas,CaixaDireto,CaixaIndiretoConfirmado,CaixaIndiretoCandidato,CaixaPotencialTotal,PctPL,ClasseFundoCaixa,PLDiario,DataPLDiario,CaixaEstimadoAtual,FluxoLiquidoPosterior,Cobertura,NivelConfianca,Feeder,CompradorDireto,NoConsolidado,CaixaConsolidado,Justificativa
"11419818000160","ITAÚ VERSO A RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,60921829348.98,4505814.64,34334566271.11,26582961418.58,60922033504.33,0,0,60922033504.33,0,0,60922033504.33,1,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"06175696000173","ITAÚ SOBERANO RENDA FIXA SIMPLES FIF DA CIC RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,47405319653.51,1369924.8,0,0,1369924.8,0,0,1369924.8,44579595590.82,0,44580965515.62,0.9404,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado | caixa indireto via fundo-caixa externo somado ao consolidado"
"11046645000181","BB RENDA FIXA REFERENCIADO DI TÍTULOS PÚBLICOS FIF LONGO PRAZO RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,43324543280.21,514979.34,26382213016.23,16942540762.12,43325268757.69,0,0,43325268757.69,0,0,43325268757.69,1,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"03504023000121","BB TOP PRINCIPAL RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,40956130304.69,4520515.24,22821655435.75,18130343658.81,40956519609.8,0,0,40956519609.8,0,0,40956519609.8,1,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"08915927000163","BEM TPF FI FINANCEIRO - CI RF SIMPLES - RESP LIMITADA","","(fora das listas)",202605,34705982227.69,6710931.91,23472529850.85,12345676456.7,35824917239.46,0,0,35824917239.46,0,0,35824917239.46,1.0322,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"10583916000175","BRADESCO FEDERAL MÁSTER FI FINANCEIRO - CI RF - RESP LIMITADA","","(fora das listas)",202605,35229061791.69,100000,30201030960.13,1576512444.05,31777643404.18,0,0,31777643404.18,0,0,31777643404.18,0.902,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"09215250000113","BTG PACTUAL TESOURO SELIC FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI","","(fora das listas)",202605,28556296030.76,0,21753859926,4852296870,0,26606156796,1474838400,26606156796,0,0,26606156796,0.9317,"fundo caixa confirmado",,,,,0.9719,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado | cotas confidenciais nao identificadas: R$ 1.474.838.400 (nao viram caixa)"
"08418151000176","ITAÚ FLEXPREV REFERENCIADO DI FIF RF - RESP LIMITADA","","(fora das listas)",202605,24044710321.15,924510.55,19268545760.51,4775360419.5,24044830690.56,0,0,24044830690.56,0,0,24044830690.56,1,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"26559284000144","TREND PÓS-FIXADO FUNDO DE INVESTIMENTO EM COTAS RENDA FIXA SIMPLES RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,14865126791.19,14824640.67,0,0,14824640.67,0,0,14824640.67,14935932293.57,0,14950756934.24,1.0058,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado | caixa indireto via fundo-caixa externo somado ao consolidado"
"35823433000121","ITAÚ ZERAGEM RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA","","(fora das listas)",202605,14805921834.53,3688965.95,8297040956.39,6505250674.57,14805980596.91,0,0,14805980596.91,0,0,14805980596.91,1,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
"03256793000100","BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA","","(fora das listas)",202605,12602807938.36,160279574,9049480278,3395115607,0,12604875459,0,12604875459,0,0,12604875459,1.0002,"fundo caixa confirmado",,,,,1,alto,nao,nao,nao,0,"fundo-caixa fora das listas: incluido so como cota de fundo curado"
