Mes,CNPJ,Gestor,Segmento,Caixa,PL
202504,55068953000183,UBS,12431,1825587.81,42310792.88
202504,57323572000129,IAM,12431,6527652.95,111220592.75
202504,50799566000101,Vinci,CDI,2081396.12,159062060.43
202504,57173714000119,BTG WM,12431,19774586.2,63019158.41
202504,42813742000186,BTG WM,CDI,11479433.26,37808374.31
202504,54322173000155,IAM,12431,100611151.12,763930841.54
202504,57285625000164,IAM,12431,21563646.55,311607322.12
202504,04621721000170,XPG,CDI,452962209.74,1920042170.78
202504,56431727000188,Vinland,CDI,103837651.85,2872767028.67
202504,30593140000181,IAM,CDI,5356374321.2,14543368060.47
202504,17329785000143,Portofino,CDI,37439599.64,98809708.08
202504,52276849000196,BTG WM,12431,6850700.47,36346119.49
202504,49931360000104,UBS,CDI,15802675.19,25073396.99
202504,03389374000139,BB Asset,CDI,53675008148.32,96816520759.94
202504,37008673000106,Galapagos,CDI,25590960.12,76452379.89
202504,55172307000161,San WM,12431,5170.51,235842829.46
202504,37467474000158,Norte,CDI,45261249.17,177233617.25
202504,54856394000103,IAM,12431,37651938.49,217246260.37
202504,41978506000157,Kinea,CDI,377359288.23,4163613795.99
202504,53359596000187,Scalare,12431,21793738.89,582571995.18
202504,59766036000123,BR Partners,12431,9030884.24,10091301.37
202504,53803655000164,BTG WM,12431,484457.3,10274578.94
202504,53502091000120,Brainvest,CDI,14063360.95,67744841.18
202504,50927112000160,Kinea,12431,1437863.78,27903636.74
202504,53775856000103,San WM,12431,34521276.05,74980201.44
202504,36318479000156,Vinci,CDI,86502063.41,1815350477.63
202504,41163523000136,BTG WM,12431,7799364.46,322849940.77
202504,49624023000166,BTG WM,12431,1027180.38,27039923.69
202504,51977823000102,Starboard,CDI,0,50778053.71
202504,48986296000198,Absolute,CDI,15923603.67,309528456.07
202504,45756554000151,Capri,CDI,943167.64,36244529.17
202504,52909503000188,Kinea,12431,1136621.24,21922726.37
202504,54235704000172,BTG WM,12431,24721520.52,128924582.5
202504,57527967000143,BTG WM,12431,3649752.39,14643319.85
202504,53980788000106,IAM,12431,4160441.4,46504448.41
202504,50677561000106,Rubik,CDI,7280744.71,16846469.84
202504,50705390000173,BTG WM,12431,3575847.96,28507793.41
202504,13596496000150,Brainvest,CDI,1000,25493908.75
202504,42747172000173,Capitânia,CDI,11227857.11,66025066.43
202504,57746542000125,BTG WM,12431,12584921.97,37136369.72
202504,57075698000121,Vinland,12431,967524.78,16472517.82
202504,42813715000103,BTG WM,CDI,34378054.32,88180673.15
202504,37319460000197,Kinea,12431,1804834.79,34973232.69
202504,34738303000128,Monte Bravo,12431,1000,7588114.71
202504,42066551000106,XPG,CDI,4005311.15,12860610.03
202504,57711375000187,Pátria,CDI,2000,5988394.14
202504,43597393000175,Verde,CDI,67093902.41,257751213.44
202504,57300689000197,Perfin,12431,6545481.84,215611961.52
202504,43584575000101,Sonata,CDI,6318406.67,31761951.5
202504,21888723000149,IAM,CDI,866218158.14,3250431125.65
202504,57662061000131,UBS,12431,477245.56,57485797.84
202504,42229399000127,Kinea,CDI,1845951460.47,8989980113.09
202504,49598896000141,Augme,12431,1999.99,46503381.64
202504,56174498000163,IAM,12431,1448248.03,31999192.33
202504,57791787000174,Safra Asset,12431,2141390.09,6748424.56
202504,57966847000142,IAM,12431,3857637.67,54302170.21
202504,04885571000101,Icatu,CDI,1274021.31,112958108.41
