Gestor,NumFundos,PL_Carteira,CaixaConsolidado,PctPL,CaixaEstimadoAtual,FluxoLiquidoPosterior
"BB Asset",117,231028607905.9,96357018890.31,0.4171,97247073668.41,560445948.41
"IAM",368,272925342302.08,60478279997.5,0.2216,60278831003.04,-1389889938.12
"BRAM",117,129052987073.87,26760952630.22,0.2074,26979887477.29,121491978.62
"Safra Asset",112,69357846038.87,22151187823.1,0.3194,21912092198.42,578947928.69
"CEF Asset",10,68351042541.63,18154708957.76,0.2656,18285161600.98,229488165.37
"SAM",26,56116557142.22,17619674249.42,0.314,17674496023.36,-278567971.99
"Kinea",211,72282490604.71,13422626240.34,0.1857,13294570104.16,-259864935.65
"Sparta",36,20245385896.16,9690191228.05,0.4786,9596551194.18,-13212571.93
"Absolute",23,29512803099.46,6347269551,0.2151,6334396784.9,-477467601.96
"Icatu",59,27367597406.04,6010300965,0.2196,5850041451.48,-238319641.52
"Sulamérica",27,28028526043.66,5648166431.05,0.2015,5681106317.06,-23218919.86
"ARX",23,27004948544.76,5354062941.04,0.1983,5350138968.8,-235523663.82
"Regia",4,16764213338.1,5215690476.17,0.3111,5378788513.36,320685694.8
"BTG Asset",50,31957169061.64,5194084861.18,0.1625,5265595088.28,-15880944.6
"AZ Quest",19,21142275334.15,5180633882.53,0.245,5091512002.83,-485623629.28
"UBS",99,16020232635.98,4628380185.28,0.2889,5115681346.48,779875380.11
"XPG",79,21528848841.81,4181652780.57,0.1942,3862187914.55,-1401557534.09
"BTG WM",266,19910283905.66,2972354645.95,0.1493,3005795993.48,56992418.33
"JGP",31,18350530943.88,2569402797.6,0.14,2589655418.28,-21268185.1
"Occam",10,8477851675.92,2429098350.66,0.2865,2235375533.88,106151705.29
"Franklin Templeton",11,5730344941.8,2047899570.35,0.3574,2043818441.34,-71390443.85
"Tivio",15,7468787184.68,1841162993.19,0.2465,1847194034.76,-12757324
"Porto Asset",10,8463159379.44,1718638443.71,0.2031,1702190901.85,-126128767.98
"Legacy",13,4947099575.6,1386201118,0.2802,913215277.1,-733405588.48
"Riza",12,8230343732.45,1304067606,0.1584,1308114041.14,-33144966.9
"Root",9,4978128301.15,1273455484.18,0.2558,1283879019.31,3021875.46
"Iridium",5,2178233237.77,1246418463.82,0.5722,1237559185.74,-32804263.33
"Vinland",13,8289695252.11,1148640852.42,0.1386,974546666.34,-232360143.94
"San WM",159,7725663662.17,1139867494.52,0.1475,1146726590.3,-16526726.67
"MAG",9,2456121586.79,1066597229.78,0.4343,1065678137,-9490244.04
"Asset 1",6,2594868132.04,1049455636.37,0.4044,1065550727.03,22932151.16
"BNP",12,7053257043.33,1037851450.06,0.1471,1044369839.03,20696943.36
"Capitânia",37,6633265355.52,831661672.13,0.1254,852689071.96,-23134986.27
"Inter",12,3819109754.43,799831639.99,0.2094,806548659.21,-8578410.44
"Plural",15,3723827846.53,776675016.66,0.2086,750752252.67,-94870638.98
"Investcoop",4,2205062304.73,753202629.61,0.3416,757808655.45,-1013.16
"Ibuina",7,3558186273.13,656767085,0.1846,641209498.09,20866881.4
"SPX",8,6695450895.95,599266173.63,0.0895,595768088.34,-79257514.18
"Jive",2,1357487652.37,575851530.07,0.4242,580106646.54,-500445.33
"(sem gestor)",4,2563650368.12,559033182.49,0.2181,0,0
"Vinci",18,7724806234.86,531072969,0.0687,534222816.72,8039772.44
"SVN",3,2471407639.77,481199551.51,0.1947,478360064.07,-34765428.62
"AF Invest",8,1493322638.6,441763790,0.2958,438483875.27,-14101644.9
"Valora",7,3594431932.82,416414552.57,0.1158,412277656.08,-56531921.71
"M8",3,2091020842,391440469,0.1872,398675764.44,27218340.68
"Augme",16,2279415634.22,391427566.72,0.1717,336931565.83,-175791990.88
"Daycoval",10,3963376985.45,351223345.09,0.0886,364325165.62,57654020.25
