CNPJ,Fundo,Gestor,DataInicio,idadeMeses,dataM,dataHoje,PL_hoje,PL_medio180,PL_ref,pctAtual,Eleg_0m,Eleg_6m,Eleg_12m,pctExig_0m,pctExig_6m,pctExig_12m,Compra_0m,Compra_6m,Compra_12m,amortEstimada,semDataInicio,semCarteira
63124967000103,ABSOLUTE HIDRA CDI PLUS II MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RF,Absolute,2025-11-01,9,202603,2026-08-04,3637884793,3197124967,3197124967,0.1249,399171837,398725689,398277995,0.67,0.67,0.67,1742901891,1743348039,1743795733,0,0,0
60742785000108,PRODHOS FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA,BRAM,2025-05-01,15,202603,2026-08-04,3334900739,3048303621,3048303621,0.3427,1044774202,1044766734,1044580028,0.67,0.67,0.85,997589223,997596692,1546478050,0,0,0
63989000000186,SANTANDER FUNDO INCENTIVADO CDI PROJETOS INV EM INFRA RF CRÉDITO PRIVADO - FIF RESP LIMITADA,SAM,2026-06-01,2,202603,2026-08-04,1342304689,1371996983,1342304689,0,0,0,0,0,0.67,0.67,0,899344142,899344142,0,0,1
55230301000101,SAFRA INFRA LIQUIDEZ PROGRESSIVO FIF INV EM INFRA CLASSE DE INV EM INFRAESTRUTURA RF RESP LIMITADA,Safra Asset,2026-06-01,2,202603,2026-08-04,1029175516,1029175516,1029175516,0,0,0,0,0,0.67,0.67,0,689547596,689547596,0,0,1
62171470000175,BRAM DEBÊNTURES INCENTIVADAS 2506 FIF CI RF INCENTIVADO DE INVESTIMENTO EM INFRA LP - RESP LIMITADA,BRAM,2025-08-01,12,202603,2026-08-04,6110241802,5842979991,5842979991,0.6,3505575550,3502356305,3499292748,0.67,0.67,0.85,409221044,412440289,1467240245,1,0,0
58277322000162,ITAÚ GCA DEBÊNTURES INCENTIVADAS CDI FIF INCENTIVADO EM INFRA RF CRÉD PRIV LP RESP LIMITADA,IAM,2025-02-01,18,202603,2026-08-04,1524921950,1282141084,1282141084,0.5534,709542704,707493914,704448898,0.67,0.85,0.85,149491822,382326008,385371024,1,0,0
62360992000115,BB MASTER II RENDA FIXA DEBÊNTURES INCENTIVADAS FIF INVESTIMENTO EM INFRAESTRUTURA RESP LIMITADA,BB Asset,2025-12-01,8,202603,2026-08-04,1711739092,2142720654,1711739092,0.4818,824789749,824789749,824789749,0.67,0.67,0.67,322075442,322075442,322075442,0,0,0
63920768000101,ARX INFRA CDI DINÂMICO FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA CREDITO PRIVADO RENDA FIXA RL,ARX,2026-01-01,7,202603,2026-08-04,1143152520,1312442913,1143152520,0.4166,476231610,474463521,469253846,0.67,0.67,0.67,289680579,291448668,296658342,1,0,0
55176509000181,SAFRA INFRA CDI MASTER IV FIF INVESTIMENTO EM INFRA CLASSE DE INVEST EM INFRA RF LP RESP LIMITADA,Safra Asset,2024-10-01,22,202603,2026-08-04,1569671649,1525509149,1525509149,0.6741,1028386519,1007340446,986563353,0.67,0.85,0.85,0,289342331,310119424,1,0,0
63566142000130,ICATU VANGUARDA CDI S FIF - CI INCENTIVADO DE INVESTIMENTO EM INFRA RF LP - RESP LIMITADA,Icatu,2025-12-01,8,202603,2026-08-04,986816512,1202433901,986816512,0.3855,380420923,375986141,371277019,0.67,0.67,0.67,280746140,285180921,289890043,1,0,0
63942021000146,OCCAM BB INFRA LINEAR FI FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RESP LIMITADA,Occam,2026-01-01,7,202603,2026-08-04,989517509,846795932,846795932,0.3449,292022817,291701289,290934822,0.67,0.67,0.67,275330457,275651985,276418452,0,0,0
65612787000198,SAFRA INFRA CDI MASTER VI FIF INV EM INFRAESTRUTURA CLASSE DE INV EM INFRA RF LP RESP LIMITADA,Safra Asset,2026-03-01,5,202603,2026-08-04,554718778,704921577,554718778,0.2029,112548350,112548350,112548350,0,0.67,0.67,0,259113231,259113231,0,0,0
63386988000199,LEGACY CAPITAL ARKAN FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA CDI RF RESP LIMITADA,Legacy,2025-12-01,8,202603,2026-08-04,558560547,604288754,558560547,0.2485,138827492,138243273,137590967,0.67,0.67,0.67,235408074,235992294,236644600,1,0,0
63359425000101,SPARTA INFRA CDI MASTER VI FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Sparta,2025-11-01,9,202603,2026-08-04,1431659808,1426435424,1426435424,0.514,733196597,726253165,706764049,0.67,0.67,0.67,222515137,229458569,248947686,1,0,0
63760296000169,RIO TRIUNFO FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA,BRAM,2025-12-01,8,202603,2026-08-04,844264553,834490690,834490690,0.4031,336403106,336257507,335832233,0.67,0.67,0.67,222705656,222851255,223276529,1,0,0
65079801000130,KINEA INFRA IX FIF FUNDO INCENTIVADO DE INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA,Kinea,2026-03-01,5,202603,2026-08-04,395010759,394033526,394033526,0.1301,51277961,50519493,49812025,0,0.67,0.67,0,213482970,214190438,0,0,0
62363645000146,INVEST PRO FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,484227513,369732809,369732809,0.1184,43760383,43714382,43659115,0.67,0.67,0.67,203960600,204006601,204061868,1,0,0
63377319000150,OCCAM CDI 30 DINÂMICO S FIF RENDA FIXA  INVEST EM  INFRA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Occam,2026-01-01,7,202603,2026-08-04,467713307,378708982,378708982,0.2047,77536321,77466895,77341210,0.67,0.67,0.67,176198697,176268123,176393808,0,0,0
57110842000113,SPARTA INFRA CDI MASTER V FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Sparta,2024-10-01,22,202603,2026-08-04,954836803,958597005,954836803,0.6913,660038657,650734039,622167808,0.67,0.85,0.85,0,160877243,189443475,1,0,0
66632272000112,AZ QUEST AZRF MASTER 01/2033 FIF INCENTIVADO EM INFRA RF RESP LIMITADA,AZ Quest,2026-05-01,3,202603,2026-08-04,234794186,229242881,229242881,0,0,0,0,0,0.67,0.67,0,153592730,153592730,0,0,1
54006238000153,BRAM DEBÊNTURES INCENTIVADAS CDI 2402 FIF RF INCENTIVADO DE INVESTIMENTO EM INFRA LP RESP LIMITADA,BRAM,2024-02-01,30,202603,2026-08-04,4169119460,4030729612,4030729612,0.8161,3289402878,3276051436,3266306883,0.85,0.85,0.85,136717292,150068735,159813287,1,0,0
