Dia,Gestor_Apelido,Captacao,Resgate,Liquido,PL,Num_Fundos
2026-06-01,"4UM",0,0,0,75432266.37,1
2026-06-01,"Absolute",4631719.78,89941716.62,-85309996.84,11998966948.81,12
2026-06-01,"Ace",0,545000,-545000,25597421.86,1
2026-06-01,"AF Invest",0,0,0,368772197.72,4
2026-06-01,"Altera",0,0,0,184453376.76,3
2026-06-01,"Andbank",0,0,0,109381938.19,2
2026-06-01,"ARX",3585509.59,27048847.88,-23463338.29,6015318290.54,9
2026-06-01,"ASA",0,0,0,94403670.31,3
2026-06-01,"Asset 1",0,1175000,-1175000,116024089.86,2
2026-06-01,"Atena",0,0,0,31184958.6,1
2026-06-01,"Augme",6458.56,10352237.73,-10345779.17,500861903.15,2
2026-06-01,"AZ Quest",25291.38,0,25291.38,770835320.69,3
2026-06-01,"BB Asset",211644781.78,235277493.99,-23632712.21,20330829032.62,93
2026-06-01,"BBM Asset",40000,0,40000,177524233.9,2
2026-06-01,"BDR",0,0,0,172680687.23,2
2026-06-01,"Black Swan",0,0,0,22487529.05,1
2026-06-01,"Bocaina",404000,951000,-547000,1079758658.07,9
2026-06-01,"BR Partners",0,0,0,724455869.3,14
2026-06-01,"Brainvest",0,0,0,49233498.01,2
2026-06-01,"BRAM",125498074.3,164919011.55,-39420937.25,29119942833.52,80
2026-06-01,"BTG Asset",1396558.48,74420360.8,-73023802.32,7373345740.75,13
2026-06-01,"BTG WM",19394097.73,19219563.19,174534.54,17590698931.68,219
2026-06-01,"Butiá",2032.98,5612,-3579.02,14533801.34,1
2026-06-01,"BV Asset",0,0,0,102760580.7,1
2026-06-01,"Capitânia",8674352.38,14197340.59,-5522988.21,2808909074.77,14
2026-06-01,"Citrino",0,0,0,72080924.26,1
2026-06-01,"Daycoval",1657850,238101.32,1419748.68,401702524.04,4
2026-06-01,"Daycoval Asset",0,0,0,105721814.8,1
2026-06-01,"Douro",0,0,0,39216004.12,2
2026-06-01,"Drys",0,0,0,24157662.61,1
2026-06-01,"EQI",16080.81,725954.48,-709873.67,109419508.02,1
2026-06-01,"Être-Davos",0,0,0,33007783.07,1
2026-06-01,"Exes",0,0,0,43388579.68,1
2026-06-01,"FAR",0,0,0,7024969.76,1
2026-06-01,"Franklin Templeton",0,0,0,256165447.62,1
2026-06-01,"G5",3830000,1160093.55,2669906.45,2236631769.66,46
2026-06-01,"Galapagos",0,0,0,141992098.14,2
2026-06-01,"Galt",0,0,0,167593877.87,2
2026-06-01,"GV Atacama",0,0,0,15787996.23,1
2026-06-01,"Heritage",0,0,0,66916675.43,1
2026-06-01,"IAM",34554828.84,190181144.56,-155626315.72,84298720746.14,310
2026-06-01,"Ibuina",855498.88,4128891.91,-3273393.03,1119284435.5,2
2026-06-01,"Icatu",938201.25,27848259.88,-26910058.63,5255873162.43,15
2026-06-01,"Inter",697863.51,0,697863.51,1110227551.94,5
2026-06-01,"Iridium",15969.03,41558.91,-25589.88,148782321.25,2
2026-06-01,"ITAU Tsy",455484534.84,0,455484534.84,25194807340.65,2
2026-06-01,"Jera",0,0,0,33819684.66,1
2026-06-01,"JGP",6364900.04,12339366.2,-5974466.16,3794150083.46,9
2026-06-01,"Jive",0,0,0,435890302.36,1
2026-06-01,"Journey",42905.46,0,42905.46,121401705.34,10
2026-06-01,"Kinea",94700,32180158.77,-32085458.77,14279189853.46,189
2026-06-01,"Lakewood",0,0,0,138111069.41,2
2026-06-01,"Legacy",259257.06,1149000,-889742.94,4023695217.82,9
2026-06-01,"MAG",0,0,0,19357399.29,1
2026-06-01,"Maud",0,0,0,68941971.63,1
2026-06-01,"Mirabaud",0,0,0,37525880.69,1
2026-06-01,"MMZR",0,0,0,10348725.17,1
2026-06-01,"Monte Azul",0,0,0,23517747.73,1
2026-06-01,"Monte Bravo",0,0,0,56679857.94,2
2026-06-01,"Navi",0,0,0,9859050.53,1
2026-06-01,"Newave",0,0,0,49407150.66,1
2026-06-01,"Nikos",124213.31,2973735.52,-2849522.21,221815284.18,3
2026-06-01,"Novus",0,1670000,-1670000,198130474.4,1
2026-06-01,"Nu Asset",0,0,0,106193858.55,1
2026-06-01,"Occam",147133,15367364.98,-15220231.98,1766459506.2,5
2026-06-01,"Opportunity",0,0,0,31884470.31,1
2026-06-01,"Oriz",0,0,0,342845362.38,13
2026-06-01,"Paramis",0,0,0,161999832.4,2
2026-06-01,"Pátria",0,0,0,34949935.72,1
2026-06-01,"Perfin",0,0,0,631856413.7,5
2026-06-01,"Persevera",0,0,0,25954196.57,1
2026-06-01,"Plural",460501.94,6250673.62,-5790171.68,1775019308.51,7
2026-06-01,"Porto Asset",0,6326.48,-6326.48,91514543.65,2
2026-06-01,"Portofino",0,0,0,353372018.27,10
2026-06-01,"Principal",0,0,0,8706370.81,1
2026-06-01,"Proteus",0,11122000,-11122000,541888281.34,1
2026-06-01,"Rafter",0,0,0,347551629.69,3
2026-06-01,"RB Asset",15072000,8509031,6562969,1133741720.49,6
2026-06-01,"RBR",0,0,0,123330787.93,2
2026-06-01,"Rio Bravo",0,890018.13,-890018.13,128678566.34,3
2026-06-01,"Riza",0,8042802.64,-8042802.64,590104284.42,4
2026-06-01,"Root",0,0,0,199376838.3,1
2026-06-01,"Rubik",0,0,0,52550866.92,1
2026-06-01,"Safra Asset",5547005.51,4768927.73,778077.78,7753517458.23,66
2026-06-01,"SAM",28352919.93,4464000,23888919.93,12945805801.8,9
2026-06-01,"San Tsy",0,0,0,19123762198.07,2
2026-06-01,"San WM",0,1923300,-1923300,6622969700.89,140
2026-06-01,"Scalare",0,0,0,1817863202.54,3
2026-06-01,"Seven Pounds",0,0,0,46110422.25,1
2026-06-01,"Somma",100,0,100,14740532.44,1
2026-06-01,"Sonata",0,0,0,106515630.04,1
2026-06-01,"Sparta",592200.21,24608353.67,-24016153.46,9964176076.35,19
2026-06-01,"SPX",48000,14249867.65,-14201867.65,1310830945.21,4
2026-06-01,"STK",0,0,0,27371746.64,1
2026-06-01,"Sulamérica",54000,1554428.57,-1500428.57,1482120548.5,5
2026-06-01,"Suno",0,0,0,70099405.86,2
2026-06-01,"SVN",314959.86,1896928.99,-1581969.13,309559231.9,1
2026-06-01,"SWM",0,22281.07,-22281.07,528258998.05,4
2026-06-01,"TAG",0,0,0,61677357.22,1
2026-06-01,"Tenax",7000,468000,-461000,346443562.13,1
2026-06-01,"Tivio",0,0,0,312563356.4,5
2026-06-01,"Tori 21",0,0,0,15007638.56,1
2026-06-01,"Trígono",0,0,0,41184918.7,1
2026-06-01,"Turim",0,0,0,142466342.1,3
2026-06-01,"UBS",0,3446211.62,-3446211.62,7371904623.32,77
