Dia,Gestor_Apelido,Captacao,Resgate,Liquido,PL,Num_Fundos
2025-08-01,"4UM",19361.87,0,19361.87,311805251.73,2
2025-08-01,"Absolute",71071716.46,25557984.34,45513732.12,18297110790.92,8
2025-08-01,"AF Invest",4935713.54,956781.23,3978932.31,1169622508.83,4
2025-08-01,"Altera",5000,0,5000,108772896.29,2
2025-08-01,"Amazonia",0,0,0,297561951.25,1
2025-08-01,"AMW",0,2100000,-2100000,1129612689.24,2
2025-08-01,"Angá",0,0,0,2446455.25,1
2025-08-01,"Aramus",0,0,0,22182749.36,1
2025-08-01,"ARX",32101675.64,13322104.67,18779570.97,19152883062.88,13
2025-08-01,"ASA",300500,227670.85,72829.15,296453199.86,5
2025-08-01,"Asset 1",3600000,0,3600000,123236195.74,1
2025-08-01,"Atena",4151284.69,640603.84,3510680.85,555737417.18,3
2025-08-01,"Augme",850000,3368393,-2518393,2089011521.55,13
2025-08-01,"AZ Quest",33112041.97,35513145.13,-2401103.16,25105855509.14,13
2025-08-01,"Banrisul",47700,10958.37,36741.63,244975335.92,1
2025-08-01,"BB Asset",750707432.67,546803971.18,203903461.49,204302271561.65,15
2025-08-01,"BBM Asset",15000,4527.01,10472.99,1314337858.19,6
2025-08-01,"Berkana",0,0,0,30698873.44,1
2025-08-01,"BNP",144265.35,0,144265.35,6486201707.54,12
2025-08-01,"Bocaina",0,0,0,73042674.94,2
2025-08-01,"Brainvest",0,0,0,160187002.01,5
2025-08-01,"BRAM",293183028.33,123122841.39,170060186.94,83551430736.99,30
2025-08-01,"Brave",306995.53,60000,246995.53,363836806.92,2
2025-08-01,"BRM",0,0,0,57095663.54,1
2025-08-01,"BRZ",0,0,0,569219213.26,6
2025-08-01,"BTG Asset",40060150.39,25257624.47,14802525.92,23534176889.89,29
2025-08-01,"BTG WM",6808634.29,732453.7,6076180.59,3983896400.48,46
2025-08-01,"Butiá",1223000,2211000,-988000,582194298.68,3
2025-08-01,"Capitânia",754312.17,10584203.09,-9829890.92,4695704548.49,19
2025-08-01,"Capri",0,0,0,174648280.43,4
2025-08-01,"Cartor",6782.82,51000,-44217.18,717638242.85,1
2025-08-01,"CEF Asset",85461201.2,45676459.93,39784741.27,58298156065.78,10
2025-08-01,"Chromo",0,0,0,96553820.73,1
2025-08-01,"DAO",0,0,0,36574255.09,1
2025-08-01,"Daycoval",10047289.29,3254516.53,6792772.76,4136239378.77,6
2025-08-01,"Devant",29000,130263.21,-101263.21,32767461.45,3
2025-08-01,"Drys",13385049.9,682706.44,12702343.46,409039061.7,2
2025-08-01,"Dynamo",0,0,0,648235511.25,2
2025-08-01,"Ekho",0,0,0,21083260.75,1
2025-08-01,"EQI",114422,1437999.99,-1323577.99,399884037.14,2
2025-08-01,"EXT",0,0,0,1282736.41,1
2025-08-01,"Franklin Templeton",0,0,0,5743490384.47,10
2025-08-01,"Funcef",0,6000000,-6000000,848300897.29,2
2025-08-01,"G5",7563000,0,7563000,701622987.32,4
2025-08-01,"Galapagos",0,0,0,320733498.43,3
2025-08-01,"Galt",5150,48432,-43282,144886031.02,1
2025-08-01,"Gauss",0,0,0,23075769.4,1
2025-08-01,"GHT4",246765.62,53950,192815.62,81258197.61,1
2025-08-01,"Global",719911.63,0,719911.63,18861108.91,1
2025-08-01,"Guardian",42050.8,0,42050.8,61902034.05,2
2025-08-01,"IAM",290835415.98,214491200.29,76344215.69,218752456214.94,32
2025-08-01,"Ibuina",1457140.71,13030949.93,-11573809.22,1932020725.12,5
2025-08-01,"Icatu",29777519.82,18829118.64,10948401.18,16649041999.98,43
2025-08-01,"Integral",830885.1,96380.52,734504.58,172461962.94,2
2025-08-01,"Inter",4579668.1,5959527.51,-1379859.41,2397661025.65,7
2025-08-01,"Investcoop",0,0,0,2004247505.74,4
2025-08-01,"Iridium",5985190.29,10255298.6,-4270108.31,2300921616.45,3
2025-08-01,"JGP",51363050.79,3761725.88,47601324.91,12213639386.64,20
2025-08-01,"Jive",5286921.49,0,5286921.49,583498325.57,1
2025-08-01,"Kadima",0,0,0,6803800.88,1
2025-08-01,"Kinea",101780812.96,16796854.15,84983958.81,38688941415.08,14
2025-08-01,"Legacy",1536215.63,3418359.79,-1882144.16,1617513540.8,4
2025-08-01,"Lifetime",0,0,0,47162118.72,2
2025-08-01,"M8",6859729.92,58965.97,6800763.95,1092979349.79,3
2025-08-01,"MAG",786468.91,1033519.13,-247050.22,2085698351.2,8
2025-08-01,"Maud",0,0,0,21684404.19,1
2025-08-01,"Mirabaud",3000,0,3000,338746184.48,3
2025-08-01,"Monte Bravo",2490592.53,243094.83,2247497.7,684441042.34,4
2025-08-01,"Nest",0,0,0,14082470.5,1
2025-08-01,"Novus",191780.41,32760.49,159019.92,113345655.12,1
2025-08-01,"Nu Asset",3150000,656000,2494000,680209713.46,1
2025-08-01,"Occam",38533981.39,10027000,28506981.39,4963137948.95,5
2025-08-01,"Onze",187681.07,70980.6,116700.47,131070035.98,2
2025-08-01,"Oriz",0,0,0,172370642.03,3
2025-08-01,"Paramis",2210000,0,2210000,606458548.87,4
2025-08-01,"Patagônia",0,0,0,15729217.08,1
2025-08-01,"Plural",2296106.55,3282321.6,-986215.05,2337638201.94,8
2025-08-01,"PNBY",700626.02,3187938.77,-2487312.75,391335784.64,3
2025-08-01,"Polígono",0,0,0,32978897.5,1
2025-08-01,"Polo",2354992.95,1400000,954992.95,1977165891.38,9
2025-08-01,"Porto Asset",49113154.84,34112283.68,15000871.16,9476723426.13,7
2025-08-01,"Portofino",0,0,0,126894716.22,2
2025-08-01,"Prada",0,0,0,49287773.61,1
2025-08-01,"Previ",0,0,0,689298371.87,1
2025-08-01,"Principal",23962.33,1449888.05,-1425925.72,629135485.86,6
2025-08-01,"Prumo",0,0,0,36778221.92,1
2025-08-01,"Quantitas",500000,0,500000,1594296512.34,2
2025-08-01,"Rafter",600000,1132671.37,-532671.37,514967834.89,7
2025-08-01,"Reach",0,0,0,60859314.38,1
2025-08-01,"Regia",100173666.9,2535838.71,97637828.19,8866818830.41,4
2025-08-01,"Rio Bravo",6725,4604.24,2120.76,133891836.36,2
2025-08-01,"Riza",54011301.23,17289492.24,36721808.99,8537365386.41,6
2025-08-01,"Root",3839762.13,210000,3629762.13,3340466173.56,7
2025-08-01,"Rubik",0,0,0,34209267.99,2
2025-08-01,"Safra Asset",68882630.37,87412537.1,-18529906.73,42326815197.99,21
2025-08-01,"SAM",40551851.63,23355135,17196716.63,41421008091.18,16
2025-08-01,"San WM",0,0,0,741044875.26,7
2025-08-01,"Scalare",0,0,0,14428958.31,3
2025-08-01,"SFI",192960.67,59758.03,133202.64,81020535.48,1
2025-08-01,"Solis",1433220.87,125198.25,1308022.62,807013012.89,2
2025-08-01,"Somma",157158.16,221745.56,-64587.4,798204761.99,4
2025-08-01,"Sonata",0,0,0,94182083.09,2
2025-08-01,"Sparta",12396000,11198137.87,1197862.13,10737488034.3,17
2025-08-01,"Springs",0,0,0,3977261.99,1
2025-08-01,"SPX",11910017.35,1234705.62,10675311.73,5680584987.34,4
2025-08-01,"Starboard",0,0,0,44094271.96,1
2025-08-01,"Stonex",0,0,0,172874495.43,1
2025-08-01,"Strix",0,0,0,374885152.68,1
2025-08-01,"Sulamérica",154353978.74,33686708.9,120667269.84,23114635419.96,21
2025-08-01,"SVN",14821701.59,1671514.86,13150186.73,2660127825.28,2
2025-08-01,"TAG",0,0,0,79083617.22,1
2025-08-01,"Tagus",93853.13,606327.58,-512474.45,442052863.3,3
2025-08-01,"Tenax",0,0,0,11153562.67,1
2025-08-01,"Tivio",39728441.4,27984696.54,11743744.86,3716771814.2,7
2025-08-01,"Trígono",11005.5,0,11005.5,138684707.02,1
2025-08-01,"Turim",0,3637184.01,-3637184.01,244254156.77,1
2025-08-01,"Tyton",769770.52,600000,169770.52,265083872.33,3
2025-08-01,"UBS",43059874.96,41324020.63,1735854.33,8633170745.29,16
2025-08-01,"Valora",6047797.32,6645192.15,-597394.83,3678327936.67,5
2025-08-01,"Verde",0,0,0,383301834.88,2
2025-08-01,"Vinci",11198561.88,4988062.2,6210499.68,4747624274.18,13
2025-08-01,"Vinland",11462940.04,5000,11457940.04,4046496220.67,4
2025-08-01,"VLGI",1471562.07,1781921.73,-310359.66,193274946.37,1
2025-08-01,"Vox",64027.24,0,64027.24,75950303.11,1
2025-08-01,"Warren",0,0,0,37046588.63,1
2025-08-01,"Wise",868030.28,581315.42,286714.86,218011829.1,2
2025-08-01,"WIT",0,0,0,26228481.46,1
2025-08-01,"XPG",28154188.42,24194182.89,3960005.53,13635856530.88,33
2025-08-01,"XVI",0,0,0,17469991.98,1
2025-08-01,"ZSYS",131841,0,131841,12389151.22,1
2025-08-04,"4UM",1635.08,0,1635.08,311994771.18,2
2025-08-04,"Absolute",54389239.83,36899088.01,17490151.82,18325630554.17,8
2025-08-04,"AF Invest",1692461.34,802294.18,890167.16,1171491530.03,4
2025-08-04,"Altera",49620,0,49620,108886106.48,2
2025-08-04,"Amazonia",0,0,0,297830387.45,1
2025-08-04,"AMW",0,0,0,1130328605.17,2
2025-08-04,"Angá",0,0,0,2446206.64,1
2025-08-04,"Aramus",0,0,0,22217469.32,1
2025-08-04,"ARX",50684699.54,27217191.07,23467508.47,19192383492.8,13
2025-08-04,"ASA",18410,63251.13,-44841.13,296608618.58,5
2025-08-04,"Asset 1",450000,0,450000,123760977.2,1
2025-08-04,"Atena",49740.88,138023.3,-88282.42,556016921.35,3
2025-08-04,"Augme",24130000,5425401,18704599,2108846118.07,13
2025-08-04,"AZ Quest",28992989.28,64943397.11,-35950407.83,25088639504.89,13
2025-08-04,"Banrisul",34317.53,168057.98,-133740.45,244985132.5,1
2025-08-04,"BB Asset",526368554.11,550782094.5,-24413540.39,204440383128.27,15
2025-08-04,"BBM Asset",400.83,540013.04,-539612.21,1315145449.88,6
2025-08-04,"Berkana",0,0,0,30723003,1
2025-08-04,"BNP",0,0,0,6490082934.08,12
2025-08-04,"Bocaina",0,0,0,73064406.75,2
2025-08-04,"Brainvest",90000,0,90000,160318537.27,5
2025-08-04,"BRAM",278387325.55,103278565.23,175108760.32,83780134608.57,30
2025-08-04,"Brave",142010.85,0,142010.85,364192614.36,2
2025-08-04,"BRM",0,0,0,57150822.94,1
2025-08-04,"BRZ",25000,2342.48,22657.52,569923575.68,6
2025-08-04,"BTG Asset",16502817,16894627.03,-391810.03,23549047512.4,29
2025-08-04,"BTG WM",0,2857892.01,-2857892.01,3979080173.75,46
2025-08-04,"Butiá",637000,1371000,-734000,581846956.38,3
2025-08-04,"Capitânia",1853088.39,21613898.49,-19760810.1,4680450927.51,19
2025-08-04,"Capri",0,0,0,174775787.21,4
2025-08-04,"Cartor",129514.09,5128645.16,-4999131.07,713062611.56,1
2025-08-04,"CEF Asset",420368512,78682243.04,341686268.96,58674348265.29,10
2025-08-04,"Chromo",0,150000,-150000,96643275.64,1
2025-08-04,"DAO",0,0,0,36597300.94,1
2025-08-04,"Daycoval",11204737.89,19525686.24,-8320948.35,4130567481.11,6
2025-08-04,"Devant",3407.66,26388.13,-22980.47,32654504.48,3
2025-08-04,"Drys",3330714.85,2184786.8,1145928.05,410449529,2
2025-08-04,"Dynamo",0,0,0,652195295.22,2
2025-08-04,"Ekho",0,0,0,21100143.44,1
2025-08-04,"EQI",344268,0,344268,400401290.5,2
2025-08-04,"EXT",0,0,0,1283568.19,1
2025-08-04,"Franklin Templeton",416470.82,0,416470.82,5748528028.48,10
2025-08-04,"Funcef",0,0,0,850601881.16,2
2025-08-04,"G5",0,0,0,703083826.18,4
2025-08-04,"Galapagos",0,0,0,320803501.06,3
2025-08-04,"Galt",72329.52,134116.02,-61786.5,144925949.17,1
2025-08-04,"Gauss",0,0,0,23075871.57,1
2025-08-04,"GHT4",1077717.03,85046,992671.03,82296961.42,1
2025-08-04,"Global",557084.74,0,557084.74,19430037.84,1
2025-08-04,"Guardian",150102.58,307556.05,-157453.47,61773817.04,2
2025-08-04,"IAM",308370217.44,222262415.82,86107801.62,218975238324.77,32
