Mes,Gestor_Apelido,Captacao,Resgate,Liquido
2025-08,"4UM",10117037.47,0,10117037.47
2025-08,"Absolute",1866033756.47,109407625.93,1756626130.54
2025-08,"Ace",102260,272650,-170390
2025-08,"AF Invest",77209165.33,0,77209165.33
2025-08,"Altera",53804000,26913000,26891000
2025-08,"Andbank",8846337.35,0,8846337.35
2025-08,"ARX",604210173.69,105603655.47,498606518.22
2025-08,"ASA",455660,0,455660
2025-08,"Asset 1",10198000,250000,9948000
2025-08,"Atena",167548.71,3215.25,164333.46
2025-08,"Augme",1039327.39,1930267.51,-890940.12
2025-08,"AZ Quest",8495392.9,14792719.79,-6297326.89
2025-08,"BB Asset",2768543833.61,353711193.01,2414832640.6
2025-08,"BBM Asset",18991883.26,4049136.7,14942746.56
2025-08,"BDR",0,2500000,-2500000
2025-08,"Black Swan",70000,0,70000
2025-08,"Bocaina",8659000,17820000.01,-9161000.01
2025-08,"BR Partners",3130717.87,0,3130717.87
2025-08,"Brainvest",6382345.42,0,6382345.42
2025-08,"BRAM",2515201936.65,351623395.51,2163578541.14
2025-08,"BTG Asset",361283045.48,110532675.27,250750370.21
2025-08,"BTG WM",2376070150.12,1340856956.49,1035213193.63
2025-08,"Butiá",11680.59,311667.19,-299986.6
2025-08,"BV Asset",35000000,0,35000000
2025-08,"Capitânia",109178102.4,119651117.4,-10473015
2025-08,"Citrino",0,0,0
2025-08,"Daycoval",6330764.51,1745546.38,4585218.13
2025-08,"Daycoval Asset",20000000,0,20000000
2025-08,"Douro",0,0,0
2025-08,"Drys",0,325000,-325000
2025-08,"EQI",60316803.26,7313020.19,53003783.07
2025-08,"Exes",0,0,0
2025-08,"FAR",115332.06,493717.46,-378385.4
2025-08,"Franklin Templeton",0,0,0
2025-08,"G5",38048000.03,5940000,32108000.03
2025-08,"Galapagos",378485.45,3528763.65,-3150278.2
2025-08,"Galt",0,0,0
2025-08,"Heritage",6500000,0,6500000
2025-08,"IAM",3237666822.59,568281335.67,2669385486.92
2025-08,"Ibuina",7415851.3,35171680.2,-27755828.9
2025-08,"Icatu",162941477.92,4916440.19,158025037.73
2025-08,"Inter",58271025.36,17765951.68,40505073.68
2025-08,"Iridium",560111.68,3440461.11,-2880349.43
2025-08,"Jera",0,0,0
2025-08,"JGP",238030350.45,110561931.4,127468419.05
2025-08,"Journey",34066505.18,11258675.94,22807829.24
2025-08,"Kinea",84790303.18,104379375.22,-19589072.04
2025-08,"Lakewood",500000,0,500000
2025-08,"Legacy",613034471.36,41938131.19,571096340.17
2025-08,"MAG",0,0,0
2025-08,"Maud",1420000,1376548.98,43451.02
2025-08,"Mirabaud",858024.47,2078.82,855945.65
2025-08,"MMZR",174000,0,174000
2025-08,"Monte Azul",0,0,0
2025-08,"Monte Bravo",0,0,0
2025-08,"Navi",0,0,0
2025-08,"Newave",332500,0,332500
2025-08,"Nikos",70159672.1,13192595.29,56967076.81
2025-08,"Novus",11370000,0,11370000
2025-08,"Nu Asset",0,500000,-500000
2025-08,"Occam",41529231.6,1147519.37,40381712.23
2025-08,"Opportunity",0,0,0
2025-08,"Oriz",28401471.94,38359500,-9958028.06
2025-08,"Paramis",1540000,1555000,-15000
2025-08,"Pátria",0,368032.5,-368032.5
2025-08,"Perfin",30100000,0,30100000
2025-08,"Persevera",3082261.98,0,3082261.98
2025-08,"Plural",115979239.19,48425490.18,67553749.01
2025-08,"Porto Asset",4675762.11,81460.53,4594301.58
2025-08,"Portofino",0,0,0
2025-08,"Principal",12256,56695.34,-44439.34
2025-08,"Proteus",77502384.55,1139000,76363384.55
2025-08,"Rafter",13399514.97,1240000,12159514.97
2025-08,"RB Asset",38249000,17823000,20426000
2025-08,"RBR",0,0,0
2025-08,"Rio Bravo",5163860.41,1023111,4140749.41
2025-08,"Riza",37155645.71,5975445.27,31180200.44
2025-08,"Root",0,0,0
2025-08,"Rubik",460756.88,0,460756.88
2025-08,"Safra Asset",2057044288.77,1124861428.08,932182860.69
2025-08,"SAM",3467114299.72,143487289.79,3323627009.93
2025-08,"San WM",160434946.44,16634185.41,143800761.03
2025-08,"Scalare",51395844.39,57006816.12,-5610971.73
2025-08,"Seven Pounds",40000000,0,40000000
2025-08,"Somma",1551837.04,310921.79,1240915.25
2025-08,"Sparta",763966929.41,44390048.78,719576880.63
2025-08,"SPX",352809916.37,176762243.62,176047672.75
2025-08,"Sulamérica",817535.26,508841.12,308694.14
2025-08,"Suno",400000,2993215,-2593215
2025-08,"SWM",8416514.31,222324.27,8194190.04
2025-08,"TAG",800000,0,800000
2025-08,"Tenax",25441177.54,20352129.37,5089048.17
2025-08,"Tivio",18523100.03,12070273.23,6452826.8
2025-08,"Tori 21",0,0,0
2025-08,"Trígono",38279.67,73000,-34720.33
2025-08,"Turim",0,0,0
2025-08,"UBS",114434505.32,36591672.6,77842832.72
2025-08,"Valia",1020772.23,1019893.48,878.75
2025-08,"Valora",24660393.12,4000000,20660393.12
2025-08,"Vêneto",0,0,0
2025-08,"Vinci",26362152.26,6348400,20013752.26
