Mes,Gestor_Apelido,Captacao,Resgate,Liquido
2025-08,"4UM",2680590.49,5876666.37,-3196075.88
2025-08,"Absolute",1350716510.45,773150042.27,577566468.18
2025-08,"AF Invest",99689618.06,79049119.93,20640498.13
2025-08,"Altera",5110702.71,1666264.5,3444438.21
2025-08,"Amazonia",0,0,0
2025-08,"AMW",5538116.11,30842999.98,-25304883.87
2025-08,"Angá",0,0,0
2025-08,"Aramus",0,0,0
2025-08,"ARX",718824981.63,486335538.74,232489442.89
2025-08,"ASA",8344578.57,3861196.62,4483381.95
2025-08,"Asset 1",67290000,5300000,61990000
2025-08,"Atena",19460792.18,26004362.1,-6543569.92
2025-08,"Augme",67339259,50224018,17115241
2025-08,"AZ Quest",640549613.91,1010809498.75,-370259884.84
2025-08,"Banrisul",780578958.66,785919522.22,-5340563.56
2025-08,"BB Asset",17574962138.15,17930874219.48,-355912081.33
2025-08,"BBM Asset",1614664.78,31742681.53,-30128016.75
2025-08,"Berkana",0,0,0
2025-08,"BNP",11718484.13,22515489.88,-10797005.75
2025-08,"Bocaina",62000,0,62000
2025-08,"Brainvest",6770456.37,596811.59,6173644.78
2025-08,"BRAM",12492959935.36,7111871814.31,5381088121.05
2025-08,"Brave",11486991.79,6213016.26,5273975.53
2025-08,"BRM",0,0,0
2025-08,"BRZ",1696686.95,2633011.42,-936324.47
2025-08,"BTG Asset",922731540.75,740060650.18,182670890.57
2025-08,"BTG WM",89427369.84,50016334.61,39411035.23
2025-08,"Butiá",26545000,30306000,-3761000
2025-08,"BV Asset",26000000,26000000,0
2025-08,"Capitânia",34553201.21,354549538.54,-319996337.33
2025-08,"Capri",0,50000,-50000
2025-08,"Cartor",5346929.64,11461819.79,-6114890.15
2025-08,"CEF Asset",3054448291.42,1384258989.56,1670189301.86
2025-08,"Chromo",2850000.49,6121255.55,-3271255.06
2025-08,"DAO",0,0,0
2025-08,"Daycoval",165400596.79,196769158.02,-31368561.23
2025-08,"Devant",10900.08,437242.93,-426342.85
2025-08,"Drys",135712859.32,56626378.5,79086480.82
2025-08,"Dynamo",0,6399854.05,-6399854.05
2025-08,"Ekho",0,0,0
2025-08,"EQI",13601922,16150999.94,-2549077.94
2025-08,"Exploritas",3636847.03,1872448.63,1764398.4
