Gestor_Apelido,Retorno_1s,Retorno_1m,Retorno_3m,Retorno_6m,Retorno_12m,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m,DataBase
"4UM",0.5775,1.2909,1.5969,1.5969,1.5969,219.6495,110.833,47.5674,23.2295,10.8267,2026-07-14
"Absolute",0.0833,1.2064,2.0716,2.0716,2.0716,31.6833,103.6586,61.7393,30.1464,14.0477,2026-07-15
"Ace",0.4962,2.4196,3.2369,3.2369,3.2369,188.7324,207.9026,96.468,47.104,21.9495,2026-07-15
"AF Invest",0.2937,1.3807,1.9983,1.9983,1.9983,111.6991,118.6338,59.5555,29.0801,13.5508,2026-07-15
"Altera",0.2466,1.3061,1.9723,1.9723,1.9723,93.7715,112.225,58.779,28.7009,13.3741,2026-07-15
"Andbank",0.667,1.238,1.4087,1.4087,1.4087,253.6683,106.3725,41.9836,20.5,9.5526,2026-07-15
"ARX",0.3636,1.1737,1.7583,1.7583,1.7583,138.2687,100.8478,52.4019,25.5871,11.9231,2026-07-15
"ASA",0.4705,1.1541,1.3193,1.3193,1.3193,178.9514,99.1635,39.3198,19.1993,8.9465,2026-07-15
"Asset 1",0.2771,1.8337,3.5141,3.5141,3.5141,105.3735,157.5561,104.7296,51.138,23.8293,2026-07-15
"Atena",0.6897,0.7047,0.8456,0.8456,0.8456,262.3227,60.55,25.2,12.3048,5.7338,2026-07-15
"Augme",0.1314,1.7081,1.996,1.996,1.996,49.9575,146.7609,59.4857,29.0461,13.5349,2026-07-15
"AZ Quest",0.4387,1.4229,1.772,1.772,1.772,166.8658,122.256,52.8118,25.7872,12.0164,2026-07-15
"BB Asset",-3.8501,-14.9892,-20.4449,-20.4449,-20.4449,-1464.2948,-1287.9127,-609.3126,-297.5188,-138.638,2026-07-15
"BBM Asset",0.2598,1.5153,2.1756,2.1756,2.1756,98.8112,130.1969,64.8386,31.6598,14.7528,2026-07-15
"BDR",0.4532,1.237,1.7209,1.7209,1.7209,172.368,106.2866,51.2874,25.0429,11.6695,2026-07-15
"Black Swan",0.1255,1.1997,2.0696,2.0696,2.0696,47.7417,103.0826,61.6793,30.1171,14.034,2026-07-15
"Bocaina",0.6019,-0.1205,0.7861,0.7861,0.7861,228.9195,-10.3496,23.4273,11.4392,5.3304,2026-07-15
"BR Partners",0.6085,0.9864,1.3821,1.3821,1.3821,231.419,84.7562,41.1895,20.1123,9.3719,2026-07-15
"Brainvest",0.6531,0.8871,1.1455,1.1455,1.1455,248.4012,76.2188,34.1403,16.6702,7.768,2026-07-15
"BRAM",0.2716,1.4315,2.2448,2.2448,2.2448,103.285,122.9989,66.901,32.6668,15.2221,2026-07-15
"BTG Asset",0.2146,1.0055,1.4787,1.4787,1.4787,81.6304,86.3995,44.0689,21.5182,10.0271,2026-07-15
"BTG WM",0.5876,0.9221,1.3965,1.3965,1.3965,223.4618,79.2261,41.6188,20.3219,9.4696,2026-07-15
"Butiá",0.6637,1.2281,1.2921,1.2921,1.2921,252.4314,105.5214,38.5066,18.8023,8.7615,2026-07-15
"BV Asset",0.2275,1.3837,1.6505,1.6505,1.6505,86.5089,118.8938,49.1896,24.0186,11.1922,2026-07-15
"Capitânia",0.5463,1.0821,0.9102,0.9102,0.9102,207.7871,92.9745,27.1269,13.2457,6.1722,2026-07-15
"Citrino",0.568,0.7003,1.1253,1.1253,1.1253,216.0447,60.1704,33.5379,16.3761,7.6309,2026-07-15
"Daycoval",0.3242,0.7267,1.2187,1.2187,1.2187,123.318,62.4436,36.3207,17.7349,8.2641,2026-07-15
"Daycoval Asset",0.058,1.0678,2.2099,2.2099,2.2099,22.069,91.7467,65.8601,32.1586,14.9853,2026-07-15
"Douro",0.6602,1.4617,1.4772,1.4772,1.4772,251.0984,125.5915,44.0251,21.4969,10.0171,2026-07-15
"Drys",0.7082,1.4027,1.4335,1.4335,1.4335,269.3468,120.5258,42.7226,20.8608,9.7207,2026-07-15
"EQI",0.1179,1.7781,2.9026,2.9026,2.9026,44.8549,152.7815,86.5046,42.239,19.6825,2026-07-15
"Être-Davos",0.6627,0.9763,1.0991,1.0991,1.0991,252.0588,83.8844,32.7571,15.9949,7.4533,2026-07-15
"Exes",0.8976,0.7052,0.4707,0.4707,0.4707,341.3939,60.589,14.0278,6.8496,3.1918,2026-07-15
"FAR",0.6729,0.6867,0.7158,0.7158,0.7158,255.9105,59.0061,21.3332,10.4167,4.854,2026-07-15
"Franklin Templeton",0.4067,1.2084,1.513,1.513,1.513,154.6827,103.8254,45.0916,22.0176,10.2598,2026-07-15
"G5",0.4717,-0.8509,-4.1042,-4.1042,-4.1042,179.3908,-73.1137,-122.3161,-59.7253,-27.8308,2026-07-15
"Galapagos",0.7897,0.8852,0.9282,0.9282,0.9282,300.3264,76.0576,27.6637,13.5078,6.2944,2026-07-15
"Galt",0.372,1.179,2.1033,2.1033,2.1033,141.4877,101.3021,62.684,30.6077,14.2626,2026-07-15
"GV Atacama",0.8578,1.916,0.9673,0.9673,0.9673,326.2555,164.625,28.8288,14.0767,6.5595,2026-07-15
"Heritage",0.6963,1.5629,1.5405,1.5405,1.5405,264.8205,134.2847,45.9118,22.4181,10.4464,2026-07-15
"IAM",0.3235,1.3032,2.1975,2.1975,2.1975,123.0286,111.9734,65.4902,31.9779,14.9011,2026-07-15
"Ibuina",0.2246,1.3,2.1236,2.1236,2.1236,85.4031,111.699,63.29,30.9036,14.4005,2026-07-15
"Icatu",0.2313,1.3553,2.0501,2.0501,2.0501,87.9524,116.4539,61.0987,29.8336,13.9019,2026-07-15
"Inter",0.4093,1.0869,1.642,1.642,1.642,155.6722,93.389,48.9354,23.8945,11.1344,2026-07-15
"Iridium",0.4209,0.9998,1.1852,1.1852,1.1852,160.0867,85.9078,35.3221,17.2473,8.0369,2026-07-15
"Jera",0.7194,1.1722,1.3985,1.3985,1.3985,273.5946,100.7225,41.6795,20.3515,9.4834,2026-07-15
"JGP",0.2313,1.2672,2.0916,2.0916,2.0916,87.9595,108.878,62.3368,30.4382,14.1836,2026-07-15
"Jive",0.2995,1.2965,2.0693,2.0693,2.0693,113.9114,111.3972,61.6702,30.1127,14.0319,2026-07-15
"Journey",0.4705,1.2757,1.7532,1.7532,1.7532,178.9372,109.6108,52.2506,25.5132,11.8887,2026-07-15
"Kinea",0.5359,-0.1094,-0.9881,-0.9881,-0.9881,203.8266,-9.3971,-29.448,-14.3791,-6.7004,2026-07-15
"Lakewood",1.0529,0.5725,0.1668,0.1668,0.1668,400.4418,49.1906,4.9719,2.4277,1.1313,2026-07-15
"Legacy",1.075,2.6399,3.2042,3.2042,3.2042,408.8582,226.8302,95.495,46.6289,21.7281,2026-07-15
"MAG",0.9813,1.5838,1.386,1.386,1.386,373.2301,136.0861,41.3077,20.17,9.3988,2026-07-15
"Maud",0.6081,1.2665,1.474,1.474,1.474,231.2685,108.8173,43.9293,21.45,9.9953,2026-07-15
"Mirabaud",0.605,1.1523,1.2628,1.2628,1.2628,230.0892,99.0049,37.6337,18.376,8.5629,2026-07-15
"MMZR",0.7255,1.296,1.3854,1.3854,1.3854,275.9463,111.3564,41.2875,20.1601,9.3942,2026-07-15
"Monte Azul",0.5456,1.0352,1.0008,1.0008,1.0008,207.5114,88.9459,29.8279,14.5645,6.7868,2026-07-15
"Monte Bravo",0.5827,0.9773,1.3275,1.3275,1.3275,221.6146,83.9684,39.5629,19.318,9.0018,2026-07-15
"Navi",0.4819,0.6191,0.3023,0.3023,0.3023,183.278,53.1943,9.009,4.399,2.0498,2026-07-15
"Newave",0.6873,1.0603,1.3183,1.3183,1.3183,261.398,91.1079,39.2884,19.184,8.9394,2026-07-15
"Nikos",0.2032,1.9811,2.3195,2.3195,2.3195,77.2907,170.2228,69.1286,33.7545,15.7289,2026-07-15
"Novus",0.0594,0.932,1.9144,1.9144,1.9144,22.6102,80.0799,57.0553,27.8593,12.9819,2026-07-15
"Nu Asset",0.7,0.8264,1.0898,1.0898,1.0898,266.2182,71.0092,32.4788,15.859,7.39,2026-07-15
"Occam",0.0953,-3.9175,-12.6889,-12.6889,-12.6889,36.2558,-336.5983,-378.1636,-184.652,-86.0442,2026-07-15
"Opportunity",0.6527,0.6016,1.1985,1.1985,1.1985,248.2367,51.6926,35.7186,17.4409,8.1271,2026-07-15
"Oriz",0.5177,0.7758,1.2588,1.2588,1.2588,196.8929,66.6627,37.5157,18.3184,8.536,2026-07-15
"Paramis",0.4009,1.2433,1.52,1.52,1.52,152.4603,106.8294,45.3002,22.1195,10.3072,2026-07-15
"Pátria",0.649,0.5851,0.6652,0.6652,0.6652,246.8444,50.2701,19.8234,9.6795,4.5104,2026-07-15
"Perfin",0.6609,0.9288,0.9651,0.9651,0.9651,251.372,79.8078,28.7629,14.0445,6.5445,2026-07-15
"Persevera",0.1723,1.1767,2.0917,2.0917,2.0917,65.5454,101.108,62.3392,30.4394,14.1842,2026-07-15
"Plural",0.3462,1.32,1.9934,1.9934,1.9934,131.6725,113.4207,59.4099,29.009,13.5176,2026-07-15
"Porto Asset",-0.5992,-0.5427,0.6819,0.6819,0.6819,-227.9015,-46.634,20.3239,9.9239,4.6243,2026-07-15
"Portofino",0.6369,1.0589,1.2067,1.2067,1.2067,242.2391,90.9808,35.9628,17.5601,8.1827,2026-07-15
"Principal",0.658,1.0867,1.2688,1.2688,1.2688,250.2605,93.3689,37.8134,18.4638,8.6037,2026-07-15
"Proteus",0.3795,1.811,2.7421,2.7421,2.7421,144.3321,155.6096,81.7209,39.9032,18.5941,2026-07-15
"Rafter",0.3684,1.3743,2.12,2.12,2.12,140.1117,118.08,63.1805,30.8502,14.3756,2026-07-15
"RB Asset",0.1856,1.3736,2.3332,2.3332,2.3332,70.5951,118.0255,69.5349,33.9529,15.8214,2026-07-15
"RBR",0.4775,-1.7677,-2.7551,-2.7551,-2.7551,181.5937,-151.8816,-82.1088,-40.0926,-18.6824,2026-07-15
"Rio Bravo",0.4624,-0.309,-0.359,-0.359,-0.359,175.8786,-26.5515,-10.6992,-5.2243,-2.4344,2026-07-15
"Riza",0.1798,0.9853,2.0301,2.0301,2.0301,68.3816,84.662,60.5018,29.5422,13.7661,2026-07-15
"Root",0.6526,0.8448,1.2889,1.2889,1.2889,248.1969,72.586,38.4142,18.7571,8.7404,2026-07-15
"Rubik",0.6418,1.3173,1.5696,1.5696,1.5696,244.0784,113.1853,46.7798,22.8419,10.6439,2026-07-15
"Safra Asset",0.3124,1.4796,2.0217,2.0217,2.0217,118.8269,127.1327,60.251,29.4197,13.709,2026-07-15
"SAM",0.1624,1.4957,2.4349,2.4349,2.4349,61.7666,128.5137,72.5675,35.4337,16.5114,2026-07-15
"San WM",0.4237,1.0216,1.7102,1.7102,1.7102,161.1283,87.7748,50.9698,24.8878,11.5972,2026-07-15
"Scalare",0.7024,1.1971,1.3026,1.3026,1.3026,267.1602,102.8615,38.8201,18.9553,8.8328,2026-07-15
"Seven Pounds",0.4961,-1.157,-1.9511,-1.9511,-1.9511,188.6898,-99.4099,-58.1485,-28.3931,-13.2306,2026-07-15
"Somma",0.0199,1.1432,2.1762,2.1762,2.1762,7.5546,98.2238,64.8566,31.6686,14.7569,2026-07-15
"Sonata",0.6791,1.2641,1.4403,1.4403,1.4403,258.2867,108.6143,42.9253,20.9598,9.7669,2026-07-15
"Sparta",0.0465,-1.2502,-0.9252,-0.9252,-0.9252,17.703,-107.424,-27.5723,-13.4632,-6.2736,2026-07-15
"SPX",0.086,1.436,2.3445,2.3445,2.3445,32.7128,123.3867,69.8739,34.1185,15.8985,2026-07-15
"STK",0.52,0.9944,1.4806,1.4806,1.4806,197.7736,85.4423,44.1251,21.5457,10.0399,2026-07-15
"Sulamérica",0.2659,1.5788,2.6416,2.6416,2.6416,101.1468,135.6555,78.7273,38.4414,17.913,2026-07-15
"Suno",0.3121,1.0605,1.4871,1.4871,1.4871,118.6926,91.1242,44.3199,21.6408,10.0842,2026-07-15
