Gestor_Apelido,Retorno_1s,Retorno_1m,Retorno_3m,Retorno_6m,Retorno_12m,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m,DataBase
"4UM",0.3056,1.1751,1.6907,1.6907,1.6907,116.2446,105.7111,50.3348,24.5842,11.4604,2026-07-13
"Absolute",0.2905,1.2365,1.7564,1.7564,1.7564,110.4712,111.2386,52.2901,25.5391,11.9055,2026-07-13
"AF Invest",0.3096,1.2441,1.6627,1.6627,1.6627,117.752,111.9215,49.5001,24.1765,11.2703,2026-07-13
"Altera",0.267,1.1648,1.5569,1.5569,1.5569,101.5574,104.7828,46.3518,22.6388,10.5535,2026-07-13
"Amazonia",0.3289,0.8472,1.2093,1.2093,1.2093,125.0972,76.2106,36.0015,17.5836,8.1969,2026-07-13
"AMW",0.3584,1.3146,1.7925,1.7925,1.7925,136.3102,118.2654,53.3653,26.0643,12.1504,2026-07-13
"Angá",-0.018,-0.0661,-0.1015,-0.1015,-0.1015,-6.8519,-5.9421,-3.0223,-1.4761,-0.6881,2026-07-13
"Aramus",0.3087,1.3122,1.6951,1.6951,1.6951,117.3903,118.0454,50.4644,24.6474,11.4899,2026-07-13
"ARX",0.3314,1.2132,1.6457,1.6457,1.6457,126.0361,109.1429,48.9947,23.9296,11.1552,2026-07-13
"ASA",0.3059,1.2022,1.5807,1.5807,1.5807,116.352,108.1463,47.0579,22.9837,10.7143,2026-07-13
"Asset 1",0.2978,1.2139,1.6826,1.6826,1.6826,113.25,109.2023,50.0939,24.4665,11.4055,2026-07-13
"Atena",0.2915,1.2482,1.7404,1.7404,1.7404,110.8582,112.2869,51.8139,25.3066,11.7971,2026-07-13
"Augme",0.3111,1.0359,1.3397,1.3397,1.3397,118.3283,93.1906,39.883,19.4794,9.0807,2026-07-13
"AZ Quest",0.3421,1.2519,1.66,1.66,1.66,130.1111,112.6187,49.4209,24.1378,11.2523,2026-07-13
"Banrisul",0.2959,1.1987,1.6692,1.6692,1.6692,112.5565,107.836,49.6935,24.2709,11.3143,2026-07-13
"BB Asset",0.2792,1.1973,1.6745,1.6745,1.6745,106.1717,107.7057,49.8528,24.3487,11.3506,2026-07-13
"BBM Asset",0.2471,1.0667,1.5538,1.5538,1.5538,93.9721,95.9626,46.2567,22.5924,10.5318,2026-07-13
"Berkana",0.3589,1.1071,1.3739,1.3739,1.3739,136.5136,99.5957,40.9017,19.9769,9.3126,2026-07-13
"BNP",0.299,1.1902,1.6514,1.6514,1.6514,113.7225,107.072,49.1649,24.0128,11.194,2026-07-13
"Bocaina",0.2161,0.7057,0.9149,0.9149,0.9149,82.201,63.4825,27.2359,13.3024,6.2011,2026-07-13
"Brainvest",0.3024,1.0469,1.4094,1.4094,1.4094,115.0006,94.1792,41.96,20.4938,9.5536,2026-07-13
"BRAM",0.3032,1.2049,1.6605,1.6605,1.6605,115.3248,108.3917,49.4334,24.1439,11.2551,2026-07-13
"Brave",0.2811,1.1832,1.6356,1.6356,1.6356,106.8995,106.4435,48.6939,23.7827,11.0868,2026-07-13
"BRM",0.3714,0.9169,1.7776,1.7776,1.7776,141.2432,82.4805,52.9221,25.8478,12.0494,2026-07-13
"BRZ",0.3358,1.1996,1.6302,1.6302,1.6302,127.7169,107.9139,48.5321,23.7037,11.0499,2026-07-13
"BTG Asset",0.4017,1.1372,1.4569,1.4569,1.4569,152.7733,102.3029,43.3724,21.1836,9.8752,2026-07-13
"BTG WM",0.3718,1.154,1.5164,1.5164,1.5164,141.392,103.8154,45.1459,22.0499,10.279,2026-07-13
"Butiá",0.3102,1.2123,1.6814,1.6814,1.6814,117.9882,109.0594,50.0559,24.4479,11.3969,2026-07-13
"Capitânia",0.2452,0.7511,1.2274,1.2274,1.2274,93.2527,67.5699,36.5411,17.8471,8.3198,2026-07-13
"Capri",0.1806,1.0402,1.3882,1.3882,1.3882,68.6779,93.5784,41.3284,20.1853,9.4098,2026-07-13
"Cartor",0.2742,1.1481,1.575,1.575,1.575,104.3027,103.2809,46.889,22.9012,10.6758,2026-07-13
"CEF Asset",0.2683,1.1515,1.6131,1.6131,1.6131,102.0347,103.5905,48.0228,23.455,10.934,2026-07-13
"Chromo",-0.3444,0.5762,-0.5387,-0.5387,-0.5387,-130.9665,51.8375,-16.0371,-7.8327,-3.6514,2026-07-13
"DAO",0,0.8392,1.2939,1.2939,1.2939,0,75.496,38.5207,18.814,8.7705,2026-07-13
"Daycoval",0.2679,1.1888,1.6695,1.6695,1.6695,101.8708,106.9409,49.7037,24.2759,11.3167,2026-07-13
"Devant",-0.7025,0.2384,-0.0645,-0.0645,-0.0645,-267.1637,21.4492,-1.919,-0.9373,-0.4369,2026-07-13
