Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-07-28,"4UM",0,0,0,17363578.13,1,2025-08-01
2025-07-28,"Absolute",95283596.49,5220690.37,90062906.12,9864290809.28,10,2025-08-01
2025-07-28,"Ace",0,0,0,3104944.35,1,2025-08-01
2025-07-28,"AF Invest",0,0,0,258739555.29,4,2025-08-01
2025-07-28,"Altera",3000000,2000000,1000000,179552722.16,3,2025-08-01
2025-07-28,"Andbank",0,0,0,86970405.05,2,2025-08-01
2025-07-28,"ARX",10018958.71,3031950.71,6987008,5824918359.52,8,2025-08-01
2025-07-28,"ASA",0,0,0,94013449.51,3,2025-08-01
2025-07-28,"Asset 1",126000,0,126000,39589307.77,1,2025-08-01
2025-07-28,"Atena",3000.03,0,3000.03,20676554.7,1,2025-08-01
2025-07-28,"Augme",59380,0,59380,116414177.9,2,2025-08-01
2025-07-28,"AZ Quest",594984.73,733989.27,-139004.54,549619609.44,2,2025-08-01
2025-07-28,"BB Asset",113679966.4,9255467.44,104424498.96,13357169465.78,64,2025-08-01
2025-07-28,"BBM Asset",0,0,0,142987662.37,2,2025-08-01
2025-07-28,"BDR",0,0,0,171474399.06,2,2025-08-01
2025-07-28,"Black Swan",0,0,0,24489076.28,1,2025-08-01
2025-07-28,"Bocaina",60000,0,60000,503741450.69,7,2025-08-01
2025-07-28,"BR Partners",0,0,0,380610271.61,9,2025-08-01
2025-07-28,"Brainvest",0,0,0,26825518.96,1,2025-08-01
2025-07-28,"BRAM",61488317.06,6967979.19,54520337.87,16439974255.52,50,2025-08-01
2025-07-28,"BTG Asset",6040192.4,5180156.26,860036.14,4461428822.39,12,2025-08-01
2025-07-28,"BTG WM",885490375.88,36070072.41,849420303.47,16158143400.08,178,2025-08-01
2025-07-28,"Butiá",4000,0,4000,15783386.31,1,2025-08-01
2025-07-28,"BV Asset",0,0,0,1008499.65,1,2025-08-01
2025-07-28,"Capitânia",753998.57,0,753998.57,2746308189.98,12,2025-08-01
2025-07-28,"Citrino",0,0,0,67288559.34,1,2025-08-01
2025-07-28,"Daycoval",84656.05,230000,-145343.95,138951560.64,3,2025-08-01
2025-07-28,"Daycoval Asset",0,0,0,69904231.12,1,2025-08-01
2025-07-28,"Douro",0,0,0,51730148.09,2,2025-08-01
2025-07-28,"Drys",0,300000,-300000,24487557.77,1,2025-08-01
2025-07-28,"EQI",567110.04,192387.5,374722.54,130255852.12,1,2025-08-01
2025-07-28,"Exes",0,0,0,42465971.24,1,2025-08-01
2025-07-28,"FAR",0,3653.83,-3653.83,9502136.21,1,2025-08-01
2025-07-28,"Franklin Templeton",0,0,0,303710115.9,1,2025-08-01
2025-07-28,"G5",840000.01,1790000,-949999.99,1494877972.16,43,2025-08-01
2025-07-28,"Galapagos",0,104718.6,-104718.6,137549589.56,2,2025-08-01
2025-07-28,"Galt",0,0,0,123133155.08,2,2025-08-01
2025-07-28,"GV Atacama",0,0,0,16516468.22,1,2025-08-01
2025-07-28,"Heritage",0,0,0,85092515.68,1,2025-08-01
2025-07-28,"IAM",373114638.76,67008009.79,306106628.97,71374201142.03,244,2025-08-01
2025-07-28,"Ibuina",0,0,0,607071048.31,1,2025-08-01
2025-07-28,"Icatu",1387500,21452.4,1366047.6,2366865023.18,9,2025-08-01
2025-07-28,"Inter",2530361.73,388528.75,2141832.98,922604928.1,5,2025-08-01
2025-07-28,"Iridium",849.22,900.09,-50.87,157177289,2,2025-08-01
2025-07-28,"ITAU Tsy",0,0,0,17312890197.25,1,2025-08-01
2025-07-28,"Jera",0,0,0,39906063,1,2025-08-01
2025-07-28,"JGP",95571759.78,92896192.17,2675567.61,2375442658.05,8,2025-08-01
2025-07-28,"Journey",1737857.53,87886.49,1649971.04,596999173.74,10,2025-08-01
2025-07-28,"Kinea",20337500,30131680,-9794180,13171321967.21,182,2025-08-01
2025-07-28,"Lakewood",0,0,0,73086236.15,1,2025-08-01
2025-07-28,"Legacy",20193039.81,1250406.93,18942632.88,2289045995.56,5,2025-08-01
2025-07-28,"MAG",0,0,0,16704557.3,1,2025-08-01
2025-07-28,"Maud",0,0,0,45916725.86,1,2025-08-01
2025-07-28,"Mirabaud",0,0,0,26270684.56,1,2025-08-01
2025-07-28,"MMZR",0,0,0,6422027.28,1,2025-08-01
2025-07-28,"Monte Azul",0,0,0,22137047.06,1,2025-08-01
2025-07-28,"Monte Bravo",0,0,0,52536273.09,2,2025-08-01
2025-07-28,"Navi",0,0,0,9540593.6,1,2025-08-01
2025-07-28,"Newave",0,0,0,40295259.61,1,2025-08-01
2025-07-28,"Nikos",2960326.95,853942.43,2106384.52,241432219.36,3,2025-08-01
2025-07-28,"Novus",230000,0,230000,53171029,1,2025-08-01
2025-07-28,"Nu Asset",0,0,0,65240177.51,1,2025-08-01
2025-07-28,"Occam",737738.07,41000,696738.07,137048923.72,2,2025-08-01
2025-07-28,"Opportunity",0,0,0,23989096.98,1,2025-08-01
2025-07-28,"Oriz",4670506.98,0,4670506.98,302462165.71,9,2025-08-01
2025-07-28,"Paramis",0,0,0,159176444.63,2,2025-08-01
2025-07-28,"Pátria",0,0,0,34641453.52,1,2025-08-01
2025-07-28,"Perfin",0,0,0,551457081.89,5,2025-08-01
2025-07-28,"Persevera",0,0,0,73543818.77,1,2025-08-01
