Semana,CNPJ_Fundo,Gestor_Apelido,Captacao,Resgate,PL_Medio,DataBase
2025-07-28,00322699000106,"BRAM",3165109.02,8253220.94,6487581906.49,2025-08-01
2025-07-28,00832435000100,"IAM",165783027.08,12501952.74,7909766624.24,2025-08-01
2025-07-28,00852311000189,"BB Asset",526416926.18,149976331.47,36137344737.56,2025-08-01
2025-07-28,00888897000131,"BTG Asset",337782.8,1809761.98,885449466.71,2025-08-01
2025-07-28,00974902000129,"BRAM",0,0,402666118.2,2025-08-01
2025-07-28,00977449000104,"BNP",0,0,679046745.29,2025-08-01
2025-07-28,01361074000116,"IAM",1702748.95,3877608.02,5177308604.9,2025-08-01
2025-07-28,01380701000166,"San WM",0,0,8418449.09,2025-08-01
2025-07-28,01597187000115,"IAM",182367801.06,141057230.09,126531804270.02,2025-08-01
2025-07-28,01630558000113,"SAM",156945464.17,113321985.74,66086957422.27,2025-08-01
2025-07-28,01822655000108,"Banrisul",14379402.4,21875232.95,2929560202.74,2025-08-01
2025-07-28,02224382000162,"SAM",25197085.89,16913805,12144252272.36,2025-08-01
2025-07-28,02296928000190,"BB Asset",2769002.06,1614011.38,2641158037.27,2025-08-01
2025-07-28,02846259000183,"BRAM",2861.36,0,151699630.88,2025-08-01
2025-07-28,02998164000185,"BRAM",0,0,36118570.29,2025-08-01
2025-07-28,03099639000164,"UBS",0,0,203592698.17,2025-08-01
2025-07-28,03369970000157,"SAM",0,0,64436717.88,2025-08-01
2025-07-28,03389374000139,"BB Asset",578493102.63,370319893.86,101845305970.19,2025-08-01
2025-07-28,03960320000181,"BTG Asset",88500,0,933705929.08,2025-08-01
2025-07-28,03960349000163,"Vinci",28800,0,166270514.01,2025-08-01
2025-07-28,04087328000148,"Franklin Templeton",39755.27,0,156415211.37,2025-08-01
2025-07-28,04113821000195,"BRAM",0,0,131991862.93,2025-08-01
2025-07-28,04228545000100,"BRAM",3000000,3364048.79,1096051297.41,2025-08-01
2025-07-28,04240128000183,"Tivio",232500,9638.47,85351207.74,2025-08-01
2025-07-28,04356413000164,"BTG WM",0,0,67579849.34,2025-08-01
2025-07-28,04501865000192,"BTG Asset",412640.37,9169552.42,557162877.08,2025-08-01
2025-07-28,04511306000163,"Franklin Templeton",2143.31,0,6264949.81,2025-08-01
2025-07-28,04573108000124,"BRAM",201525.35,0,291825915.48,2025-08-01
2025-07-28,04587998000123,"ASA",0,0,148231990.66,2025-08-01
2025-07-28,04588017000162,"Franklin Templeton",0,0,152505155.44,2025-08-01
2025-07-28,04618345000164,"JGP",0,0,167485398.47,2025-08-01
2025-07-28,04621721000170,"XPG",2315982.84,3034098.64,1819531385.6,2025-08-01
2025-07-28,04764252000148,"BNP",0,0,203949248.29,2025-08-01
2025-07-28,04786966000157,"Daycoval",0,0,15563482.83,2025-08-01
2025-07-28,04841576000132,"BRAM",0,0,28266308.09,2025-08-01
2025-07-28,04875006000163,"BRAM",0,72295.66,286566872.11,2025-08-01
2025-07-28,04885403000116,"SAM",0,0,420944169.64,2025-08-01
2025-07-28,04885571000101,"Icatu",0,0,114992623.4,2025-08-01
2025-07-28,04899128000190,"Sulamérica",8612928.25,10867348.4,5173751259.42,2025-08-01
2025-07-28,05018037000160,"BB Asset",0,0,869669232.25,2025-08-01
2025-07-28,05108379000171,"Safra Asset",0,0,476555052.18,2025-08-01
2025-07-28,05508422000196,"Sulamérica",0,0,133989957.36,2025-08-01
2025-07-28,05615511000131,"BRAM",0,0,336748717.39,2025-08-01
2025-07-28,05615522000111,"BRAM",0,0,361894181.16,2025-08-01
