Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-07-28,"4UM",19361.87,0,19361.87,311805251.73,2,2025-08-01
2025-07-28,"Absolute",71071716.46,25557984.34,45513732.12,18297110790.92,8,2025-08-01
2025-07-28,"AF Invest",4935713.54,956781.23,3978932.31,1169622508.83,4,2025-08-01
2025-07-28,"Altera",5000,0,5000,108772896.29,2,2025-08-01
2025-07-28,"Amazonia",0,0,0,297561951.25,1,2025-08-01
2025-07-28,"AMW",0,2100000,-2100000,1346536996.14,8,2025-08-01
2025-07-28,"Angá",0,0,0,2446455.25,1,2025-08-01
2025-07-28,"Aramus",0,0,0,22182749.36,1,2025-08-01
2025-07-28,"ARX",32101675.64,13322104.67,18779570.97,19152883062.88,13,2025-08-01
2025-07-28,"ASA",300500,227670.85,72829.15,296453199.86,5,2025-08-01
2025-07-28,"Asset 1",3600000,0,3600000,123236195.74,1,2025-08-01
2025-07-28,"Atena",4151284.69,809603.84,3341680.85,884167117.73,5,2025-08-01
2025-07-28,"Augme",850000,3368393,-2518393,2163922467.08,15,2025-08-01
2025-07-28,"AZ Quest",33112041.97,35513145.13,-2401103.16,25087592143.25,12,2025-08-01
2025-07-28,"Banrisul",24176520.44,27190770.75,-3014250.31,4405269014.92,4,2025-08-01
2025-07-28,"BB Asset",1277124358.85,696780302.65,580344056.2,240630026104.19,19,2025-08-01
2025-07-28,"BBM Asset",15000,4527.01,10472.99,1314337858.19,6,2025-08-01
2025-07-28,"Berkana",0,0,0,30698873.44,1,2025-08-01
2025-07-28,"BNP",144265.35,0,144265.35,6486201707.54,12,2025-08-01
2025-07-28,"Bocaina",0,0,0,73042674.94,2,2025-08-01
2025-07-28,"Brainvest",316328.01,0,316328.01,354228979.65,11,2025-08-01
2025-07-28,"BRAM",1142593783.33,450297966.27,692295817.06,172261241822.4,38,2025-08-01
2025-07-28,"Brave",306995.53,60000,246995.53,363836806.92,2,2025-08-01
2025-07-28,"BRM",0,0,0,57095663.54,1,2025-08-01
2025-07-28,"BRZ",0,0,0,569219213.26,6,2025-08-01
2025-07-28,"BTG Asset",40995296.85,35862527.53,5132769.32,27039539280.48,36,2025-08-01
2025-07-28,"BTG WM",6808634.29,732453.7,6076180.59,4797287194.65,55,2025-08-01
2025-07-28,"Butiá",1223000,2211000,-988000,582194298.68,3,2025-08-01
2025-07-28,"BV Asset",0,0,0,1292927.21,1,2025-08-01
2025-07-28,"Capitânia",754312.17,10584203.09,-9829890.92,4695704548.49,19,2025-08-01
2025-07-28,"Capri",0,0,0,259797134.38,5,2025-08-01
2025-07-28,"Cartor",6782.82,51000,-44217.18,717638242.85,1,2025-08-01
2025-07-28,"CEF Asset",88908718.53,47264348.3,41644370.23,65084573784.68,11,2025-08-01
2025-07-28,"Chromo",0,0,0,96553820.73,1,2025-08-01
2025-07-28,"DAO",0,0,0,36574255.09,1,2025-08-01
2025-07-28,"Daycoval",10047289.29,3254516.53,6792772.76,4151802861.6,7,2025-08-01
2025-07-28,"Devant",0,55155.25,-55155.25,17935477.89,2,2025-08-01
2025-07-28,"Drys",13385049.9,682706.44,12702343.46,409039061.7,2,2025-08-01
2025-07-28,"Dynamo",0,0,0,648235511.25,2,2025-08-01
2025-07-28,"Ekho",0,0,0,21083260.75,1,2025-08-01
2025-07-28,"EQI",114422,1437999.99,-1323577.99,454749879.1,3,2025-08-01
2025-07-28,"Exploritas",3500,0,3500,114838256.17,2,2025-08-01
2025-07-28,"EXT",0,0,0,1282736.41,1,2025-08-01
2025-07-28,"FAR",0,0,0,27255031.72,1,2025-08-01
2025-07-28,"Finacap",0,0,0,55595098.52,1,2025-08-01
2025-07-28,"Franklin Templeton",41898.58,0,41898.58,7705002439.65,18,2025-08-01
2025-07-28,"Funcef",0,6000000,-6000000,848300897.29,2,2025-08-01
2025-07-28,"G5",7563000,0,7563000,818058528.89,9,2025-08-01
2025-07-28,"Galapagos",0,0,0,1079745357.42,5,2025-08-01
2025-07-28,"Galt",5150,48432,-43282,144886031.02,1,2025-08-01
2025-07-28,"Gauss",0,0,0,23075769.4,1,2025-08-01
2025-07-28,"GHT4",246765.62,53950,192815.62,81258197.61,1,2025-08-01
2025-07-28,"Global",719911.63,0,719911.63,18861108.91,1,2025-08-01
2025-07-28,"Guardian",42050.8,0,42050.8,61902034.05,2,2025-08-01
2025-07-28,"IAM",1192440545.77,547457130.33,644983415.44,421327662915.08,41,2025-08-01
2025-07-28,"Ibuina",1457140.71,13030949.93,-11573809.22,1932020725.12,5,2025-08-01
2025-07-28,"Icatu",30435014.48,20004693.71,10430320.77,19853453951.04,49,2025-08-01
2025-07-28,"Impacto",0,0,0,14765650.53,1,2025-08-01
2025-07-28,"Integral",830885.1,96380.52,734504.58,172461962.94,2,2025-08-01
2025-07-28,"Inter",4579668.1,5959527.51,-1379859.41,2590160634.44,9,2025-08-01
2025-07-28,"Investcoop",0,0,0,2004247505.74,4,2025-08-01
2025-07-28,"Iridium",5985190.29,10255298.6,-4270108.31,2300921616.45,3,2025-08-01
2025-07-28,"JGP",51363050.79,3761725.88,47601324.91,12213639386.64,20,2025-08-01
2025-07-28,"Jive",5286921.49,0,5286921.49,583498325.57,1,2025-08-01
2025-07-28,"Kadima",0,0,0,6803800.88,1,2025-08-01
2025-07-28,"Kinea",101821432.96,17882958.68,83938474.28,39089613867.34,15,2025-08-01
2025-07-28,"Lakewood",0,0,0,84084356.56,1,2025-08-01
2025-07-28,"Legacy",1536215.63,3418359.79,-1882144.16,1617513540.8,4,2025-08-01
2025-07-28,"Lerosa",0,0,0,5516304,1,2025-08-01
2025-07-28,"Levante",0,0,0,38558831.9,1,2025-08-01
2025-07-28,"Lifetime",0,0,0,63518406.81,3,2025-08-01
2025-07-28,"M8",6859729.92,58965.97,6800763.95,1092979349.79,3,2025-08-01
2025-07-28,"MAG",786468.91,1033519.13,-247050.22,2734529522.25,12,2025-08-01
2025-07-28,"Maud",0,0,0,21684404.19,1,2025-08-01
2025-07-28,"Mirabaud",3000,0,3000,338746184.48,3,2025-08-01
2025-07-28,"Monte Azul",0,0,0,15242381.32,1,2025-08-01
2025-07-28,"Monte Bravo",3758499.46,5756368.73,-1997869.27,1536284145.01,8,2025-08-01
2025-07-28,"Nest",0,0,0,14082470.5,1,2025-08-01
2025-07-28,"Norte",30000,3168.46,26831.54,157385234.54,1,2025-08-01
2025-07-28,"Novus",191780.41,32760.49,159019.92,113345655.12,1,2025-08-01
2025-07-28,"Nu Asset",4188000,956000,3232000,3939794257.87,3,2025-08-01
2025-07-28,"Occam",38533981.39,10027000,28506981.39,4963137948.95,5,2025-08-01
2025-07-28,"Onze",187681.07,70980.6,116700.47,131070035.98,2,2025-08-01
2025-07-28,"Oriz",0,0,0,172370642.03,3,2025-08-01
2025-07-28,"Paramis",4394012.08,6374247.6,-1980235.52,1334317136.97,5,2025-08-01
2025-07-28,"Patagônia",0,0,0,15729217.08,1,2025-08-01
2025-07-28,"Pátria",12530.07,0,12530.07,19430593.96,1,2025-08-01
2025-07-28,"Plural",2296106.55,3282321.6,-986215.05,2337638201.94,8,2025-08-01
2025-07-28,"PNBY",700626.02,3187938.77,-2487312.75,391335784.64,3,2025-08-01
2025-07-28,"Polígono",0,0,0,32978897.5,1,2025-08-01
2025-07-28,"Polo",2354992.95,1400000,954992.95,1921284761.29,8,2025-08-01
2025-07-28,"Porto Asset",49164495.47,34115019.06,15049476.41,10046089155.46,9,2025-08-01
2025-07-28,"Portofino",2460343.13,0,2460343.13,1093472317.29,5,2025-08-01
2025-07-28,"Prada",0,0,0,57217441.73,2,2025-08-01
2025-07-28,"Previ",0,0,0,689298371.87,1,2025-08-01
2025-07-28,"Principal",23962.33,1449888.05,-1425925.72,629135485.86,6,2025-08-01
2025-07-28,"Prumo",0,0,0,36778221.92,1,2025-08-01
2025-07-28,"Quantitas",500000,0,500000,1594296512.34,2,2025-08-01
2025-07-28,"Rafter",600000,1132671.37,-532671.37,567440333.38,8,2025-08-01
2025-07-28,"Reach",0,0,0,60859314.38,1,2025-08-01
2025-07-28,"Regia",100173666.9,2535838.71,97637828.19,8866818830.41,4,2025-08-01
2025-07-28,"Rio Bravo",6725,4604.24,2120.76,133891836.36,2,2025-08-01
