CNPJ,Ref,Media180,NDias
00322699000106,202512,6445724490,126
00322699000106,202601,6438015359,126
00322699000106,202602,6423634299,124
00322699000106,202603,6395252317,123
00322699000106,202604,6368775022,122
00322699000106,202605,6344582768,121
00322699000106,202606,6328768792,122
00322699000106,202607,6298850871,124
00322699000106,HOJE,6294862510,122
00832435000100,202512,8523934184,126
00832435000100,202601,8652012573,126
00832435000100,202602,8746406918,124
00832435000100,202603,8845379724,123
00832435000100,202604,8808611730,122
00832435000100,202605,8801807508,121
00832435000100,202606,8756458867,122
00832435000100,202607,8811597158,124
00832435000100,HOJE,8825500791,122
00852311000189,202512,36429208444,126
00852311000189,202601,36543374349,122
00852311000189,202602,36338625478,120
00852311000189,202603,35985322725,119
00852311000189,202604,35582106223,118
00852311000189,202605,34825749967,117
00852311000189,202606,34146781628,118
00852311000189,202607,33508265331,124
00852311000189,HOJE,33410097157,122
00888897000131,202512,800453985,126
00888897000131,202601,762450762,126
00888897000131,202602,732870454,124
00888897000131,202603,701517169,123
00888897000131,202604,680481687,122
00888897000131,202605,664664550,121
00888897000131,202606,658993961,122
00888897000131,202607,659538282,118
00888897000131,HOJE,659742022,115
00974902000129,202512,412704470,126
00974902000129,202601,417615677,126
00974902000129,202602,418894877,124
00974902000129,202603,416136749,123
00974902000129,202604,408971034,122
00974902000129,202605,401661889,121
00974902000129,202606,391446569,122
00974902000129,202607,380442337,124
00974902000129,HOJE,379022457,121
00975480000106,202512,682278274,126
00975480000106,202601,687532107,126
00975480000106,202602,693194305,124
00975480000106,202603,697736651,123
00975480000106,202604,702128761,122
00975480000106,202605,706160269,121
00975480000106,202606,706913425,122
00975480000106,202607,736238974,124
00975480000106,HOJE,736654716,122
00977449000104,202512,691016481,126
00977449000104,202601,696468690,126
00977449000104,202602,701298983,124
00977449000104,202603,707011818,123
00977449000104,202604,711575311,122
00977449000104,202605,715971140,121
00977449000104,202606,720144152,122
00977449000104,202607,724233902,124
00977449000104,HOJE,724806163,122
01361074000116,202512,5129480999,126
01361074000116,202601,5095954318,126
01361074000116,202602,5065425133,124
01361074000116,202603,5010320276,123
01361074000116,202604,4924549567,122
01361074000116,202605,4831548933,121
01361074000116,202606,4745421635,122
01361074000116,202607,4652579767,124
01361074000116,HOJE,4638190703,122
01380701000166,202512,8182573,126
01380701000166,202601,7942219,126
01380701000166,202602,7948400,124
01380701000166,202603,8043264,123
01380701000166,202604,8087786,122
01380701000166,202605,8109453,121
