CNPJ,Pct_Debentures
00322699000106,12.77
00832435000100,11.31
00852311000189,13.39
00888897000131,15.42
00974902000129,34.36
00977449000104,16.03
01361074000116,48.11
01380701000166,14.39
01597187000115,12.9
01630558000113,11.74
01822655000108,14.13
02224382000162,31.71
02296928000190,19.38
02846259000183,11.07
02998164000185,12.14
03099639000164,13.61
03369970000157,12.53
03389374000139,21.95
03960320000181,15.9
03960349000163,28.42
04087328000148,11.91
04113821000195,30.04
04228545000100,20.61
04240128000183,30.68
04356413000164,15.24
04501865000192,20.69
04511306000163,11.64
04573108000124,13.25
04587998000123,15.3
04588017000162,12.59
04618345000164,59.38
04621721000170,47.55
04764252000148,23.11
04786966000157,11.13
04841576000132,12.69
04875006000163,24.65
04885403000116,11.48
04885571000101,43.19
04899128000190,16.3
05018037000160,25.87
05108379000171,23.84
05508422000196,26.29
05615511000131,15.87
05615522000111,16.51
05642617000124,13.02
05755769000133,14.23
05832360000173,49.96
05922462000180,27.21
06015421000172,35.76
06066907000130,45.94
06077638000107,31.69
06086684000172,15.78
06866051000187,14.44
07593967000173,34.68
07889704000106,20.57
07900255000150,28.37
08252580000116,25.22
08608370000118,23.9
08708502000183,21.69
08814754000197,126.29
08868449000188,19.18
08960971000195,10.73
08960978000107,23.88
08984821000111,21.41
09083848000104,24.39
09087708000104,45.77
09087799000170,16.99
09136668000135,28.84
09181291000136,14.99
09329721000114,18.02
09418454000151,10.69
09484942000167,12.45
09522705000143,13.27
09523207000115,10.62
09543255000175,21.99
09577500000165,45.87
09639927000140,12.79
09720710000160,15.11
09720734000110,17.31
10220241000108,58.95
10264179000148,10
10264255000115,33.63
10322668000109,18.91
10326625000100,53.97
10347228000106,25.98
10355529000181,13.35
10551353000133,21.56
10643489000173,31.94
10813716000161,24.83
10843445000197,15.67
10948577000183,17.76
11039158000191,49.11
11121992000121,31.26
11225793000163,16.77
11248452000103,58.61
11308040000111,99.97
11435262000103,74.09
11435287000107,14.62
11447056000105,16.45
11447124000136,36.39
11447136000160,43.57
11508507000177,20.52
11555338000126,26.29
11690117000160,19.74
11839215000117,42.76
11952676000100,12.43
11961080000168,26.18
11961206000102,34.35
12059831000118,87.96
12412818000109,43.45
12698632000150,23.59
12796193000118,35.98
13030850000184,10.17
13049660000109,13.48
13058736000162,15
13106998000155,27.9
13400194000164,28.41
13411914000197,35.82
13425757000179,11.82
13454232000161,10.2
13455189000159,31.78
13492738000165,19.57
13596496000150,15.5
13823084000105,28.23
13935899000186,22.14
14146491000198,20.52
14158932000171,62.79
14188164000107,35.26
14399722000175,24.63
14399804000110,21.66
14466898000100,64.4
14473842000175,22.41
14491564000189,32.73
14491665000150,27.93
14557317000138,43.36
14843629000108,12.48
14843780000146,92.07
14880030000144,50.66
15174629000125,43.43
15207219000133,38.16
15259169000138,17.65
15350679000116,31.43
15398622000197,10.23
15487311000102,61.13
15612416000138,37.52
15675431000125,14.84
15675437000100,25.77
16599959000125,30.01
16703345000141,91.52
16916048000184,99.38
17041023000147,33
17051205000107,49.8
17072641000154,10.44
17072894000128,27.34
17138011000135,36.6
17138466000150,25.93
17138474000105,37.35
17225793000140,23.44
17329683000128,12.46
17329754000192,33.26
17329785000143,16.08
17339084000195,19.93
17689994000106,34.18
17898668000109,50.3
17913386000125,34.83
18007644000177,12.11
18086741000100,13.07
18428655000120,60.3
18599004000101,38.45
18679362000116,86.35
18679900000172,90.19
18685779000191,11.14
18719154000101,19.97
18814287000159,13.47
18814964000139,30.46
18816175000137,25.74
18990334000115,67.37
19038997000105,10.89
19366021000153,13.56
19390898000180,15.56
19413568000162,15.62
19436722000111,29.74
19436808000144,41.07
19531929000175,46.01
19550100000110,36.61
19657463000159,88.21
19675080000103,14.71
19718324000198,12.81
19719719000105,58.77
19719727000151,45.65
19770499000144,18.44
19782311000188,52.54
19831152000164,20.47
19941689000187,32.49
19941929000143,24.27
19959517000130,19.77
20146318000192,50.99
20155921000130,16.21
20231879000190,21.2
20468262000192,11.33
20468779000181,12.44
20519416000128,10.18
20519417000172,28.57
20584638000124,99.71
20726178000121,92.35
20833920000106,62.68
20833938000108,13.38
20833940000179,18.11
20879578000177,20.08
20887247000189,36.61
20889217000101,33.66
20889471000100,10.34
20889498000100,13.77
20889637000198,90.15
21015780000113,12.96
21040600000153,14.84
21082099000198,13.29
21336427000135,11.78
21336440000194,51.92
21596021000191,63.93
21613158000107,38.28
21762085000115,63.34
21791224000139,43.14
21888723000149,34.43
22013612000151,92.65
22041150000186,55.82
22118303000146,22.77
22232878000195,46.11
22759995000101,87.55
22985070000189,42.21
23034963000101,90.46
23186354000178,95.91
23225882000199,14.91
23225888000166,24.83
23272391000107,32.56
23376623000169,46.07
23502713000159,47.26
23556180000198,50.69
23556204000109,31.03
23631350000151,89.33
23714022000119,89.27
23731475000153,13.92
23738226000190,40.55
23748539000129,19.4
23781888000142,27.56
23884614000189,91.47
23884659000153,89.26
24011864000177,13.13
24018842000139,19.65
24068085000108,15.79
24215239000147,69.73
24215307000178,61.13
24270834000185,86.07
24444154000130,39.14
24552346000160,87.15
24572511000146,62.9
24601713000179,93.9
24658649000162,101.24
24986620000100,41.64
25036659000129,10.06
25079461000122,33.23
25097707000199,92.69
25234711000151,59.28
25307339000166,55.85
25341064000187,13.22
25682025000143,22.39
26142614000100,91.37
26143135000108,15.08
26171796000139,97.83
26171840000100,91.58
26173277000100,57.84
26173300000166,13.72
26313371000117,36.35
26313391000198,23.58
26324274000120,20
26324289000198,96.29
26362496000137,86.17
26370161000160,13.82
26374791000103,10.65
26491419000187,21.11
26498249000162,17.79
26525450000191,58.07
26605199000175,87.12
26664935000166,30.12
26703080000135,24.39
26725116000181,88.54
26725148000187,12.22
26751126000191,99.47
26773252000147,11.1
26803233000116,83.65
26845906000109,36.75
26861544000131,17.31
26978438000132,17.04
27036368000166,96.96
27250788000140,88.77
27293743000153,38.46
27565982000115,94.85
27566032000105,10.62
27782888000118,87.97
27826059000190,27.14
27880363000115,88.05
27883656000156,21.57
27927529000101,23.74
27928267000108,97.33
27974854000125,11
28206220000195,31.53
28259415000101,85.46
28320857000108,28.48
28454176000132,91.59
28581607000121,34.18
28648875000113,40.4
28651424000135,47.75
28767162000179,64.05
28788460000145,56.76
28840203000105,50.4
28851713000188,37.02
29044189000104,25.72
29106510000120,21.78
29109266000159,33.38
29157520000194,16.67
29196718000187,15.93
29250121000173,36.18
29259723000191,43.91
29259957000139,27.13
29626006000150,29.46
29722392000184,94.49
29733674000187,34.48
29734143000109,15.44
29983496000142,27.77
30056825000199,57.1
30102276000141,104.25
30330495000188,41.17
30338831000139,67.02
30338838000150,12.63
30353549000120,12.62
30392659000100,42.93
30453289000165,25.23
30493677000170,89.68
30506088000189,19.3
30521138000105,89.01
30521661000123,90.49
30521681000102,87.43
30556686000162,94.38
30568172000127,32.39
30568485000185,30.87
30568861000131,88.52
30593140000181,42.46
30608416000158,50.04
30618457000125,92.13
30630324000174,89.81
30665679000107,88.55
30676315000114,90.75
30869395000124,39.57
30877528000104,84.56
30998213000115,91.57
31094141000144,90.2
31120022000119,22.75
31120420000135,90.43
31217083000107,40.07
31247680000176,85.43
31247970000110,35.4
31248215000150,87.69
31457222000161,89.71
31611340000182,56.44
31615327000100,82.53
31908005000140,89.41
31908013000197,23.45
31961612000174,13.23
31962100000122,30.47
31963315000168,86.81
31963396000104,20.43
31964159000150,40.6
32044389000163,91.6
32044741000160,91.8
32044932000122,91.76
32045039000111,91.72
32045085000110,91.45
32045116000133,92.78
32075119000110,89.17
32158371000192,16.31
32159534000151,60.28
32225253000150,26.15
32225995000185,32.13
32312120000110,12.01
32312343000188,15.77
32312678000104,29.1
32319373000116,85.82
32319525000180,55.58
32320609000134,91.74
32385140000111,21.35
32388028000134,92.56
32388077000177,34.51
32397641000118,32.59
32485590000186,93.49
32666434000111,70.81
32711923000148,66.29
32742673000103,21.77
32760072000123,54.06
32770526000147,30.52
32771072000129,59.3
32811397000198,89.52
32862167000158,83.97
32864267000113,90.8
32893181000119,92.44
32990051000102,39.4
32999355000122,89.7
32999416000151,88.27
33342285000106,27.24
33422113000134,88.61
33520988000179,24.61
33599991000120,59.2
33701828000126,37.41
33768941000129,62.45
33768955000142,89.56
33842492000111,11.31
33953262000120,13.21
34080987000113,29.75
34081211000118,23.05
34109940000135,42.45
34143987000115,26.77
34172479000165,37.88
34172617000106,89.6
34200585000105,12.56
34270943000156,47.41
34369940000174,100.09
34370754000155,87.9
34431868000168,23.61
34447278000123,13.63
34474470000109,26.83
34474989000197,20.65
34475149000149,24.51
34476006000151,48.9
34488907000163,47.89
34525051000159,29.52
34613727000166,48.17
34626618000183,86.19
34657939000145,10.36
34681760000123,89.63
34706691000165,94.13
34738303000128,89.86
34781259000139,37.13
34792037000111,88.56
34793170000192,86.35
34799162000153,47.41
34799393000167,29.44
34799490000150,91.9
34962302000162,36.34
35001422000166,44.17
35120235000100,12.38
35377709000195,91.47
35377796000180,33.61
35399404000184,26.53
35435878000134,17.84
35491073000108,90.95
35491217000126,43.8
35500650000180,59.05
35502503000140,94.4
35535754000120,76.06
35600771000102,18.98
35609382000130,47.83
35646238000173,23.98
35650677000150,91.61
35700232000137,94.62
35755062000198,75.34
35765444000100,28.66
35803277000137,44.59
35820685000105,31.51
35844780000130,26.25
35916343000185,12.08
35916528000190,13.21
35927084000198,17.57
35927331000156,32.54
36015218000167,12.29
36017195000120,37.83
36178962000182,69.9
36181909000130,18.69
36233973000118,41.3
36247749000185,52.12
36295878000149,46.74
36318479000156,38.06
36327365000172,16.08
36352346000104,48.81
36352509000140,46.39
36368438000174,13.52
36498670000127,30.98
36499357000103,11.09
36517858000175,22.19
36518029000107,79.09
36521640000194,44.78
36521676000178,21.61
36521686000103,36.5
36521750000156,39.3
36532178000120,125.43
36617679000100,46.82
36620786000197,30.53
36671861000149,29.48
36729801000130,93.51
36947635000148,56.89
37008673000106,11.58
37037999000153,68.84
37099037000129,30.27
37235948000136,40.48
