CNPJ,PrimeiraCotaMes,PrimeiraCotaData
00322699000106,202301,2023-01-01
00832435000100,202301,2023-01-01
00852311000189,202301,2023-01-01
00888897000131,202301,2023-01-01
00974902000129,202301,2023-01-01
00975480000106,202301,2023-01-01
00977449000104,202301,2023-01-01
01361074000116,202301,2023-01-01
01380701000166,202301,2023-01-01
01597187000115,202301,2023-01-01
01630558000113,202301,2023-01-01
01822655000108,202301,2023-01-01
02224382000162,202301,2023-01-01
02296928000190,202301,2023-01-01
02846259000183,202301,2023-01-01
02998164000185,202301,2023-01-01
03099639000164,202301,2023-01-01
03369970000157,202301,2023-01-01
03389374000139,202301,2023-01-01
03504023000121,202301,2023-01-01
03960320000181,202301,2023-01-01
03960349000163,202301,2023-01-01
04087328000148,202301,2023-01-01
04113821000195,202301,2023-01-01
04228545000100,202301,2023-01-01
04240128000183,202301,2023-01-01
04356413000164,202301,2023-01-01
04501865000192,202301,2023-01-01
04511306000163,202301,2023-01-01
04573108000124,202301,2023-01-01
04587998000123,202301,2023-01-01
04588017000162,202301,2023-01-01
04618345000164,202301,2023-01-01
04621721000170,202301,2023-01-01
04764252000148,202301,2023-01-01
04786966000157,202301,2023-01-01
04841576000132,202301,2023-01-01
04875006000163,202301,2023-01-01
04885403000116,202301,2023-01-01
04885571000101,202301,2023-01-01
04899128000190,202301,2023-01-01
05018037000160,202301,2023-01-01
05108379000171,202301,2023-01-01
05508422000196,202301,2023-01-01
05615511000131,202301,2023-01-01
05615522000111,202301,2023-01-01
05642617000124,202301,2023-01-01
05755769000133,202301,2023-01-01
05832360000173,202301,2023-01-01
05922462000180,202301,2023-01-01
06015421000172,202301,2023-01-01
06066907000130,202301,2023-01-01
06077638000107,202301,2023-01-01
06086684000172,202301,2023-01-01
06175696000173,202301,2023-01-01
06866051000187,202301,2023-01-01
07593967000173,202301,2023-01-01
07889704000106,202301,2023-01-01
07892335000100,202301,2023-01-01
07900255000150,202301,2023-01-01
08252580000116,202301,2023-01-01
08418151000176,202301,2023-01-01
08608370000118,202301,2023-01-01
08708502000183,202301,2023-01-01
08814754000197,202301,2023-01-01
08868449000188,202301,2023-01-01
08915927000163,202301,2023-01-01
08960971000195,202301,2023-01-01
08960978000107,202301,2023-01-01
08984821000111,202301,2023-01-01
09083848000104,202301,2023-01-01
09087708000104,202301,2023-01-01
09087799000170,202301,2023-01-01
09136668000135,202301,2023-01-01
09181291000136,202301,2023-01-01
09215250000113,202301,2023-01-01
09238487000110,202301,2023-01-01
09274058000106,202301,2023-01-01
09329721000114,202301,2023-01-01
09418454000151,202301,2023-01-01
09441708000152,202301,2023-01-01
09484942000167,202301,2023-01-01
09522705000143,202301,2023-01-01
09523207000115,202301,2023-01-01
09543255000175,202301,2023-01-01
09577500000165,202301,2023-01-01
09639927000140,202301,2023-01-01
09720710000160,202301,2023-01-01
09720734000110,202301,2023-01-01
10220241000108,202301,2023-01-01
10237439000196,202301,2023-01-01
10237450000156,202301,2023-01-01
10264179000148,202301,2023-01-01
10264255000115,202301,2023-01-01
10322668000109,202301,2023-01-01
10326625000100,202301,2023-01-01
10347184000114,202301,2023-01-01
10347228000106,202301,2023-01-01
10355529000181,202301,2023-01-01
10551353000133,202301,2023-01-01
10565506000100,202301,2023-01-01
10583916000175,202301,2023-01-01
10601349000132,202301,2023-01-01
10643489000173,202301,2023-01-01
10813716000161,202301,2023-01-01
10843445000197,202301,2023-01-01
10948577000183,202301,2023-01-01
11039158000191,202301,2023-01-01
11046645000181,202301,2023-01-01
11121992000121,202301,2023-01-01
11225793000163,202301,2023-01-01
11248452000103,202301,2023-01-01
11308040000111,202301,2023-01-01
11419792000150,202301,2023-01-01
11419818000160,202301,2023-01-01
11435262000103,202301,2023-01-01
11435287000107,202301,2023-01-01
11447056000105,202301,2023-01-01
11447124000136,202301,2023-01-01
11447136000160,202301,2023-01-01
11508507000177,202301,2023-01-01
11555338000126,202301,2023-01-01
11690117000160,202301,2023-01-01
11839215000117,202301,2023-01-01
11952676000100,202301,2023-01-01
11961080000168,202301,2023-01-01
11961206000102,202301,2023-01-01
12059831000118,202301,2023-01-01
12105940000124,202301,2023-01-01
12412818000109,202301,2023-01-01
12698632000150,202301,2023-01-01
12796193000118,202301,2023-01-01
13030850000184,202301,2023-01-01
13049660000109,202301,2023-01-01
13058736000162,202301,2023-01-01
13106995000111,202301,2023-01-01
13106998000155,202301,2023-01-01
13400194000164,202301,2023-01-01
13411914000197,202301,2023-01-01
13425757000179,202301,2023-01-01
13454232000161,202301,2023-01-01
13455189000159,202301,2023-01-01
13492738000165,202301,2023-01-01
13596496000150,202301,2023-01-01
13823084000105,202301,2023-01-01
13935899000186,202301,2023-01-01
14017351000110,202312,2023-12-01
14146491000198,202301,2023-01-01
