Codigo,Data,NumeroIndice,VarDiaria,VarMes,VarAno,Var12m,Var24m,Duration
IDAGERAL,2009-01-05,743.149127,0.0942,0.0942,0.0942,0,0,541
IDAGERAL,2009-01-06,743.120623,-0.0038,0.0903,0.0903,0,0,540
IDAGERAL,2009-01-07,742.893616,-0.0305,0.0598,0.0598,0,0,538
IDAGERAL,2009-01-08,743.560774,0.0898,0.1496,0.1496,0,0,538
IDAGERAL,2009-01-09,744.127786,0.0763,0.226,0.226,0,0,538
IDAGERAL,2009-01-12,744.639746,0.0688,0.295,0.295,0,0,537
IDAGERAL,2009-01-13,745.071658,0.058,0.3531,0.3531,0,0,537
IDAGERAL,2009-01-14,745.449176,0.0507,0.404,0.404,0,0,535
IDAGERAL,2009-01-15,745.946073,0.0667,0.4709,0.4709,0,0,536
IDAGERAL,2009-01-16,746.323302,0.0506,0.5217,0.5217,0,0,535
IDAGERAL,2009-01-19,746.833025,0.0683,0.5904,0.5904,0,0,534
IDAGERAL,2009-01-20,747.374565,0.0725,0.6633,0.6633,0,0,534
IDAGERAL,2009-01-21,747.943173,0.0761,0.7399,0.7399,0,0,533
IDAGERAL,2009-01-22,748.374348,0.0576,0.798,0.798,0,0,533
IDAGERAL,2009-01-23,748.463594,0.0119,0.81,0.81,0,0,531
IDAGERAL,2009-01-26,748.746899,0.0379,0.8481,0.8481,0,0,529
IDAGERAL,2009-01-27,749.142847,0.0529,0.9015,0.9015,0,0,528
IDAGERAL,2009-01-28,749.52565,0.0511,0.953,0.953,0,0,522
IDAGERAL,2009-01-29,749.677734,0.0203,0.9735,0.9735,0,0,520
IDAGERAL,2009-01-30,750.126597,0.0599,1.034,1.034,0,0,520
IDAGERAL,2009-02-02,750.765041,0.0851,0.0851,1.12,0,0,521
IDAGERAL,2009-02-03,751.505788,0.0987,0.1839,1.2197,0,0,522
IDAGERAL,2009-02-04,751.967067,0.0614,0.2454,1.2819,0,0,520
IDAGERAL,2009-02-05,752.408284,0.0587,0.3042,1.3413,0,0,519
IDAGERAL,2009-02-06,752.979225,0.0759,0.3803,1.4182,0,0,518
IDAGERAL,2009-02-09,753.557509,0.0768,0.4574,1.4961,0,0,517
IDAGERAL,2009-02-10,754.110782,0.0734,0.5311,1.5706,0,0,516
IDAGERAL,2009-02-11,754.909333,0.1059,0.6376,1.6782,0,0,515
IDAGERAL,2009-02-12,755.356074,0.0592,0.6971,1.7383,0,0,514
IDAGERAL,2009-02-13,755.961715,0.0802,0.7779,1.8199,0,0,513
IDAGERAL,2009-02-16,756.452056,0.0649,0.8433,1.8859,0,0,512
IDAGERAL,2009-02-17,757.141421,0.0911,0.9352,1.9788,0,0,511
IDAGERAL,2009-02-18,757.672939,0.0702,1.006,2.0504,0,0,510
IDAGERAL,2009-02-19,758.393472,0.0951,1.1021,2.1474,0,0,510
IDAGERAL,2009-02-20,758.78304,0.0514,1.154,2.1999,0,0,509
IDAGERAL,2009-02-25,759.324823,0.0714,1.2262,2.2729,0,0,508
IDAGERAL,2009-02-26,759.706897,0.0503,1.2772,2.3243,0,0,508
IDAGERAL,2009-02-27,760.324158,0.0812,1.3594,2.4075,0,0,508
IDAGERAL,2009-03-02,760.797787,0.0623,0.0623,2.4713,0,0,515
IDAGERAL,2009-03-03,761.35797,0.0736,0.136,2.5467,0,0,533
IDAGERAL,2009-03-04,761.765088,0.0535,0.1895,2.6016,0,0,531
IDAGERAL,2009-03-05,762.51917,0.099,0.2887,2.7031,0,0,531
IDAGERAL,2009-03-06,763.397038,0.1151,0.4042,2.8214,0,0,531
IDAGERAL,2009-03-09,764.272341,0.1147,0.5193,2.9393,0,0,531
IDAGERAL,2009-03-10,764.902551,0.0825,0.6022,3.0241,0,0,531
IDAGERAL,2009-03-11,765.42065,0.0677,0.6703,3.0939,0,0,530
IDAGERAL,2009-03-12,765.749551,0.043,0.7136,3.1382,0,0,529
IDAGERAL,2009-03-13,766.062758,0.0409,0.7548,3.1804,0,0,527
IDAGERAL,2009-03-16,766.344165,0.0367,0.7918,3.2183,0,0,527
IDAGERAL,2009-03-17,766.785408,0.0576,0.8498,3.2777,0,0,526
IDAGERAL,2009-03-18,767.278873,0.0644,0.9147,3.3442,0,0,526
IDAGERAL,2009-03-19,767.64832,0.0482,0.9633,3.394,0,0,525
IDAGERAL,2009-03-20,768.242225,0.0774,1.0414,3.474,0,0,524
IDAGERAL,2009-03-23,768.47488,0.0303,1.072,3.5053,0,0,523
IDAGERAL,2009-03-24,768.803177,0.0427,1.1152,3.5495,0,0,521
IDAGERAL,2009-03-25,769.254686,0.0587,1.1746,3.6103,0,0,520
IDAGERAL,2009-03-26,769.772627,0.0673,1.2427,3.6801,0,0,520
IDAGERAL,2009-03-27,770.036489,0.0343,1.2774,3.7156,0,0,518
IDAGERAL,2009-03-30,770.206054,0.022,1.2997,3.7385,0,0,518
IDAGERAL,2009-03-31,770.594716,0.0505,1.3508,3.7908,0,0,517
IDAGERAL,2009-04-01,770.883329,0.0375,0.0375,3.8297,0,0,523
IDAGERAL,2009-04-02,771.112545,0.0297,0.0672,3.8606,0,0,524
IDAGERAL,2009-04-03,771.53301,0.0545,0.1218,3.9172,0,0,523
IDAGERAL,2009-04-06,771.800175,0.0346,0.1564,3.9532,0,0,522
IDAGERAL,2009-04-07,771.93426,0.0174,0.1738,3.9712,0,0,521
IDAGERAL,2009-04-08,772.191353,0.0333,0.2072,4.0059,0,0,519
IDAGERAL,2009-04-09,772.205597,0.0018,0.209,4.0078,0,0,518
IDAGERAL,2009-04-13,772.443314,0.0308,0.2399,4.0398,0,0,517
IDAGERAL,2009-04-14,772.936083,0.0638,0.3038,4.1062,0,0,517
IDAGERAL,2009-04-15,773.404194,0.0606,0.3646,4.1692,0,0,521
IDAGERAL,2009-04-16,773.933478,0.0684,0.4333,4.2405,0,0,519
IDAGERAL,2009-04-17,774.161288,0.0294,0.4628,4.2712,0,0,517
IDAGERAL,2009-04-20,774.455444,0.038,0.501,4.3108,0,0,519
IDAGERAL,2009-04-22,774.787911,0.0429,0.5441,4.3556,0,0,518
IDAGERAL,2009-04-23,775.115112,0.0422,0.5866,4.3997,0,0,517
IDAGERAL,2009-04-24,775.366268,0.0324,0.6192,4.4335,0,0,516
IDAGERAL,2009-04-27,775.663654,0.0384,0.6578,4.4735,0,0,515
IDAGERAL,2009-04-28,776.006761,0.0442,0.7023,4.5198,0,0,514
IDAGERAL,2009-04-29,776.481794,0.0612,0.764,4.5837,0,0,513
IDAGERAL,2009-04-30,776.989952,0.0654,0.8299,4.6522,0,0,512
IDAGERAL,2009-05-04,777.565969,0.0741,0.0741,4.7298,0,0,515
IDAGERAL,2009-05-05,778.021658,0.0586,0.1328,4.7911,0,0,514
IDAGERAL,2009-05-06,778.281708,0.0334,0.1663,4.8262,0,0,513
IDAGERAL,2009-05-07,778.827263,0.0701,0.2365,4.8996,0,0,512
IDAGERAL,2009-05-08,779.335444,0.0652,0.3019,4.9681,0,0,511
IDAGERAL,2009-05-11,779.838932,0.0646,0.3667,5.0359,0,0,511
IDAGERAL,2009-05-12,780.07046,0.0297,0.3965,5.0671,0,0,511
IDAGERAL,2009-05-13,780.552771,0.0618,0.4585,5.1321,0,0,510
IDAGERAL,2009-05-14,780.978557,0.0545,0.5133,5.1894,0,0,509
IDAGERAL,2009-05-15,781.466403,0.0625,0.5761,5.2551,0,0,509
IDAGERAL,2009-05-18,781.809191,0.0439,0.6202,5.3013,0,0,508
IDAGERAL,2009-05-19,782.274255,0.0595,0.6801,5.3639,0,0,507
IDAGERAL,2009-05-20,782.704347,0.055,0.7355,5.4218,0,0,511
IDAGERAL,2009-05-21,783.156248,0.0577,0.7936,5.4827,0,0,512
IDAGERAL,2009-05-22,783.57506,0.0535,0.8475,5.5391,0,0,511
IDAGERAL,2009-05-25,783.949941,0.0478,0.8958,5.5896,0,0,510
IDAGERAL,2009-05-26,784.447104,0.0634,0.9597,5.6566,0,0,510
IDAGERAL,2009-05-27,784.809285,0.0462,1.0064,5.7054,0,0,508
IDAGERAL,2009-05-28,785.142372,0.0424,1.0492,5.7502,0,0,507
IDAGERAL,2009-05-29,785.721581,0.0738,1.1238,5.8282,0,0,507
IDAGERAL,2009-06-01,786.237648,0.0657,0.0657,5.8977,0,0,511
IDAGERAL,2009-06-02,786.919295,0.0867,0.1524,5.9896,0,0,531
IDAGERAL,2009-06-03,787.583419,0.0844,0.237,6.079,0,0,530
IDAGERAL,2009-06-04,788.775438,0.1514,0.3887,6.2396,0,0,529
IDAGERAL,2009-06-05,789.425998,0.0825,0.4715,6.3272,0,0,527
IDAGERAL,2009-06-08,789.880418,0.0576,0.5293,6.3884,0,0,526
IDAGERAL,2009-06-09,790.123258,0.0307,0.5602,6.4211,0,0,524
IDAGERAL,2009-06-10,790.487284,0.0461,0.6065,6.4701,0,0,522
IDAGERAL,2009-06-12,791.040907,0.07,0.677,6.5447,0,0,522
IDAGERAL,2009-06-15,791.428907,0.049,0.7264,6.5969,0,0,522
IDAGERAL,2009-06-16,791.823642,0.0499,0.7766,6.6501,0,0,521
IDAGERAL,2009-06-17,792.079641,0.0323,0.8092,6.6846,0,0,520
IDAGERAL,2009-06-18,792.158467,0.01,0.8192,6.6952,0,0,518
IDAGERAL,2009-06-19,792.346219,0.0237,0.8431,6.7205,0,0,517
IDAGERAL,2009-06-22,792.504525,0.02,0.8633,6.7418,0,0,517
IDAGERAL,2009-06-23,792.944498,0.0555,0.9193,6.8011,0,0,516
IDAGERAL,2009-06-24,793.314486,0.0467,0.9664,6.8509,0,0,515
IDAGERAL,2009-06-25,793.614609,0.0378,1.0046,6.8913,0,0,514
IDAGERAL,2009-06-26,793.988729,0.0471,1.0522,6.9417,0,0,514
IDAGERAL,2009-06-29,794.114941,0.0159,1.0682,6.9587,0,0,512
IDAGERAL,2009-06-30,794.439526,0.0409,1.1095,7.0024,0,0,511
IDAGERAL,2009-07-01,794.736522,0.0374,0.0374,7.0424,0,0,512
IDAGERAL,2009-07-02,795.137583,0.0505,0.0879,7.0965,0,0,527
IDAGERAL,2009-07-03,795.590822,0.057,0.1449,7.1575,0,0,526
IDAGERAL,2009-07-06,796.149173,0.0702,0.2152,7.2327,0,0,525
IDAGERAL,2009-07-07,796.710829,0.0705,0.2859,7.3084,0,0,525
IDAGERAL,2009-07-08,797.452714,0.0931,0.3793,7.4083,0,0,524
IDAGERAL,2009-07-09,797.768571,0.0396,0.419,7.4508,0,0,523
IDAGERAL,2009-07-10,798.924712,0.1449,0.5646,7.6066,0,0,522
IDAGERAL,2009-07-13,799.348263,0.053,0.6179,7.6636,0,0,521
IDAGERAL,2009-07-14,799.872269,0.0656,0.6838,7.7342,0,0,520
IDAGERAL,2009-07-15,800.439831,0.071,0.7553,7.8106,0,0,520
IDAGERAL,2009-07-16,800.827742,0.0485,0.8041,7.8629,0,0,518
IDAGERAL,2009-07-17,801.362845,0.0668,0.8715,7.9349,0,0,518
IDAGERAL,2009-07-20,801.579315,0.027,0.8987,7.9641,0,0,517
IDAGERAL,2009-07-21,802.415892,0.1044,1.004,8.0768,0,0,516
IDAGERAL,2009-07-22,803.014008,0.0745,1.0793,8.1573,0,0,515
IDAGERAL,2009-07-23,803.527846,0.064,1.144,8.2265,0,0,514
IDAGERAL,2009-07-24,803.829606,0.0376,1.182,8.2672,0,0,513
IDAGERAL,2009-07-27,804.051624,0.0276,1.2099,8.2971,0,0,512
