"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,7225","DI_SPREAD","CDI + 0,72%","DI + 1.6000%","2026-08-06","2030-10-02","533,00","2,12","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4894","DI_SPREAD","CDI + 1,49%","DI + 1.9500%","2026-08-06","2026-10-15","48,00","0,19","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,5526","DI_SPREAD","CDI + 1,55%","DI + 1.1000%","2026-08-06","2032-06-10","643,00","2,55","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,0518","IPCA_SPREAD","B35 + 87 bps","IPCA + 7.4150%","2026-08-06","2044-07-15","1704,00","6,76","","","","2035-05-15","B35","8,1074","87","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,3282","DI_SPREAD","CDI + 2,33%","DI + 2.8500%","2026-08-06","2027-11-27","310,00","1,23","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,3634","IPCA_SPREAD","B37 + 44 bps","IPCA + 7.0718%","2026-08-06","2044-06-15","1873,00","7,43","","","","2037-05-15","B37","7,8925","44","ok","","ANBIMA Data API (web-bff)"
"AEGE16","4,9056","DI_SPREAD","CDI + 4,91%","DI + 3.9000%","2026-08-06","2034-03-11","822,00","3,26","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,2204","DI_SPREAD","CDI + 5,22%","DI + 3.4000%","2026-08-06","2035-06-15","1003,00","3,98","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,7487","DI_SPREAD","CDI + 1,75%","DI + 2.1500%","2026-08-06","2027-04-12","158,00","0,63","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,5819","DI_SPREAD","CDI + 2,58%","DI + 1.9000%","2026-08-06","2028-10-04","253,00","1,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA4","2,7835","DI_SPREAD","CDI + 2,78%","DI + 3.4700%","2026-08-06","2028-10-25","271,00","1,08","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA8","16,9944","PREFIXADO","16,99%","Pré-Fixado 16.3433%","2026-08-06","2031-01-15","830,00","3,29","","2,1803","spread = (1 + Y)/(1 + L) - 1; Y = pre 16,99%; L = TaxaLTN_252 venc ref 2032-01-01 = 14,50%","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA9","3,0452","DI_SPREAD","CDI + 3,05%","DI + 2.7500%","2026-08-06","2029-06-25","504,00","2,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB3","3,1989","DI_SPREAD","CDI + 3,20%","DI + 1.8000%","2026-08-06","2032-08-22","841,00","3,34","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB5","3,3148","DI_SPREAD","CDI + 3,31%","DI + 1.8000%","2026-08-06","2030-12-15","807,00","3,20","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB7","2,2803","DI_SPREAD","CDI + 2,28%","DI + 2.9500%","2026-08-06","2028-09-15","344,00","1,37","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AESLA5","7,8037","IPCA_SPREAD","B32 - 39 bps","IPCA + 6.1774%","2026-08-06","2033-10-15","1274,00","5,06","","","","2032-08-15","B32","8,2267","-39","ok","","ANBIMA Data API (web-bff)"
"AESLA7","7,8491","IPCA_SPREAD","B33 - 35 bps","IPCA + 6.1409%","2026-08-06","2034-04-15","1357,00","5,38","","","","2033-05-15","B33","8,2266","-35","ok","","ANBIMA Data API (web-bff)"
"AESLA8","0,4481","DI_SPREAD","CDI + 0,45%","DI + 0.4900%","2026-08-06","2029-09-10","543,00","2,15","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AESLA9","7,8843","IPCA_SPREAD","B33 - 32 bps","IPCA + 6.9249%","2026-08-06","2035-05-15","1505,00","5,97","","","","2033-05-15","B33","8,2266","-32","ok","","ANBIMA Data API (web-bff)"
"AESLB0","7,7880","IPCA_SPREAD","B35 - 30 bps","IPCA + 6.8967%","2026-08-06","2035-09-15","1538,00","6,10","","","","2035-05-15","B35","8,1074","-30","ok","","ANBIMA Data API (web-bff)"
"AESLB7","7,6631","IPCA_SPREAD","B37 - 21 bps","IPCA + 6.2031%","2026-08-06","2039-04-15","2038,00","8,09","","","","2037-05-15","B37","7,8925","-21","ok","","ANBIMA Data API (web-bff)"
"AESLC2","7,9107","IPCA_SPREAD","B33 - 29 bps","IPCA + 6.5243%","2026-08-06","2033-03-15","1327,00","5,27","","","","2033-05-15","B33","8,2266","-29","ok","","ANBIMA Data API (web-bff)"
"AESLD2","7,8694","IPCA_SPREAD","B35 - 22 bps","IPCA + 6.4580%","2026-08-06","2036-03-15","1623,00","6,44","","","","2035-05-15","B35","8,1074","-22","ok","","ANBIMA Data API (web-bff)"
"AESOA1","8,2083","IPCA_SPREAD","B33 - 2 bps","IPCA + 6.4966%","2026-08-06","2038-03-15","1330,00","5,28","","","","2033-05-15","B33","8,2266","-2","ok","","ANBIMA Data API (web-bff)"
"AGAU13","4,6890","DI_SPREAD","CDI + 4,69%","DI + 4.5000%","2026-08-06","2027-03-15","138,00","0,55","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AGEO15","7,8355","IPCA_SPREAD","B35 - 25 bps","IPCA + 7.6056%","2026-08-06","2037-06-15","1763,00","7,00","","","","2035-05-15","B35","8,1074","-25","ok","","ANBIMA Data API (web-bff)"
"AGIZ11","8,4941","IPCA_SPREAD","B37 + 56 bps","IPCA + 7.7322%","2026-08-06","2047-03-15","2004,00","7,95","","","","2037-05-15","B37","7,8925","56","ok","","ANBIMA Data API (web-bff)"
"AGPI11","","DI_SPREAD","—","DI + 1.9000%","2026-08-06","2027-06-27","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"AHGD13","8,9797","IPCA_SPREAD","B33 + 70 bps","IPCA + 7.3293%","2026-08-06","2041-09-15","1379,00","5,47","","","","2033-05-15","B33","8,2266","70","ok","","ANBIMA Data API (web-bff)"
"ALGAA2","1,0683","DI_SPREAD","CDI + 1,07%","DI + 1.5500%","2026-08-06","2029-01-15","432,00","1,71","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALGAB1","9,0515","IPCA_SPREAD","B30 + 73 bps","IPCA + 4.9999%","2026-08-06","2031-07-15","888,00","3,52","","","","2030-08-15","B30","8,2600","73","ok","","ANBIMA Data API (web-bff)"
"ALGAC2","9,0107","IPCA_SPREAD","B31 + 73 bps","IPCA + 5.8806%","2026-08-06","2032-01-15","975,00","3,87","","","","2031-05-15","B31","8,2200","73","ok","","ANBIMA Data API (web-bff)"
"ALGE16","7,9086","IPCA_SPREAD","B33 - 29 bps","IPCA + 6.1451%","2026-08-06","2037-11-15","1335,00","5,30","","","","2033-05-15","B33","8,2266","-29","ok","","ANBIMA Data API (web-bff)"
"ALGTA4","9,0104","IPCA_SPREAD","B32 + 72 bps","IPCA + 6.3243%","2026-08-06","2033-11-15","1192,00","4,73","","","","2032-08-15","B32","8,2267","72","ok","","ANBIMA Data API (web-bff)"
"ALGTA5","1,0518","DI_SPREAD","CDI + 1,05%","DI + 1.3000%","2026-08-06","2032-01-28","916,00","3,63","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALGTA6","1,1024","DI_SPREAD","CDI + 1,10%","DI + 1.2500%","2026-08-06","2033-02-22","979,00","3,88","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALIG12","7,8990","IPCA_SPREAD","B28 - 53 bps","IPCA + 3.6500%","2026-08-06","2029-12-15","402,00","1,60","","","","2028-08-15","B28","8,4700","-53","ok","","ANBIMA Data API (web-bff)"
"ALIG13","7,7819","IPCA_SPREAD","B30 - 44 bps","IPCA + 4.0000%","2026-08-06","2035-02-15","948,00","3,76","","","","2030-08-15","B30","8,2600","-44","ok","","ANBIMA Data API (web-bff)"
"ALIG15","7,8136","IPCA_SPREAD","B32 - 38 bps","IPCA + 6.1305%","2026-08-06","2036-04-15","1162,00","4,61","","","","2032-08-15","B32","8,2267","-38","ok","","ANBIMA Data API (web-bff)"
"ALPA22","0,9775","DI_SPREAD","CDI + 0,98%","DI + 1.5000%","2026-08-06","2029-12-12","590,00","2,34","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALUP18","7,6181","IPCA_SPREAD","B33 - 56 bps","IPCA + 6.4986%","2026-08-06","2034-10-15","1428,00","5,67","","","","2033-05-15","B33","8,2266","-56","ok","","ANBIMA Data API (web-bff)"
"AMBP16","","DI_SPREAD","—","DI + 2.7500%","2026-08-06","2029-04-25","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"ANET11","","IPCA_SPREAD","—","IPCA + 5.6006%","2026-08-06","2029-03-15","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
