CD_ATIVO,GESTOR,VL_ALOCADO
"SVEA16","Occam",26373449.23
"CGASA5","Augme",5990835.05
"SBSPE9","ARX",163412.26
"CMGD27","Plural",8438410.63
"VAMOA0","Sulamérica",31491256.86
"ARTRA7","(fundo nao cadastrado)",1471903.99
"CRCF12","San WM",493866.86
"TPER1B","Plural",0
"CASN23","Monte Azul",3077218.09
"ELPLA7","BRAM",90320.18
"VLIM27","Safra Asset",993863.84
"VBBR15","Sparta",14619112.56
"BHIAC0","Devant",87034.91
"AEGE16","Vinland",15653340.88
"ENEVA0","Galt",373691.65
"RNDNA1","Trígono",1005533.69
"RUMOA6","Vinland",7310839.37
"QUAT13","Vinci",18334078.46
"ALUP18","Safra Asset",826546.73
"RUMOB7","ASA",512530.16
"LCAMC2","Jive",540929.31
"EQMAA0","Safra Asset",21983021.41
"BKBR19","(fundo nao cadastrado)",3494941.26
"CEPEB3","XPG",3395560.51
"GLUZ11","Paramis",5050044.37
"TBSP22","SPX",6945659.59
"RDORB9","Kinea",424933124.49
"VEBMA6","Reach",2042674.7
"MSRO26","Augme",972479.86
"EGIEB1","Galt",19973.96
"UNIPB0","IAM",112427122.51
"PETR27","Galapagos",31770.26
"CPGS16","Sparta",27952347.69
"BRST15","(fundo nao cadastrado)",2115933.46
"AGIZ11","Vinland",10401550.23
"VIVA11","BB Asset",60727564.2
"PSAN13","(fundo nao cadastrado)",2444100.04
"FLCLB1","Sparta",13744022.05
"DASAC5","Butiá",1904253.81
"EQPA18","Daycoval",2474589.1
"PSAN23","JGP",50336060.24
"FBRI13","ITAU Tsy",331775444.74
"SIMH16","Vinland",24962780.26
"CART13","Brainvest",1019801.32
"ALGAB1","SVN",540669.41
"MULTB5","Oriz",6819961.75
"CBAN32","Nikos",158346.44
"AEGPA0","(fundo nao cadastrado)",4472797.37
"RDLA17","BRAM",63141570.72
"ENSEC4","Safra Asset",699973.62
"FISI15","BB Asset",142651928.63
"TAEEC4","ARX",138164.75
"IOCHA3","BB Asset",178369203.77
"ELTN15","UBS",4287861.64
"CSNP12","RB Asset",9784775.37
"POTE11","Vinland",13953867.17
"MVLV19","Butiá",551582.72
"RDORD9","Trígono",85151.01
"ACRC21","Jera",493620.95
"ALUP18","Kinea",5332559.04
"ANET12","Ace",49602.11
"CSMGB9","Franklin Templeton",10282084.59
"SBSPF9","Andbank",110567.78
"TCII11","Sparta",7146403.05
"PLSB1A","Tenax",82374.79
"AESOA1","ASA",1491870.42
"RCHE12","BRAM",112779831.59
"ELET24","Butiá",2438865.26
"ORIG12","Galt",312352.95
"LXIN12","Iridium",1809387.23
"LMTP26","San WM",102328.4
"CCRE11","G5",15079761.44
"ECHP11","G5",1364705.45
"VIXL35","Somma",1878420.39
"VBBR26","ZSYS",30100.91
"TRPLA5","(fundo nao cadastrado)",5021394.87
"CMGDB2","BRAM",46368486.02
"FURN21","Newave",242670.73
"CSMGA9","Nu Asset",12433.74
"CSMGB6","MAG",540286.84
"GASC16","Riza",101834.78
"PFOR26","Monte Bravo",8144144.57
"VAMO14","Paramis",102364.45
"MOVI34","Principal",945632
"COMR16","JGP",93564704.2
"EQTC11","XPG",444042.74
"SMFTA1","BRAM",6122670.21
"PGMN26","AZ Quest",44064266.58
"LORTB2","Brainvest",95037.62
"CTEE2B","G5",1585548.87
"CSANB0","JGP",35112410.65
"CBAN32","JGP",3534466.92
"LMTPA1","(fundo nao cadastrado)",308755.97
"VERO24","Butiá",357695.84
"EGIEA2","San WM",5095496.5
"PEJA22","Vêneto",109022.95
"PETR17","Atena",137397.63
"RDORD4","Guardian",412118.03
"ORIG21","Iridium",1410952.47
"GYRA14","Brainvest",43810.6
"RBRAJ7","Legacy",3434.93
"CCPV11","SWM",225310.41
"CSMGB6","Plural",294349.26
"JTEE11","San WM",12480837.76
"CMGD28","BB Asset",7259660.35
"TAEEB0","G5",22088810.89
"SUZBC1","Turim",5012591.46
"ELPLA7","BB Asset",17822382.65
"MGPRA0","TAG",637716.18
"ELET24","Absolute",128678353.6
"ASER12","(fundo nao cadastrado)",21120634.24
"GYRA14","Oriz",26049.55
"VAMOA0","SAM",29475156.07
"UNIPC0","SAM",46279700.77
"CSNAA4","San WM",502887.42
"MNAU14","IAM",132536369.47
"CODN12","BRAM",18253972.47
"PRAS11","Safra Asset",1529696.16
"CESPA4","Galt",708354.13
"CTEE1B","Atena",57088.97
"CPLD38","VLGI",2881107.14
"EEELA1","Vinland",1466378.68
"TRPLB7","(fundo nao cadastrado)",16777547.96
"PRPO12","Nikos",799021.38
"RSAN15","Absolute",13472302.98
"CEED16","Inter",1027706.84
"PLAC13","(fundo nao cadastrado)",582243.53
"APRB18","AZ Quest",7102240.22
"COCE18","JGP",41016659.9
"TIET29","Turim",2417574.23
"CSMGB0","BB Asset",218728391.01
"EKTRB6","IAM",73964353.42
"CSNAA2","BDR",398258
"MOVIA3","WHG",1010014.17
"ESULA6","Absolute",1253790.95
"ARML25","Trígono",2762822.22
"BRKPA0","PNBY",1253506.66
"VALEC1","San WM",35029689.18
"CSMGB6","Rafter",987939.79
"HBSA24","BB Asset",156526986.7
"BRKMA8","Legacy",7483549.2
"POTE12","Vêneto",904624.65
"VTII21","BTG Asset",34520.16
"ENEV19","UBS",1360268.54
"CEPEC2","BTG WM",19676555.02
"SAVI13","XPG",669534.59
"ELET14","EQI",5442467.45
"HAPV28","Porto Asset",12425592.32
"ARML15","(fundo nao cadastrado)",38729707.52
"RIS414","BRAM",2547115.86
"SBSPD2","Strix",988294.7
"SRNP31","(fundo nao cadastrado)",2909.79
"COCEB2","Absolute",146207086.54
"VLIM28","SVN",14266581.29
"IRJS15","IAM",235939412.5
"DESK18","Riza",8535055.53
"VLIM15","ASA",575113.63
"NTSD35","Galapagos",306385.97
"SBSPE3","ASA",1663730.22
"CDGS26","BB Asset",51386635.23
"IGTAA3","BB Asset",123595456.89
"DASAC5","Ibuina",11359190.42
"HVSP11","JGP",6877341.56
"CASN23","BTG Asset",17284118.48
"CPFPA6","IAM",43261651.43
"CSNP12","Journey",8124180.51
"VULN11","IAM",206938137.74
"EKTRB3","UBS",42945988.65
"ELPLA5","XPG",735176.25
"EUFA19","BB Asset",205804101.59
"ENGIB9","Valora",5009548.08
"CSRNB2","SVN",101876.78
"ELDC15","BB Asset",146365812.02
"TAEEA4","Rafter",3620604.16
"TLPP27","BBM Asset",20281469.88
"ENEV18","Plural",8546949.99
"RDORB3","Polo",27131093.94
"EKTRC0","San WM",16684700.83
"CBAN52","ARX",29803575.75
"AURP12","San WM",82875914.71
"RIS422","Legacy",7845198.02
"AMERF2","AF Invest",269079.58
