CNPJ_FUNDO_CLASSE,DENOM_SOCIAL,CNPJ Gestor
"62672551000159","0409 FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
"50733585000127","108 KINEA VC FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CP RESP LIMITADA","08604187000144"
"53177632000191","2 MENINOS FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA  RF CRÉD PRIV - RESP LIMITADA","40430971000196"
"62318422000167","32 FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","40430971000196"
"61543295000137","3AXB FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"61692294000154","4UM ICM I INFRAESTRUTURA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","03983856000112"
"57158611000180","52 FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO INFRAESTRUTURA RESP LIMITADA","12695840000103"
"57049210000191","8RVV FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"55323655000192","A&B FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV - RESP LIMITADA","40430971000196"
"55627121000150","A+R FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"63319624000196","A1 CRÉDITO FIF INVESTIMENTO EM DEBÊNTURES DE INFRA CDI ATIVO RF CRED PRIV RESP LIMITADA","35185577000108"
"59587336000145","A1 INCENTIVADO FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","35185577000108"
"62234191000103","AAA FIF FI INCENTIVADO EM DEBÊNTURES DE INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","40430971000196"
"62624041000106","AB INFRA FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
"54334995000156","ABSOLUTE HIDRA CDI A FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","14351454000111"
"47628885000131","ABSOLUTE HIDRA CDI MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","14351454000111"
"55956652000196","ABSOLUTE HIDRA CDI PLUS A MASTER FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","14351454000111"
"57738351000111","ABSOLUTE HIDRA CDI PLUS EKHO MASTER FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA RENDA FIXA","14351454000111"
"63124967000103","ABSOLUTE HIDRA CDI PLUS II MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RF","14351454000111"
"57046745000109","ABSOLUTE HIDRA CDI PLUS MASTER FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","14351454000111"
"60931618000105","ABSOLUTE HIDRA CDI PLUS S FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA RENDA FIXA","14351454000111"
"55940692000140","ABSOLUTE HIDRA IPCA A MASTER FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","14351454000111"
"51112915000120","ABSOLUTE HIDRA IPCA MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","14351454000111"
"50861003000198","ABSOLUTE HIKER FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV LP RESP LIMITADA","14351454000111"
"60606855000192","ABSOLUTE HIKER INFRA II FIF FUNDO INCENTIVADO EM INVEST DEB DE INFRA RF CRED PRIV LP RESP LIMITADA","14351454000111"
"62406671000104","ACACIA FIF INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","40430971000196"
"55485710000140","ACACIAS FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"55083993000102","ACATU FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","15289957000177"
"58580968000114","ACE CAPITAL INFRA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA","33411393000185"
"52046394000112","ACIN KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","08604187000144"
"62234941000147","ADCC FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
"54008802000177","AETERNUM FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA","40430971000196"
"30521138000105","AF 1644 FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","40430971000196"
"30568861000131","AGADIR FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"58140821000103","AGEPA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
"42321520000146","AGRA FIF INVESTIMENTO EM INFRAESTRUTURA CLASSE DE INVESTIMENTO RENDA FIXA EM INFRA RESP LIMITADA","01638542000157"
"37037999000153","AGROS KINEA FIF RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA","08604187000144"
"60865770000129","ÁGUA BOA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA","15289957000177"
"61562479000144","AGUARÁ GUAZÚ FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","15289957000177"
"23631350000151","ÁGUIA FIF INV EM INFRAESTRUTURA  CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA","01638542000157"
"57535053000124","AJER FIF - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA","12695840000103"
"61908557000110","AKS FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
"59602591000110","ALBATROS FIF - CLASSE DE INVESTIMENTO RF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA","60746948000112"
"61952434000186","ALCATRAZES FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"55110714000144","ALCYONE FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO INVESTIMENTO EM INFRAESTRUTURA","12695840000103"
"45088665000137","ALETHEIA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","34848969000139"
"50817290000139","ALEXANDRE O GRANDE II FIF INV EM INFRAESTRUTURA CLASSE DE INV EM INFRA RENDA FIXA RESP LIMITADA","01638542000157"
"61390482000128","ALEXANDRIA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRÉD PRIV RESP LIMITADA","40430971000196"
"55161850000163","ALFA II INFRA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRED PRIV- RESP LIMITADA","08604187000144"
"16703345000141","ALGARAVIA CDI DEB INCENTIVADAS FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","15289957000177"
"58736286000158","ALGEDI INFRA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"34681760000123","ALH II FIF INVESTIMENTO EM INFRAESTRUTURA CLASSE DE INVESTIMENTO RENDA FIXA EM INFRA RESP LIMITADA","01638542000157"
"54405192000145","ALHAMBRA FIF - FUNDO INCENTIVADO EM INV EM DEB DE INFRA RENDA FIXA CRÉD PRIV - RESP LIMITADA","40430971000196"
"62323295000194","ALMA FIF - CI RF INCENTIVADO DE INVESTIMENTO EM INFRA - RESPONSABILIDADE LIMITADA","60746948000112"
"53503230000130","ALPESTRE 3 KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV- RESP LIMITADA","08604187000144"
"51181910000159","ALTOPASCIO KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CP RESP LIMITADA","08604187000144"
"57552335000130","ALZIR FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
"61803360000116","AMAÍ FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"52982533000110","AMANA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRED PRIV RESP LIMITADA","08604187000144"
"63784778000159","AMB ISENTO CDI FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"52999105000108","AMB ISENTO FUNDO INCENTIVADO DE INVEST EM INFRA RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA","12695840000103"
"55250638000172","ÂMBAR FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INF RF CRÉD PRIVADO RESP LIMITADA","40430971000196"
"43122017000124","AMG1 KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CP RESP LIMITADA","08604187000144"
"65847230000136","AMOR 12 FUNDO DE INV FINANCEIRO INV EM INFRAESTRUTURA CI EM INFRA RENDA FIXA RESP LIMITADA","65913436000117"
"62231879000130","AMOREIRA FIF - CI RF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA","11159192000108"
"54644019000108","ANACAPRI KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV - RESP LIMITADA","08604187000144"
"56365479000114","ANGEL FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","40430971000196"
"56778085000198","ANGEL KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","08604187000144"
"62379427000108","ANGICO FIF - CI RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA","11159192000108"
"49115219000125","ANGRA KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA  RF CRED PRIV RESP LIMITADA","08604187000144"
"58703709000133","ANJO FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RENDA FIXA CRÉD PRIV RESP LIMITADA","40430971000196"
"34626618000183","ANLCG123 FIF - CLASSE DE INVESTIMENTO RF INCENTIVADO DE INVESTIMENTO EM INFRA - RESP LIMITADA","12695840000103"
"57654090000151","ANTARES PREMIUM FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"52279344000185","APALACHE FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"55111228000140","APEIRON FIF - CLASSE DE INVESTIMENTO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"51507955000170","APOLLO FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"55708971000182","APUANE FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRÉD PRIV RESP LIMITADA","40430971000196"
"57527685000146","AQUA CDI FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"57527967000143","AQUA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"62662727000191","AQUASTAR FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","12695840000103"
"55020138000144","ARAK FIF - CLASSE DE  INVESTIMENTO RENDA FIXA INCENTIVADO INVESTIMENTO EM INFRAESTRUTURA","12695840000103"
"61926290000193","ARATU FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","40430971000196"
