CNPJ Gestor,Nome Gestor,Apelido Gestor
03.983.856/0001-12,4UM GESTÃO DE RECURSOS LTDA.,4UM
14.351.454/0001-11,ABSOLUTE DHAMA GESTÃO DE INVESTIMENTOS LTDA,Absolute
17.285.755/0001-82,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA,Absolute
47.243.769/0001-02,ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.,Absolute
33.411.393/0001-85,ACE CAPITAL GESTORA DE RECURSOS LTDA.,Ace
03.226.533/0001-84,AF INVEST ADMINISTRAÇÃO DE RECURSOS LTDA,AF Invest
15.575.770/0001-30,ALPHA CAPITAL PARTNERS GESTAO DE INVESTIMENTOS S.A,Alpha
49.475.869/0001-81,ALTERA CAPITAL GESTORA E CONSULTORIA DE INVESTIMENTOS LTDA,Altera
17.889.040/0001-39,AMAZONIA INVESTIMENTOS LTDA,Amazonia
26.737.584/0001-76,AMW ASSET MANAGEMENT LTDA,AMW
09.664.936/0001-91,ANDBANK GESTAO DE PATRIMONIO FINANCEIRO LTDA,Andbank
35.950.923/0001-99,ANGÁ INVESTIMENTOS LTDA,Angá
16.929.933/0001-06,ARAMUS GESTORA DE ATIVOS LTDA,Aramus
27.690.986/0001-25,ARC CAPITAL LTDA.,ARC
07.221.832/0001-87,ARGUCIA CAPITAL GESTÃO DE RECURSOS LTDA,Argucia
03.084.098/0001-09,ARTESANAL INVESTIMENTOS LTDA,Artesanal
04.408.128/0001-40,ARX INVESTIMENTOS LTDA,ARX
19.807.960/0001-96,ASA ASSET MANAGEMENT LTDA.,ASA
35.185.577/0001-08,ASSET1 INVESTIMENTOS S/A,Asset 1
19.005.052/0001-89,ATENA CAPITAL GESTÃO DE RECURSOS LTDA.,Atena
23.360.896/0001-15,AUGME CAPITAL GESTÃO DE RECURSOS LTDA.,Augme
50.544.038/0001-01,AZ QUEST INFRA LTDA.,AZ Quest
03.829.051/0001-19,AZIMUT BRASIL WEALTH MANAGEMENT LTDA,AZ Quest
21.676.427/0001-84,AZ QUEST MZK INVESTIMENTOS MACRO E CRÉDITO LTDA.,AZ Quest
59.312.965/0001-62,AZ Quest Prev Ltda.,AZ Quest
16.987.291/0001-93,AZ GUIDANCE GESTÃO DE PATRIMÔNIO LTDA.,AZ Quest
15.555.601/0001-38,B.SIDE WEALTH MANAGEMENT CONSULTORIA E GESTÃO DE RECURSOS LTDA,B.side
93.026.847/0001-26,BANRISUL S.A. CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO,Banrisul
30.822.936/0001-69,BB GESTAO DE RECURSOS DTVM S.A,BB Asset
27.665.207/0001-31,BRASILPREV SEGUROS E PREVIDÊNCIA S.A,BB Asset
15.213.150/0001-50,BOCOM BBM CCVM S.A.,BBM Asset
35.132.740/0001-66,BDR INVESTIMENTOS LTDA.,BDR
10.757.908/0001-06,Berkana Investimentos e Gestao de Recursos Ltda.,Berkana
19.999.568/0001-96,BLACK SWAN GESTÃO DE INVESTIMENTOS LTDA.,Black Swan
07.273.170/0001-99,CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL,BNB
02.562.663/0001-25,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,BNP
38.347.420/0001-11,BOCAINA CAPITAL GESTORA DE RECURSOS LTDA.,Bocaina
08.947.719/0001-46,BOGARI GESTÃO DE INVESTIMENTOS LTDA.,Bogari
11.159.192/0001-08,BR PARTNERS GESTÃO DE RECURSOS LTDA,BR Partners
08.800.008/0001-44,BRAINVEST ASSESSORIA FINANCEIRA E GESTÃO DE RECURSOS LTDA,Brainvest
60.746.948/0001-12,BANCO BRADESCO S.A.,BRAM
62.375.134/0001-44,BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BRAM
33.805.882/0001-11,BRASIL GLOBAL PARTNERS LTDA.,Brasil Global
35.704.148/0001-91,BRAVE GESTORA DE RECURSOS LTDA.,Brave
38.318.963/0001-00,BRM CARBYNE GESTÃO DE RECURSOS LTDA.,BRM
02.888.152/0001-06,BRZ INVESTIMENTOS LTDA,BRZ
29.650.082/0001-00,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,BTG Asset
07.625.159/0001-40,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,BTG Asset
12.695.840/0001-03,BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,BTG WM
09.262.533/0001-16,BTGP WM 3 LTDA,BTG WM
22.899.452/0001-90,BUTIÁ GESTÃO DE INVESTIMENTOS LTDA.,Butiá
59.588.111/0001-03,BANCO VOTORANTIM S.A.,BV Asset
17.489.133/0001-76,BWAG GESTÃO DE RECURSOS LTDA,BWAG
41.793.345/0001-27,CAPITANIA CAPITAL S.A.,Capitânia
41.475.648/0001-00,CAPITÂNIA ALTERNATIVES S/A,Capitânia
41.777.833/0001-40,CAPITANIA PREV S.A.,Capitânia
04.274.010/0001-76,CAPITÂNIA INVEST S/A,Capitânia
29.580.517/0001-89,CAPRI INVESTIMENTOS LTDA.,Capri
33.552.500/0001-95,CAPSTONE PARTNERS GESTÃO DE RECURSOS LTDA.,Capstone
22.792.979/0001-10,CARPA GESTORA DE RECURSOS LTDA.,Carpa
33.459.988/0001-00,CARTOR CAPITAL GESTÃO DE RECURSOS LTDA.,Cartor
32.500.613/0001-84,CAIXA BENEFICENTE DOS EMPREGADOS DA CSN - CBS,CBS
42.040.639/0001-40,CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CEF Asset
00.532.804/0001-31,CERES - FUNDAÇÃO DE PREVIDÊNCIA,Ceres
62.465.117/0001-06,FUNDACAO CESP,CESP
19.361.845/0001-30,CHROMO INVESTIMENTOS LTDA.,Chromo
18.994.332/0001-02,CITRINO GESTÃO DE RECURSOS LTDA,Citrino
10.340.194/0001-28,CONCÓRDIA GESTÃO DE RECURSOS LTDA,Concórdia
10.626.543/0001-72,CONSTÂNCIA INVESTIMENTOS LTDA.,Constância
75.054.940/0001-62,FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,Copel
38.150.247/0001-67,DAO CAPITAL LTDA.,DAO
72.027.832/0001-02,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,Daycoval
62.232.889/0001-90,BANCO DAYCOVAL S.A.,Daycoval Asset
28.363.263/0001-84,DEVANT ASSET INVESTIMENTOS LTDA,Devant
40.166.546/0001-31,DOURO CAPITAL GESTORA DE RECURSOS E INVESTIMENTOS LTDA.,Douro
08.204.817/0001-93,DRYS CAPITAL LTDA,Drys
72.116.353/0001-62,DYNAMO ADMINISTRAÇÃO DE RECURSOS LTDA,Dynamo
19.569.363/0001-70,EFFIKA INVESTIMENTOS - GESTORA DE PATRIMÔNIO LTDA,Effika
43.628.554/0001-40,EKHO INVESTIMENTOS LTDA.,Ekho
32.288.914/0001-96,EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA,EQI
08.968.113/0001-97,EST GESTÃO DE PATRIMÔNIO LTDA.,EST
52.213.100/0001-08,EXA CAPITAL ASSET LTDA.,EXA
31.960.567/0001-33,EXES GESTORA DE RECURSOS LTDA.,Exes
12.860.692/0001-27,EXPLORITAS ADMINISTRACAO FINANCEIRA LTDA,Exploritas
48.089.509/0001-89,EXT CAPITAL LTDA.,EXT
01.861.016/0001-51,FAR FATOR ADMINISTRAÇÃO DE RECURSOS LTDA,FAR
01.294.929/0001-33,FINACAP INVESTIMENTOS LTDA,Finacap
35.646.759/0001-20,FORTUNE GESTORA DE RECURSOS LTDA.,Fortune
02.525.932/0001-83,FOX INVESTIMENTOS LTDA,Fox
07.437.241/0001-41,Franklin Templeton Brasil Ltda.,Franklin Templeton
00.436.923/0001-90,FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,Funcef
18.465.825/0001-47,FUNPRESP-JUD FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER JUDICIÁRIO,Funpresp
09.446.129/0001-00,G5 ADMINISTRADORA DE RECURSOS LTDA.,G5
32.706.879/0001-88,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,Galapagos
29.158.123/0001-37,GALAPAGOS INVESTMENTS SOLUTIONS LTDA.,Galapagos
05.794.902/0001-60,GALAPAGOS MULTI FAMILY OFFICE LTDA,Galapagos
09.175.140/0001-75,GALT CAPITAL CONSULTORIA DE INVESTIMENTOS LTDA.,Galt
17.516.277/0001-74,GARIN INVESTIMENTOS LTDA,Garin
21.052.737/0001-28,GAUSS CAPITAL GESTORA DE RECURSOS LTDA,Gauss
