CNPJ_FUNDO_CLASSE,DENOM_SOCIAL,CNPJ Gestor
08.814.754/0001-97,BABY DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,15.289.957/0001-77
10.355.529/0001-81,CORLEONE II FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,12.695.840/0001-03
14.843.780/0001-46,JULIUS BAER GESTÃO INFRA 90 FIF - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRA - RESP LIMITADA,12.695.840/0001-03
14.950.881/0001-16,BNP PARIBAS DEBÊNT INCENT PLUS FUNDO INCENT DE INVEST FINANCEIRO EM INFRA RF CRED PRIV - RESP LTDA,02.562.663/0001-25
16.703.345/0001-41,ALGARAVIA CDI DEB INCENTIVADAS FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO,15.289.957/0001-77
18.679.362/0001-16,CSHG AS 7.7 FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA,11.519.438/0001-05
18.679.900/0001-72,BRADESCO 392 FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA,60.746.948/0001-12
19.657.463/0001-59,XP DEB INCENT IMAB CRÉD PRIV FUNDO INCENTIVADO DE INV FINANCEIRO EM INFRA RENDA FIXA - RESP LTDA,16.789.525/0001-98
20.584.638/0001-24,FATOR DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,01.861.016/0001-51
20.889.637/0001-98,ÔMEGA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,12.695.840/0001-03
22.013.612/0001-51,TURMALINA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,43.027.793/0001-45
22.759.995/0001-01,SULAMÉRICA INFRA FIF INCENTIVADO DE INFRAESTRUTURA RENDA FIXA DE RESPONSABILIDADE LIMITADA,21.813.291/0001-07
23.034.963/0001-01,PEDRA NEGRA CLASSE DE INVESTIMENTO INCENTIVADA RF CRÉDITO PRIVADO INFRAESTRUTURA - RESP LIMITADA,12.695.840/0001-03
23.186.354/0001-78,BUTIÁ DEBÊNTURES FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,22.899.452/0001-90
23.631.350/0001-51,ÁGUIA FIF INV EM INFRAESTRUTURA  CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA,01.638.542/0001-57
23.714.022/0001-19,SAFRA DEBÊNTURES INCENTIVADAS MASTER II FIF INV EM INFRAESTRUTURA CI EM INFRA RF RESP LIMITADA,01.638.542/0001-57
23.884.614/0001-89,CSHG 1630 FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CREDITO PRIVADO RESP LIMITADA,11.519.438/0001-05
23.884.659/0001-53,SIEBEN CDI DEB INCENTIVADAS FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO,15.289.957/0001-77
24.552.346/0001-60,NIKOS DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO EM INFRAESTRUTURA  RENDA FIXA CRÉDITO PRIVADO LP,52.906.220/0001-82
24.601.713/0001-79,PLURAL MASTER II DEB INCENTIVADAS CRÉDITO PRIVADO FIF RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RL,11.397.672/0002-80
24.658.649/0001-62,AZ QUEST MASTER DEBÊNTURES INCENTIVADAS FIF INCENTIVADO DE INVESTIMENTO EM INFRA RENDA FIXA CP,50.544.038/0001-01
25.097.707/0001-99,JULIUS BAER GESTÃO SUPRA 90 FIF - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA,12.695.840/0001-03
26.142.614/0001-00,DAYCOVAL DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO FINANCEIRO,72.027.832/0001-02
26.171.796/0001-39,RB CAPITAL MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA RESP LTDA,07.981.934/0001-09
26.171.840/0001-00,BRASIL PLURAL MASTER TFO FUNDO INCENT DE INVEST FINANCEIRO EM INFRA RENDA FIXA CRED PRIV RESP LTDA,11.397.672/0002-80
26.324.289/0001-98,KINEA INFRA I FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,08.604.187/0001-44
26.362.496/0001-37,SAFRA INFRAESTRUTURA MASTER FIF INV EM INFRAESTRUTURA CI EM INFRA RF LONGO PRAZO RESP LIMITADA,01.638.542/0001-57
26.605.199/0001-75,CAPITÂNIA INFRA 30 FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,41.793.345/0001-27
26.725.116/0001-81,PASÁRGADA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,40.430.971/0001-96
26.751.126/0001-91,RB CAPITAL VITÓRIA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA RESP LTDA,07.981.934/0001-09
26.803.233/0001-16,XP DEB INCENT CDI CRÉD PRIV FIF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - RESP LTDA,16.789.525/0001-98
27.036.368/0001-66,CRODO FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,12.695.840/0001-03
27.250.788/0001-40,TAO INFRA FIF - CI RF INCENTIVADO DE INV EM INFRA - RESP LIMITADA,12.695.840/0001-03
27.565.982/0001-15,PRECIOSO FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,12.695.840/0001-03
27.782.888/0001-18,SAFRA INFRAESTRUTURA PREMIUM PROFISSIONAL FIF INV EM INFRAESTRUTURA CI EM INFRA RF RESP LIMITADA,65.913.436/0001-17
27.880.363/0001-15,MONTE ALEGRE FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA,40.430.971/0001-96
27.928.267/0001-08,IDA DEBÊNTURES INCENTIVADAS FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRA RENDA FIXA,12.695.840/0001-03
28.259.415/0001-01,IRIDIUM PIONEER DEB INCENTIVADAS FUNDO INCENT DE INVEST FINANCEIRO EM INFRA RENDA FIXA - RESP LTDA,27.028.424/0001-10
28.454.176/0001-32,ZETA FIF INVEST EM INFRAESTRUTURA CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA,65.913.436/0001-17
29.722.392/0001-84,SANTANDER PB FINOR INVESTIMENTO EM INFRAESTRTUTURA RENDA FIXA - FIF RESP LIMITADA,03.502.968/0001-04
